place_id,name,address,lat,lng,matched_keyword
ChIJv3TUR9dXRzERBR_s6BiQN9s,Bảo tàng Tỉnh Quảng Trị,"30 Quang Trung, Đồng Hải",17.4682515,106.6234651,Bảo tàng
ChIJFQbJdSCxQDER9NoR7-Y-Qgg,NGHĨA TRANG HỌ NGUYỄN QUANG,"5R55+Q4G, Văn Thủy",17.1594442,106.8078353,Bảo tàng
ChIJ9UtOA59XRzER3WECM4bYRzw,Tháp Chuông nhà thờ Tam Tòa (cũ),"FJGF+275, Đồng An",17.4750004,106.6232277,Bảo tàng
ChIJn4mleyqUODERSdNY2iMYq48,Miếu Bà - Đền Tam Thượng,"Q7Q2+2MW, Tiến Hoá",17.7876044,106.2516986,Bảo tàng
ChIJoSNXLUlXRzER_VdvrZKZMjQ,"Quán Trà - Cà phê ""théKafé""",TDP 8,17.4898363,106.5860117,Bảo tàng
ChIJm8gFyxC7ODERevyfY0p6tzY,Tượng đài Thanh Niên Xung Phong,"J858+7P7, Sơn Trạch",17.6081512,106.3167917,Bảo tàng
ChIJSc-_YMdXRzERYlhJSvc3rM8,Thành cổ Đồng Hới.,"FJ9F+4PP, Lê Duẩn, Đồng Hải",17.4678323,106.6243412,Bảo tàng
ChIJSzmX3x-ZODERCcRNDtg4j9M,Di tích lịch sử Nguyễn Hàm Ninh,"R998+FHV, Quảng Lưu",17.8187274,106.366426,Bảo tàng
ChIJdcRPneahODERUjRKX7I2Cog,Hải Đăng Cửa Gianh,"PF2R+FCC, Thanh Xuân",17.7011812,106.4910096,Bảo tàng
ChIJlSxPUnuXODERHwoIr0Wl6I8,Lăng Trần Gia,"Q8JG+WV6, Liên Trường",17.782276,106.32711,Bảo tàng
ChIJxaMcmYqsQDERyBtpI8tIWpw,Nhà Văn Hóa Thôn Kim Nại,"7MR2+VC7, Kim Nai",17.2922884,106.6510087,Bảo tàng
ChIJlYpkh51XRzER22o1SRIpMaE,Tượng đài liệt sỹ tỉnh quảng bình,"FJM9+QVM, Phan Huy Chú, Bắc Lý",17.4844595,106.6196714,Bảo tàng
ChIJo-TmYtymODERMoHS8PeDhow,Giếng làng cổ thế kỷ XVI,"JF5H+MJ2, xóm Sỏi",17.6091253,106.4790242,Bảo tàng
ChIJSYMLmK1ZPzER9u-X1Vhv_4I,Đèo Khu Đăng,"4F9R+3W9, QL15, Trường Sơn",17.11767,106.492371,Bảo tàng
ChIJ92JTSf1XRzER9haoZH5Gemc,Khu đất lăng mộ Họ Đinh Minh (chi 2 Đồng Hới),"Đường Cao Lỗ, Đồng Sơn",17.4400531,106.5703956,Bảo tàng
ChIJYe2sQLenODERC9l_cugFQHE,Dòng Tộc Họ Dương,"HGF4+4WC, Thôn dài",17.5728042,106.5072611,Bảo tàng
ChIJh7s1xEStQDERer71DE1Ovec,"Nhà Văn hóa thôn Đại Hữu, xã An Ninh, huyện Quảng Ninh, tỉnh Quảng Bình","8M54+QQ6, An Ninh",17.3094191,106.656978,Bảo tàng
ChIJ780qeJZXRzERmFdPXYoJD50,Tượng đài Fidel Castro,"FJF2+JG7, Unnamed Road",17.4740423,106.6012836,Bảo tàng
ChIJm7hSdji7ODER70XftDAtQ0M,Homtay a sáng,"J73X+JF6, Sơn Trạch",17.6040318,106.2986683,Bảo tàng
ChIJq6qq1ieyQDER93j77wvsBmQ,Vo Nguyen Giap Memorial House,"An Lạc, Lộc Thủy, Lệ Thủy",17.2443195,106.7500644,Bảo tàng
