matched_keyword,center_lat,center_lng,radius,place_id,name,address,lat,lng,rating,user_ratings_total,types
Bệnh viện,17.473470,106.434295,40000,ChIJOXpdPLZWRzERdFB7ZtyYcNw,Bệnh viện Đa khoa TP. Đồng Hới,"178 Lê Lợi, Đức Ninh Đông",17.4535125,106.6214445,3.2,49,"hospital,doctor,health,point_of_interest,establishment"
Bệnh viện,17.473470,106.434295,40000,ChIJWY6ZI-BWRzERRLnRP3d6nF4,Bệnh viện Hữu Nghị Quảng Bình,"78 Hữu Nghị, Đồng Phú",17.4785249,106.6037,4.7,133,"hospital,health,point_of_interest,establishment"
Bệnh viện,17.473470,106.434295,40000,ChIJabYdZZtYRzERvEd_stpIbY4,Bệnh Viện Đa Khoa Huyện Bố Trạch,"SUB-REGION 9, Minh Lão",17.5887703,106.5195905,3.6,22,"hospital,health,point_of_interest,establishment"
Bệnh viện,17.473470,106.434295,40000,ChIJP3d51nBXRzERoFv3eONAjP4,Bệnh viện Đa khoa TTH Quảng Bình,"99 Điện Biên Phủ, Phú Hải",17.4466321,106.6278774,4.2,315,"hospital,health,point_of_interest,establishment"
Bệnh viện,17.473470,106.434295,40000,ChIJnT1mDp9WPzERRlGany1s1is,Bệnh viện Đa khoa huyện Quảng Ninh,"9M8G+779, Gia Ninh",17.3656746,106.6757434,3.6,21,"hospital,health,point_of_interest,establishment"
Bệnh viện,17.473470,106.434295,40000,ChIJ2X8xROFWRzERvKrAvzcVPTM,Bệnh viện Hữu nghị Việt Nam - Cu Ba Đồng Hới,"Đường Hữu Nghị - Tiếu, khu 10, Nam Lý",17.4744135,106.6007619,3.2,249,"hospital,health,point_of_interest,establishment"
Bệnh viện,17.473470,106.434295,40000,ChIJmb9IVudWRzERkLUh0WvfnrI,Bệnh Viện Đa Khoa Bình An,"FJF4+25G, Phường",17.4725639,106.6054434,5,1,"hospital,health,point_of_interest,establishment"
Bệnh viện,17.473470,106.434295,40000,ChIJxzyB8M-YODERlEx3Z8xSoBE,Bệnh viện Đa Khoa Khu Vực Bắc Quảng Bình,"QL 12, P. Quảng Thọ, 184 Quang Trung, Ba Đồn",17.7571343,106.4336827,3.3,35,"hospital,health,point_of_interest,establishment"
Bệnh viện,17.473470,106.434295,40000,ChIJ8VmiNvWvQDERT1L-ujZdvb8,Bệnh viện đa khoa Lệ Ninh,"6MJV+PW5, Sơn Thuỷ",17.2317691,106.6948551,2.5,2,"hospital,health,point_of_interest,establishment"
Bệnh viện,17.473470,106.434295,40000,ChIJN2-MQyhXRzERpZ0QNjDdvqU,Bệnh Viện Mắt Việt An,"16 Đường Phạm Văn Đồng, Nam Sách",17.4650796,106.6051089,4.3,28,"hospital,health,point_of_interest,establishment"
Bệnh viện,17.473470,106.434295,40000,ChIJ____75JTRzERdFOfVjKvgzQ,Bệnh Viện Y Dược Cổ Truyền Quảng Bình,"TỔ 3 TIỂU KHU 5, Nam Lý",17.4757016,106.6050875,4.4,12,"hospital,health,point_of_interest,establishment"
Bệnh viện,17.473470,106.434295,40000,ChIJna9P7BsZQjER2SRad-e9HP4,Phòng Khám Đa Khoa Minh Anh - Trị Liệu & Phục Hồi Chức Năng,"83 Lý Thánh Tông, Lộc Ninh",17.4918228,106.5965802,4.8,31,"hospital,health,point_of_interest,establishment"
Bệnh viện,17.473470,106.434295,40000,ChIJvwFoUeVXRzERoSa0Wiqjsyw,Phòng khám Đa khoa MEDLATEC Quảng Bình,"28 Hà Văn Quan, Nam Lý",17.4754928,106.6008373,4.8,34,"hospital,health,point_of_interest,establishment"
Bệnh viện,17.473470,106.434295,40000,ChIJmXv1catXRzERlKI8MerN9Pw,Bệnh Viện Thú Y SAOVET Quảng Bình,Tổ dân phố 14,17.4747574,106.59882,3.6,9,"hospital,health,point_of_interest,establishment"
Bệnh viện,17.473470,106.434295,40000,ChIJ-UAmoClXRzER4DC4CNQ1CF4,Trung tâm phòng chống Sốt rét - Nội tiết,"74 Đông Hải, Bắc Lý",17.4793014,106.6239329,3.7,3,"hospital,health,point_of_interest,establishment"
