name,address,lat,lng,matched_keyword
CHÙA ĐẠI GIÁC,"FJ4C+X29, Đức Ninh Đông",17.4572487,106.6201348,Chùa
Chùa Núi Thần Đinh,Trường Xuân,17.2938845,106.6228549,Chùa
Chùa Quảng Xá,"xóm 1, Quảng Xá",17.3484673,106.6695106,Chùa
CHÙA PHỔ MINH,"FJ37+4G5, Đức Ninh Đông",17.452706,106.6138263,Chùa
Chùa Linh Sơn Đại Phúc,Đại Phúc,17.2728695,106.6703963,Chùa
Chùa Cảnh Tiên,Dinh Mười,17.3672636,106.6763198,Chùa
Chùa Hoằng Phúc,"5RX6+7JM Chợ, Mỹ Thuỷ",17.1991911,106.8137866,Chùa
Di tích lịch sử cấp quốc gia Chùa An Xá,"6PWW+FX7, Thôn An Xá",17.2461046,106.7474024,Chùa
Lèn Chùa Ecostay,Xuân Trạch,17.6539053,106.2597253,Chùa
Chùa Phước Sơn,"17/45 Hoàng Sâm, Đồng Phú",17.4795189,106.5944024,Chùa
Chùa Linh Sơn,Tiến Hoá,17.8029623,106.2361523,Chùa
Chùa Kim Nại,"Thôn, Kim Nai",17.2898628,106.6513675,Chùa
Chùa Thanh Quang,"MFWH+WW9, Thanh Trạch",17.6973185,106.4797729,Chùa
Chùa Yên Quốc,"R6C3+433, Gần, Bắc Hóa",17.8202977,106.2025925,Chùa
Chùa Vĩnh Phúc,"Q7JF+XX3, Văn Hoá",17.782375,106.2749306,Chùa
Chùa Bảo Ninh,"FJJJ+FMR, Mỹ Cảnh, Bảo Xuân",17.481205,106.6316695,Chùa
Thiền đường Lộc Long,Lộc Long,17.3185065,106.6551892,Chùa
Chùa Kẻ Hạc,"JF6H+7QQ, Vạn Trạch",17.6107053,106.4794807,Chùa
Chùa Quan Âm,"JG9W+9Q3, Đức Trạch",17.6184036,106.5469025,Chùa
Chùa Ngọa Cương,"Q7RQ+2F4, QL12A, Cảnh Hoá",17.7900118,106.2887147,Chùa
Đinh Sơn Tự,"7JVF+C4J, Trường Xuân",17.2936116,106.6227205,Chùa
Chùa Kỳ Viên,"Thôn, Lệ Kỳ",17.4225593,106.6153392,Chùa
Quan Âm Cổ Tự,"Thôn Quyết Thắng, Thanh Trạch",17.691344,106.473503,Chùa
Chùa Đôộng Cốm,"Q8G8+489, thôn 4",17.7753049,106.3158554,Chùa
Phước Lạc Thiền Thất,"HF64+WC5, Thôn Cồn",17.5622549,106.456102,Chùa
Chùa Thất Tịnh Thiền Tông,"GFGF+99J, Unnamed Road, TT. NT Việt Trung",17.5260819,106.4733906,Chùa
Sơn Thuỷ Linh Tự,"FH9P+63C, QL1A, Đồng Phú",17.468167,106.585159,Chùa
Chùa Kim Phong,"7JVF+C4J, Trường Xuân",17.2931886,106.6226475,Chùa
Chùa Từ Bi,"FH23+3J, Đồng Sơn",17.4501626,106.5541654,Chùa
Vũng Chùa,"J86X+4F5, Hưng Trạch",17.6102715,106.3487474,Chùa
Chùa Lèn Bụt,"Q5CG+4R, Cao Cảnh",17.770314,106.177,Chùa
Chùa Phúc Sơn,"M773+622, Thôn Minh Tân",17.6630069,106.2525108,Chùa
"Chùa,Miếu Thọ Linh","P995+2H6, Unnamed, Road",17.7175477,106.358891,Chùa
Chùa TU VĨNH Minh Lệ,"P95G+G58, Unnamed, Road",17.7087791,106.3754378,Chùa
Pinkhouse113,"FJ2H+36, Phú Hải",17.4501559,106.6280152,Chùa
Miếu thờ Hiệp biện đại học sỹ Trần Cảnh Huống,"Q789+5WQ, Văn Hoá",17.7798593,106.2810469,Chùa
Đạo Tràng Diệu Pháp,"PCXX+X2R, Thọ Đơn",17.7499812,106.4475531,Chùa
Khi mộ chi 1 Trần tộc đại tôn,"Q74M+5X, Xuân Hạ",17.7554969,106.284961,Chùa
Chùa Cao Mại,"Q5FH+7F, Cao Quảng",17.7731846,106.1786781,Chùa
Chùa Thầy Áp Lâm Xuân,"P8CV+X2G, Unnamed, Road",17.7224349,106.3425671,Chùa
Đồn biên phòng cảng gianh,"PF4J+RCV, Quảng Phúc",17.708134,106.480751,Chùa
Thiền đường chúng thanh niên Quảng Binh,"8M94+C28, Xuân Ninh Hiền Ninh, Xuân Ninh",17.3185446,106.655074,Chùa
Văn Phòng BTS GHPG TỈNH,"FJ49+QM6 Công viên, Đức Ninh Đông",17.4574113,106.6196805,Chùa
Cà Phê Giếng Chùa,"Đường Phạm Văn Đồng, Nam Sách",17.4631971,106.6072163,Chùa
