name,address,lat,lng,matched_keyword
Trung tâm tiêm chủng VNVC Đồng Hới,"Trung tâm mua sắm Hiếu Hằng, 58A Nguyễn Hữu Cảnh, Đồng Hải",17.463525,106.6200194,Cơ quan chuyên môn
Chi cục thuế Khu vực XI - tỉnh Quảng Bình,"FJ57+PWJ, Đường Phạm Văn Đồng, Đức Ninh Đông",17.4593288,106.614762,Cơ quan chuyên môn
Sở y tế Quảng Trị,"2 Hồ Xuân Hương, Đồng Hải",17.4764619,106.6215606,Cơ quan chuyên môn
Văn phòng UBND tỉnh Quảng Trị,"FJ8F+W38, Đồng Hải",17.4672796,106.6226913,Cơ quan chuyên môn
Tình Duyên Cơm Bình Dân,"Trung Thuận, Phú Trạch, Bố Trạch",17.6447979,106.5176252,Cơ quan chuyên môn
Sở Tài chính Quảng Trị,"6-8 23 Tháng 8, Phường Hải Thịnh",17.4625469,106.6181658,Cơ quan chuyên môn
Sở GTVT Quảng Trị,"2 Trần Hưng Đạo, Đồng Hải",17.4708237,106.6220776,Cơ quan chuyên môn
Trung tâm giáo dịch một cửa thị xã Ba Đồn,"178 Chu Văn An, Ba Đồn",17.7530123,106.4238131,Cơ quan chuyên môn
Đảng Ủy Khối Cơ Quan Dân Chính Đảng,"48 Nguyễn Hữu Cảnh, Đồng Hải",17.4622753,106.6225723,Cơ quan Đảng
Cơ Quan Đảng ủy Khối các cơ quan tỉnh,"FJ89+657, Nguyễn Hữu Cảnh, Phường Hải Thịnh",17.4655303,106.6179132,Cơ quan Đảng
Đăng Dương Quán,"Đường ven hồ/04 tk2, bàu ri",17.5778449,106.5367543,Cơ quan Đảng
Đảng Ủy Khối Doanh Nghiệp,"FJ88+R7J, Nguyễn Hữu Cảnh, Phường Hải Thịnh",17.4670906,106.6156377,Cơ quan Đảng
Đảng ủy phường Ba Đồn,"QC3C+7JM, Ba Đồn",17.7532007,106.4215488,Cơ quan Đảng
Đồn Biên Phòng Cà Ròong,"76R4+WW8, Bản 61",17.2922805,106.2073436,Cơ quan Đảng
TÒA ÁN NHÂN DÂN TP ĐỒNG HỚI,"FJ57+GJR, Đường Phạm Văn Đồng, Đức Ninh Đông",17.4588748,106.6140135,Toà án
Tòa án nhân dân tỉnh Quảng Bình,"FJG3+HX8, Trần Quang Khải, Nam Lý",17.4764234,106.6049588,Toà án
Tòa Án Nhân Dân Huyện Bố Trạch,"23 Nguyễn Tất Thành, TT. Hoàn Lão",17.5814499,106.5336547,Toà án
Tòa Án Nhân Dân Huyện Quảng Trạch,"Minh Phương, Quảng Thọ, Ba Đồn",17.7556731,106.4323418,Toà án
TÒA ÁN NHÂN DÂN THỊ XÃ BA ĐỒN,"QC5C+9WG, Nguyễn An Ninh, Ba Đồn",17.7584429,106.4223141,Toà án
Toà án nhân dân huyện Quảng Trạch,"QCX5+QRJ, Quảng Phương",17.7994861,106.4096278,Toà án
Tòa Án Nhân Dân Tỉnh Quảng Bình,"Tiểu Khu 10, Phường Nam Lý, Thành Phố Đồng Hới, Tỉnh Quảng Bình, Nam Sách",17.4647523,106.6026074,Toà án
Tòa Án Nhân Dân Huyện Quảng Ninh,"CJ3R+HVW, Trường Chinh, Tiểu khu 4",17.404038,106.6419933,Toà án
UBND Huyện Bố Trạch,"HGMM+6VH, QL1A, TT. Hoàn Lão",17.5830581,106.5347458,Trụ sở các Bộ
Công An Quảng Trị,"FJH4+8PG, Nguyễn Văn Linh, SOS",17.4783121,106.6068999,Trụ sở các Bộ
Trung tâm du lịch Phong Nha - Kẻ Bàng,"J864+FH6, Phong NHA",17.6120931,106.3062833,Trụ sở các Bộ
UBND Xã Bố Trạch,"JCM7+58R, Sơn Trạch",17.6329967,106.4132551,Trụ sở UBND cấp Tỉnh
UBND Xã Nam Trạch,"GHP7+33P, Lý Trạch",17.5352196,106.5626932,Trụ sở UBND cấp Tỉnh
UBND xã Lâm Trạch,"M7MW+V9R, thôn 4",17.6847488,106.2958963,Trụ sở UBND cấp Xã
UBND Xã Bắc Trạch,"MFX3+4XV, xóm 4",17.6978582,106.4549214,Trụ sở UBND cấp Xã
UBND Xã Quảng Trạch,"RC24+WVG, Quảng Phương",17.8023001,106.4071945,Trụ sở UBND cấp Xã
UBND Xã Trường Sơn,"6F92+GR6, Long Sơn",17.2187985,106.4520098,Trụ sở UBND cấp Xã
UBND Xã Tây Trạch,Tây Trạch,17.5789086,106.4975605,Trụ sở UBND cấp Xã
Ủy ban xã Cử Nẫm,"JCC4+Q4J, Sơn Trạch",17.6219595,106.4052541,Trụ sở UBND cấp Xã
UBND Xã Đồng Trạch,"JGCH+PX3, Mai Hồng",17.6217601,106.5299366,Trụ sở UBND cấp Xã
Viện kiểm sát nhân dân tỉnh Quảng Trị,"FJH5+R2W, Nguyễn Văn Linh, Đồng Phú",17.479601,106.6075837,Viện kiểm sát
Viện kiểm sát nhân dân huyện Quảng Trạch,"RC34+F87, Quảng Phương",17.8036624,106.4058064,Viện kiểm sát
Viện kiểm sát nhân dân TP Đồng Hới,"FJ8F+4M7, QL1A, Đồng Hải",17.465226,106.6241878,Viện kiểm sát
Viện Kiểm Sát Nhân Dân Huyện Lệ Thủy,"6QFP+F4F, Dương Văn An",17.2236801,106.7852871,Viện kiểm sát
Viện Kiểm Sát Nhân Dân Thị Xã Ba Đồn,"25 Đ. Lâm Úy, Quảng Long",17.7548248,106.4211655,Viện kiểm sát
Viện Kiểm Sát Nhân Dân Huyện Quảng Ninh,"CJ6V+J95, Quang Trung",17.411521,106.6434829,Viện kiểm sát
Viện Kiểm Sát Nhân Dân Huyện Bố Trạch,"HGJM+JJ6, QL1A, TT. Hoàn Lão",17.5816115,106.5339727,Viện kiểm sát
