matched_keyword,center_lat,center_lng,radius,place_id,name,address,lat,lng,rating,user_ratings_total,types
công an,17.473470,106.434295,40000,ChIJ6XdIe2WxQDERlNHb0KBc2mQ,Công An Xã Lệ Thủy,"6QFM+GVM, Dương Văn An, TT. Kiến Giang",17.2238325,106.7846682,,,"police,point_of_interest,establishment"
công an,17.473470,106.434295,40000,ChIJt0oRLZBWRzERI6inYcT986s,Công an phường Bắc Nghĩa,"17°26'53.2""N 106°35'39., Lý Nhân Tông, Bắc Nghĩa",17.4480906,106.5942841,,,"police,point_of_interest,establishment"
công an,17.473470,106.434295,40000,ChIJRyqZz45XRzERJI2M-nOYf18,Công An Quảng Trị,"FJH4+8PG, Nguyễn Văn Linh, SOS",17.4783121,106.6068999,3.8,12,"point_of_interest,establishment"
công an,17.473470,106.434295,40000,ChIJ57Yl3BhXRzER79AvO081v2I,Phòng Cảnh sát giao thông - Công an tỉnh Quảng Bình,"128 Đ. Nguyễn Hữu Cảnh, tiểu khu 7",17.4031756,106.6297879,,,"police,point_of_interest,establishment"
công an,17.473470,106.434295,40000,ChIJlyjuM7yZODERbeGat-Iex7Q,Công an phường Quảng Thuận,"199 Lý Thường Kiệt, Quảng Thuận",17.7432262,106.4382194,,,"police,point_of_interest,establishment"
công an,17.473470,106.434295,40000,ChIJo0aoWQBXRzER35HDUMkN_hE,Công an phường Đồng Sơn,"02 Lê Thanh Nghị, Nghĩa Ninh",17.4401104,106.593875,5,1,"point_of_interest,establishment"
công an,17.473470,106.434295,40000,ChIJH6PSVcZWRzERtrK1kioqb2E,Công An Phường Đức Ninh Đông,23/8,17.4584292,106.61427,,,"police,point_of_interest,establishment"
công an,17.473470,106.434295,40000,ChIJ09g9UGJXRzERbhXJFrOJ2Ls,Phòng quản lý xuất nhập cảnh,"Trần Hưng Đạo, Phường Hải Thịnh",17.4778041,106.6043249,3.6,80,"local_government_office,point_of_interest,establishment"
công an,17.473470,106.434295,40000,ChIJU1Y-K8ipODERaWTAuZ39_nQ,Công An Thị trấn Nông Trường Việt Trung,"FGH6+5HQ, Đường Không Tên, TT. NT Việt Trung",17.4779382,106.5115117,,,"police,point_of_interest,establishment"
công an,17.473470,106.434295,40000,ChIJ6QDPJhlXRzERZ2lOGxW9jRk,Công An Phường Bắc Lý,"FJP2+8V9, Lý Thánh Tông, Đồng Phú",17.4857803,106.6022488,,,"police,point_of_interest,establishment"
công an,17.473470,106.434295,40000,ChIJV1lkPuBWRzERjOODyUsojJo,Trung Tâm Huấn Luyện - Thể Thao Công An Tỉnh Quảng Bình,"95, Hữu Nghị, Thành Phố Đồng Hới, Tỉnh Quảng Bình, Đồng Phú",17.4780824,106.604923,4,17,"point_of_interest,establishment"
công an,17.473470,106.434295,40000,ChIJmxtllB5XRzER9BXxW_Zd5R4,Công An Quảng Bình,"số 48 Trường Chinh, Đồng Phú",17.4832251,106.6008887,4,2,"point_of_interest,establishment"
công an,17.473470,106.434295,40000,ChIJ1UF8QQCZODERThDR-mLdoMQ,Công an xã Nam Ba Đồn,"Q926+5PC, Tân Tiến",17.7504184,106.361711,5,1,"point_of_interest,establishment"
công an,17.473470,106.434295,40000,ChIJ7zkPLIZWRzERLQecKDVpQk4,Công an Phường Đồng Sơn,"CHR7+VPF, Đồng Sơn",17.4421758,106.5642985,,,"police,point_of_interest,establishment"
công an,17.473470,106.434295,40000,ChIJyaUGPMWYODERYN47M6pp80U,Văn Phòng Công Chứng Nhất Tín,"121 Chu Văn An, Ba Đồn",17.7588413,106.4239859,3.8,23,"point_of_interest,establishment"
công an,17.473470,106.434295,40000,ChIJK2vg38tWRzERy7RvUk1iOYU,Công an Phường Đồng Hải,"FJ5F+C82, Nguyễn Văn Trỗi, Đồng Hải",17.4584925,106.6232531,,,"police,point_of_interest,establishment"
công an,17.473470,106.434295,40000,ChIJl9qyvzSfODERbSG-GkWCqN4,Công an Thị xã Ba Đồn,"PCXR+RP4, QL1A, Quảng Thọ",17.7495051,106.4418276,,,"police,point_of_interest,establishment"
công an,17.473470,106.434295,40000,ChIJT8fjcQCxQDERAEbWLvMt8Mg,Công An xã Trường Phú,"4QXP+RQV, Nguyễn Hữu Cảnh, Trường Thủy",17.1494623,106.7869025,,,"point_of_interest,establishment"
công an,17.473470,106.434295,40000,ChIJZ5Eu_-WZODERSPwC_JwvCkI,Công An Xã Quảng Tân,"P9X6+WQM, Tân Tiến",17.7498261,106.3619186,5,1,"point_of_interest,establishment"
công an,17.473470,106.434295,40000,ChIJfYTrWyZXRzERP_HMcLuN304,Công An Phường Đồng Phú,"Đồng Phú, Đồng Hới",17.4818559,106.6148418,,,"police,point_of_interest,establishment"
công an,17.473470,106.434295,40000,ChIJVdtBu8SYODERPwBjrIKo87o,Công an phường Ba Đồn,"QC4F+QFH, Quang Trung, P. Ba Đồn, thị xã, Ba Đồn",17.7569354,106.42372,,,"police,point_of_interest,establishment"
công an,17.473470,106.434295,40000,ChIJJ4RPT76fODERdCxxHFkH8DQ,Công an phường Quảng thọ,"Xóm 2 TDP Minh Lợi, Quảng Thọ",17.7539767,106.3991274,,,"police,point_of_interest,establishment"
công an,17.473470,106.434295,40000,ChIJmZAKI2yxQDERaW-64fCWtqI,Công An Xã Mai Thủy,"tt. Kiến Giang, Lệ Thủy",17.216681,106.786598,,,"police,point_of_interest,establishment"
công an,17.473470,106.434295,40000,ChIJp0HZTwBLPzERL25pn84zHWA,Công An Xã Thượng Trạch,"956Q+X28, Thượng Trạch",17.362894,106.1883052,1,1,"point_of_interest,establishment"
công an,17.473470,106.434295,40000,ChIJfVmDwYFYRzER-2QlwqEt4QU,Công an huyện Bố Trạch,"370 Đ. Hùng Vương, TT. Hoàn Lão",17.5805112,106.5361201,,,"police,point_of_interest,establishment"
công an,17.473470,106.434295,40000,ChIJHel-cVJRRzERfkmTpe084Rs,Công An Phường Phú Hải,"CJRM+J77, Quang Trung, Phú Hồng",17.4415323,106.6331666,,,"police,point_of_interest,establishment"
công an,17.473470,106.434295,40000,ChIJsymUwTNXRzER9CH_APPVx0E,Trung Tâm Huấn Luyện Và Bồi Dưỡng Nghiệp Vụ Công An Tỉnh Quảng Bình,"GH6M+GCH, Lộc Ninh",17.5112912,106.5836347,,,"police,point_of_interest,establishment"
công an,17.473470,106.434295,40000,ChIJq6qqWnemODERFVf_M6SaBK8,Công An Xã Thanh Trạch,"Thanh Trạch, Phú Định, Bố Trạch",17.5719203,106.4457404,,,"police,point_of_interest,establishment"
công an,17.473470,106.434295,40000,ChIJf0_JZMyXODEREQexgZ8QU0M,Công an xã Liên Trường,"Q8H7+VMQ, Liên Trường",17.779821,106.314293,,,"point_of_interest,establishment"
công an,17.473470,106.434295,40000,ChIJl3frfwBXRzER5mPomN_XZFI,Công an phường Đồng Hới,"102 Võ Thị Sáu, Nam Lý",17.4682759,106.6032772,5,5,"point_of_interest,establishment"
công an,17.473470,106.434295,40000,ChIJcXHfAACZODEROnBCCFAjwF4,Công an xã Quảng Trạch,"RC25+VCH, Quảng Phương",17.8021339,106.4086161,,,"point_of_interest,establishment"
công an,17.473470,106.434295,40000,ChIJszp6GfivQDER3l-LgIjj4KQ,Đồn công an Lệ Ninh,"6MPV+5CM, Sơn Thuỷ",17.2354391,106.6935737,,,"police,point_of_interest,establishment"
công an,17.473470,106.434295,40000,ChIJP8GcpM1WRzERjo2hUnV0PDc,Công An Phường Hải Đình,"5 Mẹ Suốt, Đồng Hải",17.4635243,106.6253468,,,"police,point_of_interest,establishment"
công an,17.473470,106.434295,40000,ChIJOeXyVk-zQDERSHuJjof11qk,Công An Xã Lộc Thuỷ,"6QP5+WGX, An Xá",17.237097,106.7596028,,,"point_of_interest,establishment"
công an,17.473470,106.434295,40000,ChIJjf1QcwCbODERbXu5FNWppM4,Công An Xã Trung Thuần,"R9MF+VVR, ĐT22, Quảng Châu",17.8352222,106.3752689,,,"police,point_of_interest,establishment"
công an,17.473470,106.434295,40000,ChIJt-Bx-jiUODERLvZTzY9Q1CE,Công an xã Tiến Hoá,"R62J+89P, Tiến Hoá",17.8009021,106.2308486,,,"police,point_of_interest,establishment"
công an,17.473470,106.434295,40000,ChIJ13xtAABXRzERMQEOfY1nhvk,Công An phường Đồng Thuận,"GH2X+5FP, Cao Thắng, Lộc Ninh",17.5004752,106.5986944,,,"point_of_interest,establishment"
công an,17.473470,106.434295,40000,ChIJT87-WrhXRzERWPS5M55dUSo,Phòng Cảnh sát cơ động - Công an tỉnh Quảng Bình,"FJ99+6RJ, Đồng Hải",17.4680993,106.6195603,,,"point_of_interest,establishment"
công an,17.473470,106.434295,40000,ChIJxeGcSQCZODERx3LN5DosV0E,CÔNG AN PHƯỜNG BA ĐỒN,"QC32+R8H, Lũ Phong, Quảng Phong",17.7545583,106.4008505,5,1,"point_of_interest,establishment"
công an,17.473470,106.434295,40000,ChIJN5W_GopTRzERVe_sOPSzeHo,Hạt Kiểm Lâm Huyện Quảng Ninh,"CJ3H+2WW, Đ. Nguyễn Hữu Cảnh, Vĩnh Ninh",17.4026048,106.6298434,1.5,2,"local_government_office,point_of_interest,establishment"
công an,17.473470,106.434295,40000,ChIJLSs-LQBXRzERjQAJq8tVPQs,Trung tâm liên thông một cửa Công an tỉnh Quảng Trị,"99 Hữu Nghị, Nam Lý",17.4778102,106.6042543,5,3,"point_of_interest,establishment"
công an,17.473470,106.434295,40000,ChIJjQmJHSpXRzERJMrrS7x2Xtk,Bệnh xá Công an tỉnh Quảng Bình,"FJHF+67V, Phan Chu Trinh, Đồng Hải",17.4781041,106.6231704,5,3,"hospital,health,point_of_interest,establishment"
công an,17.473470,106.434295,40000,ChIJu2AacgClODERPQiSFygf_rs,Công an xã Bố Trạch,"J9F6+QX5, Khương Hà",17.624393,106.3624885,5,2,"point_of_interest,establishment"
công an,17.473470,106.434295,40000,ChIJq6qqqpq8ODERxPK7WXZyO_o,Công An Xã Phúc Trạch,"M836+5C3, Phúc Trạch",17.6528937,106.3110622,5,1,"local_government_office,point_of_interest,establishment"
công an,17.473470,106.434295,40000,ChIJrTHa2euZODERWGFL4cJeC7g,Công An Xã Quảng Xuân,"RC2J+8MF, Quảng Xuân",17.8008248,106.4318023,5,1,"point_of_interest,establishment"
công an,17.473470,106.434295,40000,ChIJKahM68tXRzERO95prWBwcro,Trại Tạm Giam Công An Tỉnh Quảng Bình,"GH63+8G2, Lý Trạch",17.5107573,106.5537746,5,2,"point_of_interest,establishment"
công an,17.473470,106.434295,40000,ChIJFabdRwCtQDERMnj2jHCcMIw,Công an xã Trường Ninh,"8MJ3+V99, Hiền Ninh",17.3319786,106.6533707,5,1,"point_of_interest,establishment"
