center_lat,center_lng,keyword,name,address,lat,lng,url
17.473470,106.434295,Đồn biên phòng,Đồn Biên phòng Cảng,"Kỳ Lợi, Thị xã Kỳ Anh, Hà Tĩnh",18.0993202,106.4113993,"https://www.google.com/maps/place/%C4%90%E1%BB%93n+Bi%C3%AAn+ph%C3%B2ng+C%E1%BA%A3ng/@18.0993202,106.4113993,17z/data=!3m1!4b1!4m6!3m5!1s0x3138890000000001:0x45fb3e06b29b56d4!8m2!3d18.0993202!4d106.4113993!16s%2Fg%2F1tdk7k10?authuser=0&hl=vi&entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoASAFQAw%3D%3D"
17.473470,106.434295,Đồn biên phòng,Đồn Biên Phòng Cà Ròong,"76R4+WW8, Bản 61, Bố Trạch, Quảng Bình",17.2922806,106.2073437,"https://www.google.com/maps/place/%C4%90%E1%BB%93n+Bi%C3%AAn+Ph%C3%B2ng+C%C3%A0+R%C3%B2ong/@17.2922806,106.2073437,17z/data=!3m1!4b1!4m6!3m5!1s0x313f4bd2faaab0f3:0x333174bf24baa3fe!8m2!3d17.2922806!4d106.2073437!16s%2Fg%2F11f535xcw3?authuser=0&hl=vi&entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoASAFQAw%3D%3D"
17.473470,106.434295,Đồn biên phòng,Đồn Biên Phòng Nhật Lệ,"115 Trương Pháp, Bắc Lý, Đồng Hới, Quảng Bình",17.4853173,106.6269413,"https://www.google.com/maps/place/%C4%90%E1%BB%93n+Bi%C3%AAn+Ph%C3%B2ng+Nh%E1%BA%ADt+L%E1%BB%87/@17.4853173,106.6269413,17z/data=!3m1!4b1!4m6!3m5!1s0x3147572ce3321b6f:0xcb54933272443768!8m2!3d17.4853173!4d106.6269413!16s%2Fg%2F11b6df9l3n?authuser=0&hl=vi&entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoASAFQAw%3D%3D"
17.473470,106.434295,Đồn biên phòng,Đồn Biên Phòng,"R59R+F86, Mỹ Bình, Đức Huệ, Long An",10.8186705,106.1907564,"https://www.google.com/maps/place/%C4%90%E1%BB%93n+Bi%C3%AAn+Ph%C3%B2ng/@10.8186705,106.1907564,17z/data=!3m1!4b1!4m6!3m5!1s0x310adff9d513679d:0x591225323f149a67!8m2!3d10.8186705!4d106.1907564!16s%2Fg%2F11g0l9z2s_?authuser=0&hl=vi&entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoASAFQAw%3D%3D"
17.473470,106.434295,Đồn biên phòng,Đồn biên phòng Làng Ho,"3HJQ+5F5, Lâm Thuỷ, Lệ Thủy, Quảng Bình",17.0803942,106.5887278,"https://www.google.com/maps/place/%C4%90%E1%BB%93n+bi%C3%AAn+ph%C3%B2ng+L%C3%A0ng+Ho/@17.0803942,106.5887278,17z/data=!3m1!4b1!4m6!3m5!1s0x3140a7100786f573:0xcc1ddfda2b5b8ce4!8m2!3d17.0803942!4d106.5887278!16s%2Fg%2F11v0klm48x?authuser=0&hl=vi&entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoASAFQAw%3D%3D"
17.473470,106.434295,Đồn biên phòng,Đồn Biên Phòng Roòn Tố Hũng Tác Biện Phòng Vùng Chùa,"J864+P4M, ĐT20, Sơn Trạch, Bố Trạch, Quảng Bình",17.6118271,106.3053112,"https://www.google.com/maps/place/%C4%90%E1%BB%93n+Bi%C3%AAn+Ph%C3%B2ng+Ro%C3%B2n+T%E1%BB%91+H%C5%A9ng+T%C3%A1c+Bi%E1%BB%87n+Ph%C3%B2ng+V%C3%B9ng+Ch%C3%B9a/@17.6118271,106.3053112,17z/data=!3m1!4b1!4m6!3m5!1s0x3138bb0eb56fcf97:0x225297c45e80f2fb!8m2!3d17.6118271!4d106.3053112!16s%2Fg%2F11v9l5tywf?authuser=0&hl=vi&entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoASAFQAw%3D%3D"
17.473470,106.434295,Đồn biên phòng,Đồn Biên Phòng 122,"Sơn Lợi, Trường Sơn, Sầm Sơn, Thanh Hóa",19.7377235,105.8906507,"https://www.google.com/maps/place/%C4%90%E1%BB%93n+Bi%C3%AAn+Ph%C3%B2ng+122/@19.7377235,105.8906507,16z/data=!3m1!4b1!4m6!3m5!1s0x3136513a4d28547d:0xe2072c4d004617b1!8m2!3d19.7377235!4d105.8906507!16s%2Fg%2F1tdj1prf?authuser=0&hl=vi&entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoASAFQAw%3D%3D"
17.473470,106.434295,Đồn biên phòng,Đồn biên phòng cảng gianh,"PF4J+RCV, Quảng Phúc, Ba Đồn, Quảng Bình",17.708134,106.480751,"https://www.google.com/maps/place/%C4%90%E1%BB%93n+bi%C3%AAn+ph%C3%B2ng+c%E1%BA%A3ng+gianh/@17.708134,106.480751,17z/data=!3m1!4b1!4m6!3m5!1s0x3138a1653325df75:0x673376fd4c962b70!8m2!3d17.708134!4d106.480751!16s%2Fg%2F11vhj7knzz?authuser=0&hl=vi&entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoASAFQAw%3D%3D"
17.473470,106.434295,Đồn biên phòng,Đồn biên phòng Long Hoà,"Duyên Hải, Long Hoà, Cần Giờ, Thành phố Hồ Chí Minh",10.3804004,106.8819943,"https://www.google.com/maps/place/%C4%90%E1%BB%93n+bi%C3%AAn+ph%C3%B2ng+Long+Ho%C3%A0/@10.3804004,106.8819943,17z/data=!3m1!4b1!4m6!3m5!1s0x317543868c2013e5:0x1331ed12c42e99c4!8m2!3d10.3804004!4d106.8819943!16s%2Fg%2F11kqdmtt_3?authuser=0&hl=vi&entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoASAFQAw%3D%3D"
17.473470,106.434295,Đồn biên phòng,Đồn Biên phòng 845 Ninh Điền,"ấp Bến Cừ, Ninh Điền, Châu Thành, Tây Ninh",11.2078196,105.968924,"https://www.google.com/maps/place/%C4%90%E1%BB%93n+Bi%C3%AAn+ph%C3%B2ng+845+Ninh+%C4%90i%E1%BB%81n/@11.2078196,105.968924,17z/data=!3m1!4b1!4m6!3m5!1s0x310b0dbbe3cbfd63:0x96b406d55f9f2d65!8m2!3d11.2078196!4d105.968924!16s%2Fg%2F11sqh2fc8d?authuser=0&hl=vi&entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoASAFQAw%3D%3D"
