Code,ConcurrencyStamp,CreationTime,CreatorId,Description,FullCode,IsDeleted,LastModificationTime,LastModifierId,Level,Name,Search,Type,_id
001030002,b0ca626a04884bcc92813dc26d8b2dd0,2025-10-15T01:47:32.577Z,,Phường,001030002,false,2025-10-15T01:47:32.577Z,,3,Bình Minh,phuong binh minh 001030002,ward,4B351D79-E64F-5B5C-5FA6-3A1CF7B9ED61
001030004,2c1a8edd8a734634b30282caf33bcea7,2025-10-15T01:47:32.616Z,,Phường,001030004,false,2025-10-15T01:47:32.616Z,,3,Gò Dầu,phuong go dau 001030004,ward,5E41E6BF-496D-1031-FC51-3A1CF7B9ED88
001030005,1bcefe1d6cd24734accf08d9d7af6b56,2025-10-15T01:47:32.622Z,,Phường,001030005,false,2025-10-15T01:47:32.622Z,,3,Hòa Thành,phuong hoa thanh 001030005,ward,2846FD21-6997-8EA7-13C1-3A1CF7B9ED8E
001030006,67481ff1822e405e98117233d2cd75d0,2025-10-15T01:47:32.627Z,,Phường,001030006,false,2025-10-15T01:47:32.627Z,,3,Khánh Hậu,phuong khanh hau 001030006,ward,7E72ADE9-6B94-BCDD-D069-3A1CF7B9ED93
001030007,f7afea2b01384dcbb351aab857338068,2025-10-15T01:47:32.638Z,,Phường,001030007,false,2025-10-15T01:47:32.638Z,,3,Kiến Tường,phuong kien tuong 001030007,ward,AF2C2E38-4F0F-AFAD-483C-3A1CF7B9ED9E
001030008,776d858e676c4d52aedb2473753acbc7,2025-10-15T01:47:32.644Z,,Phường,001030008,false,2025-10-15T01:47:32.644Z,,3,Long An,phuong long an 001030008,ward,67120A82-E5D8-44B9-2AA0-3A1CF7B9EDA4
001030009,f903aa1912d34d2e8df9481d66eed065,2025-10-15T01:47:32.655Z,,Phường,001030009,false,2025-10-15T01:47:32.655Z,,3,Long Hoa,phuong long hoa 001030009,ward,D78EAEA3-F7D1-33AE-A0BD-3A1CF7B9EDAF
001030010,132addb125b54a18a97568d366548329,2025-10-15T01:47:32.661Z,,Phường,001030010,false,2025-10-15T01:47:32.661Z,,3,Ninh Thạnh,phuong ninh thanh 001030010,ward,3BA7D450-BC8D-23F5-5ECB-3A1CF7B9EDB5
001030012,8b0998dfe4e046069fd3a545ddcbdc9c,2025-10-15T01:47:32.684Z,,Phường,001030012,false,2025-10-15T01:47:32.684Z,,3,Tân Ninh,phuong tan ninh 001030012,ward,58E6C64E-3D1E-9433-B4E8-3A1CF7B9EDCC
001030015,e33a9a3d95c3446bb493ed10890b62cd,2025-10-15T01:47:32.708Z,,Xã,001030015,false,2025-10-15T01:47:32.708Z,,3,An Lục Long,xa an luc long 001030015,ward,B56E3944-5DC9-BB82-E029-3A1CF7B9EDE4
001030016,dc3153a947c74399ad74f45743a3a315,2025-10-15T01:47:32.728Z,,Xã,001030016,false,2025-10-15T01:47:32.728Z,,3,An Ninh,xa an ninh 001030016,ward,1DDF0A10-31F8-5CAA-869A-3A1CF7B9EDF8
