tentinh,tenxa,loai,matinh,maxa,danso,dientich_km2,trungtam_hc,truoc_sapnhap,kinhdo,vido
tỉnh Bắc Ninh,An Lạc,xã,2,2135,8331,134.15,"Trụ sở Đảng ủy, HĐND, UBND xã Lệ Viên (cũ)","Xã Lệ Viễn, Xã An Lạc",106.945,21.3245
tỉnh Bắc Ninh,Bắc Giang,phường,2,2160,122838,23.23,"Trụ sở Đảng ủy, HĐND, UBND phường Hoàng Văn Thụ (cũ)","Phường Thọ Xương, Phường Ngô Quyền, Phường Xương Giang, Phường Hoàng Văn Thụ, Phường Trần Phú, Phường Dĩnh Kế, Phường Dĩnh Trì",106.215,21.2849
tỉnh Bắc Ninh,Bắc Lũng,xã,2,2192,38118,53.72,"Trụ sở Đảng ủy, HĐND, UBND xã Yên Sơn (cũ)","Xã Yên Sơn, Xã Lan Mẫu, Xã Khám Lạng, Xã Bắc Lũng",106.352,21.2615
tỉnh Bắc Ninh,Bảo Đài,xã,2,2190,59169,83.02,"Trụ sở Đảng ủy, HĐND, UBND xã Đảo Bái (cũ)","Xã Bảo Sơn, Xã Thanh Lâm, Xã Tam Dị, Xã Bảo Đài",106.358,21.3514
tỉnh Bắc Ninh,Biển Động,xã,2,2127,17198,57.7,"Trụ sở Đảng ủy, HĐND, UBND thị trấn Biển Đông (cũ)","Thị trấn Biển Động, Xã Kim Sơn, Xã Phú Nhuận",106.744,21.3751
tỉnh Bắc Ninh,Biên Sơn,xã,2,2125,16112,294.22,"Trụ sở Đảng ủy, HĐND, UBND xã Phong Vân (cũ)","Xã Phong Vân, Xã Biên Sơn, Trường bắn TB1",106.749,21.4706
tỉnh Bắc Ninh,Bố Hạ,xã,2,2178,27517,41.32,"Trụ sở Đảng ủy, HĐND, UBND thị trấn Bố Hạ (cũ)","Thị trấn Bố Hạ, Xã Đông Sơn, Xã Hương Vĩ",106.258,21.4684
tỉnh Bắc Ninh,Bồng Lai,phường,2,2205,25375,19.76,"Trụ sở Đảng ủy, HĐND, UBND phường Bồng Lai (cũ)","Phường Cách Bi, Phường Bồng Lai, Xã Mộ Đạo",106.168,21.1212
tỉnh Bắc Ninh,Cẩm Lý,xã,2,2193,20084,49.08,"Trụ sở Đảng ủy, HĐND, UBND xã Cẩm Lý (cũ)","Xã Đan Hội, Xã Cẩm Lý",106.366,21.2099
tỉnh Bắc Ninh,Cảnh Thụy,phường,2,2167,26928,27.73,"Trụ sở Đảng ủy, HĐND, UBND phường Canh Thụy (cũ)","Phường Cảnh Thụy, Xã Tiến Dũng, Xã Tư Mại",106.266,21.1889
tỉnh Bắc Ninh,Cao Đức,xã,2,2149,16966,19.76,"Trụ sở Đảng ủy, HĐND, UBND xã Cao Đức (cũ)","Xã Vạn Ninh, Xã Cao Đức",106.276,21.0926
tỉnh Bắc Ninh,Chi Lăng,xã,2,2195,23317,23.39,"Trụ sở Đảng ủy, HĐND, UBND xã Chi Lăng (cũ)","Xã Yên Giả, Xã Chi Lăng",106.121,21.1042
tỉnh Bắc Ninh,Chũ,phường,2,2120,58409,57.18,"Trụ sở Đảng ủy, HĐND, UBND phường Chũ (cũ)","Phường Thanh Hải, Phường Hồng Giang, Phường Trù Hựu, Phường Chũ",106.586,21.4041
tỉnh Bắc Ninh,Đa Mai,phường,2,2161,51733,33.1,"Trụ sở Đảng ủy, HĐND, UBND phường Đa Mai (cũ)","Phường Tân Mỹ, Phường Mỹ Độ, Phường Song Mai, Phường Đa Mai, Xã Quế Nham",106.169,21.2995
tỉnh Bắc Ninh,Đại Đồng,xã,2,2139,84258,19.88,"Trụ sở Đảng ủy, HĐND, UBND xã Hoàn Sơn (cũ)","Xã Tri Phương, Xã Hoàn Sơn, Xã Đại Đồng",106,21.0955
tỉnh Bắc Ninh,Đại Lai,xã,2,2150,19308,15.32,"Trụ sở Đảng ủy, HĐND, UBND xã Đại Lai (cũ)","Xã Song Giang, Xã Đại Lai",106.212,21.0893
tỉnh Bắc Ninh,Đại Sơn,xã,2,2133,12153,76.38,"Trụ sở Đảng ủy, HĐND, UBND xã (cũ)","Xã Giáo Liêm, Xã Phúc Sơn, Xã Đại Sơn",106.835,21.4075
tỉnh Bắc Ninh,Đào Viên,phường,2,2199,34724,26.63,"Trụ sở Đảng ủy, HĐND, UBND phường Đào Viên (cũ)","Phường Phù Lương, Xã Ngọc Xá, Xã Đào Viên",106.216,21.1274
tỉnh Bắc Ninh,Đèo Gia,xã,2,2129,14680,102.93,"Trụ sở Đảng ủy, HĐND, UBND xã Tân Lập (cũ)","Xã Tân Lập, Xã Đèo Gia",106.675,21.3146
tỉnh Bắc Ninh,Đông Cứu,xã,2,2152,28528,20.39,"Trụ sở Đảng ủy, HĐND, UBND xã Đông Cứu (cũ)","Xã Giang Sơn, Xã Lãng Ngâm, Xã Đông Cứu",106.156,21.0706
tỉnh Bắc Ninh,Đồng Kỳ,xã,2,2177,22833,61.44,"Trụ sở Đảng ủy, HĐND, UBND xã (cũ)","Xã Đồng Hưu, Xã Đồng Vương, Xã Đồng Kỳ",106.137,21.5294
tỉnh Bắc Ninh,Đồng Nguyên,phường,2,2213,46023,12.64,"Trụ sở Đảng ủy, HĐND, UBND phường Đồng Nguyên (cũ)","Phường Trang Hạ, Phường Đồng Kỵ, Phường Đồng Nguyên",105.962,21.1304
tỉnh Bắc Ninh,Đông Phú,xã,2,2189,23733,77.05,"Trụ sở Đảng ủy, HĐND, UBND xã Đông Hưng (cũ)","Xã Đông Hưng, Xã Đông Phú",106.438,21.384
tỉnh Bắc Ninh,Đồng Việt,xã,2,2201,26714,33.21,"Trụ sở Đảng ủy, HĐND, UBND xã Đức Giang (cũ)","Xã Đức Giang, Xã Đồng Phúc, Xã Đồng Việt",106.297,21.1622
tỉnh Bắc Ninh,Dương Hưu,xã,2,2138,12499,142.59,"Trụ sở Đảng ủy, HĐND, UBND xã Dương Hưu, Long Sơn (cũ)","Xã Long Sơn, Xã Dương Hưu",106.912,21.2329
tỉnh Bắc Ninh,Gia Bình,xã,2,2148,42764,29.98,Trụ sở Huyện ủy và UBND huyện Gia Bình (cũ),"Thị trấn Gia Bình, Xã Xuân Lai, Xã Quỳnh Phú, Xã Đại Bái",106.181,21.05
tỉnh Bắc Ninh,Hạp Lĩnh,phường,2,2217,22630,12.65,"Trụ sở Đảng ủy, HĐND, UBND phường Hạp Lĩnh (cũ)","Phường Khắc Niệm, Phường Hạp Lĩnh",106.066,21.1396
tỉnh Bắc Ninh,Hiệp Hòa,xã,2,2170,90443,62.18,"Trụ sở Đảng ủy, HĐND, UBND thị trấn Thắng (cũ)","Thị trấn Thắng, Xã Đông Lỗ, Xã Đoan Bái, Xã Danh Thắng, Xã Lương Phong",105.999,21.3189
tỉnh Bắc Ninh,Hoàng Vân,xã,2,2171,52899,40.23,"Trụ sở Đảng ủy, HĐND, UBND xã Hoàng Vân (cũ)","Xã Đồng Tiến (huyện Hiệp Hòa), Xã Toàn Thắng, Xã Ngọc Sơn, Xã Hoàng Vân",105.982,21.3882
tỉnh Bắc Ninh,Hợp Thịnh,xã,2,2172,71714,49.27,"Trụ sở Đảng ủy, HĐND, UBND xã Hùng Thái (cũ)","Xã Thường Thắng, Xã Mai Trung, Xã Hùng Thái, Xã Sơn Thịnh, Xã Hợp Thịnh",105.928,21.3377
tỉnh Bắc Ninh,Kép,xã,2,2185,42576,58.65,"Trụ sở Đảng ủy, HĐND, UBND thị trấn Kép (cũ)","Thị trấn Kép, Xã Quang Thịnh, Xã Hương Sơn",106.296,21.4148
tỉnh Bắc Ninh,Kiên Lao,xã,2,2124,18987,85.57,"Trụ sở Đảng ủy, HĐND, UBND xã Kiên Lao (cũ)","Xã Kiên Thành, Xã Kiên Lao",106.522,21.4409
tỉnh Bắc Ninh,Kinh Bắc,phường,2,2158,84275,19.95,Trụ sở Thành ủy và UBND TP Bắc Ninh. (cũ),"Phường Suối Hoa, Phường Tiền Ninh Vệ, Phường Vạn An, Phường Hòa Long, Phường Khúc Xuyên, Phường Kinh Bắc",106.058,21.1993
tỉnh Bắc Ninh,Lâm Thao,xã,2,2156,32432,26.26,"Trụ sở Đảng ủy, HĐND, UBND xã Bình Định (cũ)","Xã Bình Định, Xã Quảng Phú, Xã Lâm Thao",106.168,21.0049
tỉnh Bắc Ninh,Lạng Giang,xã,2,2183,63413,55.41,"Trụ sở Đảng ủy, HĐND, UBND thị trấn Vôi (cũ)","Thị trấn Vôi, Xã Xương Lâm, Xã Hương Lạc, Xã Tân Hưng",106.27,21.3564
tỉnh Bắc Ninh,Liên Bão,xã,2,2145,34273,19.82,"Trụ sở Đảng ủy, HĐND, UBND xã Liên Bão (cũ)","Xã Hiên Vân, Xã Việt Đoàn, Xã Liên Bão",106.038,21.1195
tỉnh Bắc Ninh,Lục Nam,xã,2,2188,58050,58.91,"Trụ sở Đảng ủy, HĐND, UBND thị trấn Đồi Ngô (cũ)","Thị trấn Phương Sơn, Thị trấn Đồi Ngô, Xã Cương Sơn, Xã Tiên Nha, Xã Chu Điện",106.417,21.3088
