tentinh,tenxa,loai,matinh,maxa,danso,dientich_km2,trungtam_hc,truoc_sapnhap,kinhdo,vido
tỉnh Cà Mau,An Trạch,xã,34,245,15251,49.22,đang cập nhật,"Xã An Trạch A, Xã An Trạch",105.36,9.16773
tỉnh Cà Mau,An Xuyên,phường,34,247,81303,69.9,"Số 07, Khu Dân cư phường An Xuyên","Phường 1 (thành phố Cà Mau), Phường 2 (thành phố Cà Mau), Phường 9, Phường Tân Xuyên, Xã An Xuyên",105.178,9.22461
tỉnh Cà Mau,Bạc Liêu,phường,34,218,24456,5.98,"Số 12, Đường Trần Phú, phường Bạc Liêu","Phường 1 (thành phố Bạc Liêu), Phường 2 (thành phố Bạc Liêu), Phường 7 (thành phố Bạc Liêu), Phường 8 (thành phố Bạc Liêu), Phường 3",105.712,9.28998
tỉnh Cà Mau,Biển Bạch,xã,34,255,35702,158.2,đang cập nhật,"Xã Tân Bằng, Xã Biển Bạch Đông, Xã Biển Bạch",105.061,9.46597
tỉnh Cà Mau,Cái Đôi Vàm,xã,34,59,36444,131.1,đang cập nhật,"Thị trấn Cái Đôi Vàm, Xã Nguyễn Việt Khái",104.831,8.82877
tỉnh Cà Mau,Cái Nước,xã,34,265,54397,118.25,đang cập nhật,"Thị trấn Cái Nước, Xã Trần Thới, Xã Đông Hưng (phần còn lại), Xã Đông Thới (phần còn lại), Xã Tân Hưng Đông (phần còn lại)",105.027,8.91641
tỉnh Cà Mau,Châu Thới,xã,34,235,12491,23.04,đang cập nhật,"Xã Vĩnh Hưng, Xã Vĩnh Hưng A, Xã Châu Thới",105.591,9.39101
tỉnh Cà Mau,Đá Bạc,xã,34,262,41022,211.9,đang cập nhật,"Xã Khánh Bình Tây (bao gồm Hòn Đá Bạc), Xã Khánh Bình Tây Bắc, Xã Trần Hợi (một phần)",104.891,9.21304
tỉnh Cà Mau,Đầm Dơi,xã,34,39,38106,96.2,đang cập nhật,"Thị trấn Đầm Dơi, Xã Tân Duyệt, Xã Tân Dân, Xã Tạ An Khương (phần còn lại sau khi sáp nhập vào xã Tạ An Khương mới)",105.198,8.963
tỉnh Cà Mau,Đất Mới,xã,34,57,27683,222.94,đang cập nhật,"Xã Lâm Hải, Xã Đất Mới, Thị trấn Năm Căn, Xã Hàm Rồng, Xã Viên An (phần còn lại sau khi sáp nhập vào xã Đất Mũi)",104.925,8.76013
tỉnh Cà Mau,Đất Mũi,xã,34,69,33298,271.2,đang cập nhật,"Xã Đất Mũi, Xã Viên An, Xã Tân Ân (phần còn lại sau khi sáp nhập vào xã Phan Ngọc Hiển)",104.82,8.63698
