tentinh,tenxa,loai,matinh,maxa,danso,dientich_km2,trungtam_hc,truoc_sapnhap,kinhdo,vido
thành phố Cần Thơ,An Bình,phường,33,281,5015,18.39,UBND phường An Bình,"Phường An Bình, Xã Mỹ Khánh, Phường Long Tuyền",105.7,10.0009
thành phố Cần Thơ,An Lạc Thôn,xã,33,155,56248,84.99,UBND thị trấn An Lạc Thôn,"Thị trấn An Lạc Thôn, Xã Xuân Hòa, Xã Trinh Phú",105.912,9.87378
thành phố Cần Thơ,An Ninh,xã,33,323,40,68.81,UBND xã An Hiệp,"Xã An Hiệp, Xã An Ninh",105.911,9.63103
thành phố Cần Thơ,An Thạnh,xã,33,325,37711,94.92,UBND huyện Cù Lao Dung,"Thị trấn Cù Lao Dung, Xã An Thạnh 1, Xã An Thạnh Tây, Xã An Thạnh Đông",106.148,9.68459
thành phố Cần Thơ,Bình Thủy,phường,33,282,62483,15.17,đang cập nhật,"Phường An Thới, Phường Bình Thủy, Phường Bùi Hữu Nghĩa (phần còn lại sau khi sáp nhập vào phường Cái Khế)",105.752,10.0712
thành phố Cần Thơ,Cái Khế,phường,33,271,57688,10.04,UBND phường An Hòa,"Phường An Hòa, Phường Cái Khế, Phường Bùi Hữu Nghĩa",105.781,10.0517
thành phố Cần Thơ,Cái Răng,phường,33,285,71106,26.88,Quận ủy - UBND quận Cái Răng (cũ),"Phường Lê Bình, Phường Thường Thạnh, Phường Ba Láng, Phường Hưng Thạnh",105.761,9.98744
thành phố Cần Thơ,Châu Thành,xã,33,302,39104,47.71,UBND huyện Châu Thành,"Thị trấn Mái Dầm, Thị trấn Ngã Sáu, Xã Đông Phú",105.841,9.96217
thành phố Cần Thơ,Cờ Đỏ,xã,33,102,đang cập nhật,44.6265,Huyện ủy Cờ Đỏ,"Thị trấn Cờ Đỏ, Xã Thới Đông, Xã Thới Xuân",105.416,10.0678
thành phố Cần Thơ,Cù Lao Dung,xã,33,326,44937,150.13,UBND xã An Thạnh 3,"Xã An Thạnh 2, Xã Đại Ân 1, Xã An Thạnh 3, Xã An Thạnh Nam",106.225,9.57508
thành phố Cần Thơ,Đại Hải,xã,33,316,43579,70.52,UBND xã Đại Hải,"Xã Ba Trinh, Xã Đại Hải",105.881,9.79863
thành phố Cần Thơ,Đại Ngãi,xã,33,327,24532,37.67,UBND thị trấn Đại Ngãi,"Thị trấn Đại Ngãi, Xã Long Đức",106.08,9.70044
thành phố Cần Thơ,Đại Thành,phường,33,137,34594,53,UBND TP Ngã Bảy,"Phường Hiệp Lợi, Xã Tân Thành, Xã Đại Thành",105.82,9.84481
thành phố Cần Thơ,Đông Hiệp,xã,33,104,22762,46.25,UBND xã Đông Hiệp,"Xã Đông Thắng, Xã Xuân Thắng, Xã Đông Hiệp",105.503,10.0745
thành phố Cần Thơ,Đông Phước,xã,33,125,40105,40,UBND xã Đông Thạnh,"Thị trấn Cái Tắc, Xã Đông Thạnh, Xã Đông Phước A",105.763,9.93409
thành phố Cần Thơ,Đông Thuận,xã,33,105,24586,60.89,UBND xã Đông Thuận,"Xã Đông Bình, Xã Đông Thuận",105.469,10.0238
thành phố Cần Thơ,Gia Hòa,xã,33,157,40135,77.06,UBND xã Gia Hòa 2,"Xã Thạnh Quới, Xã Gia Hòa 2",105.8,9.43175
thành phố Cần Thơ,Hiệp Hưng,xã,33,304,33514,69.25,UBND huyện Phụng Hiệp,"Thị trấn Cây Dương, Xã Hiệp Hưng",105.741,9.76771
thành phố Cần Thơ,Hồ Đắc Kiện,xã,33,317,31322,72.61,UBND xã Hồ Đắc Kiện,"Xã Thiện Mỹ, Xã Hồ Đắc Kiện",105.857,9.7071
thành phố Cần Thơ,Hòa An,xã,33,139,32937,61.62,UBND thị trấn Kinh Cùng,"Thị trấn Kinh Cùng, Xã Hòa An",105.635,9.78092
thành phố Cần Thơ,Hỏa Lựu,xã,33,119,đang cập nhật,59.7457,UBND xã Hoả Lựu,"Xã Tân Tiến, Xã Hỏa Tiến, Xã Hỏa Lựu",105.401,9.71728
thành phố Cần Thơ,Hòa Tú,xã,33,338,24499,67.15,UBND huyện Mỹ Xuyên,"Xã Hòa Tú 1, Xã Hòa Tú 2",105.888,9.4164
thành phố Cần Thơ,Hưng Phú,phường,33,286,58543,40.93,UBND quận Cái Răng (mới),"Phường Tân Phú, Phường Phú Thứ, Phường Hưng Phú",105.803,9.99405
thành phố Cần Thơ,Kế Sách,xã,33,154,43332,61.58,UBND huyện Kế Sách,"Thị trấn Kế Sách, Xã Kế An, Xã Kế Thành",105.944,9.77057
thành phố Cần Thơ,Khánh Hòa,phường,33,167,37634,130.48,UBND phường Khánh Hòa,"Phường Khánh Hòa, Xã Vĩnh Hiệp, Xã Hòa Đông",106.026,9.40992
thành phố Cần Thơ,Lai Hòa,xã,33,170,29426,55.37,UBND xã Lai Hòa,Không sáp nhập,105.844,9.29803
thành phố Cần Thơ,Lâm Tân,xã,33,162,32006,90.83,UBND xã Lâm Tân,"Xã Tuân Tức, Xã Lâm Kiết, Xã Lâm Tân",105.773,9.50692
thành phố Cần Thơ,Lịch Hội Thượng,xã,33,333,27913,48.99,UBND thị trấn Lịch Hội Thượng,"Thị trấn Lịch Hội Thượng, Xã Lịch Hội Thượng",106.148,9.4652
thành phố Cần Thơ,Liêu Tú,xã,33,332,3137,83.15,UBND xã Liêu Tú,"Xã Viên Bình, Xã Liêu Tú",106.1,9.48141
thành phố Cần Thơ,Long Bình,phường,33,310,26378,40.2,UBND thị xã Long Mỹ,"Phường Bình Thạnh, Phường Vĩnh Tường, Xã Long Bình",105.587,9.72868
thành phố Cần Thơ,Long Hưng,xã,33,319,33579,79.71,UBND xã Long Hưng,"Xã Hưng Phú, Xã Long Hưng",105.798,9.68836
thành phố Cần Thơ,Long Mỹ,phường,33,309,35865,51.4,Thị uỷ Long Mỹ,"Phường Thuận An (thị xã Long Mỹ), Xã Long Trị, Xã Long Trị A",105.609,9.6862
thành phố Cần Thơ,Long Phú,xã,33,330,39763,76.77,UBND huyện Long Phú,"Thị trấn Long Phú, Xã Long Phú",106.123,9.59559
thành phố Cần Thơ,Long Phú 1,phường,33,311,30365,57.67,UBND xã Long Phú,"Phường Trà Lồng, Xã Tân Phú, Xã Long Phú",105.639,9.6522
thành phố Cần Thơ,Long Tuyền,phường,33,284,45292,28.48,UBND phường Long Tuyền,"Phường Long Hòa, Phường Long Tuyền (phần còn lại sau khi sáp nhập vào phường An Bình)",105.725,10.0432
thành phố Cần Thơ,Lương Tâm,xã,33,149,2402,60.53,UBND xã Lương Tâm,"Xã Lương Nghĩa, Xã Lương Tâm",105.428,9.62804
thành phố Cần Thơ,Mỹ Hương,xã,33,321,51412,104.74,UBND xã Mỹ Hương,"Xã Thuận Hưng, Xã Phú Mỹ, Xã Mỹ Hương",105.861,9.5898
thành phố Cần Thơ,Mỹ Phước,xã,33,324,23539,97.36,UBND xã Mỹ Phước,Không sáp nhập,105.721,9.58793
thành phố Cần Thơ,Mỹ Quới,phường,33,160,3024,83.91,UBND xã Mỹ Quới,"Phường 3 (thị xã Ngã Năm), Xã Mỹ Bình, Xã Mỹ Quới",105.58,9.4866
thành phố Cần Thơ,Mỹ Tú,xã,33,322,38049,86.63,UBND huyện Mỹ Tú,"Thị trấn Huỳnh Hữu Nghĩa, Xã Mỹ Thuận, Xã Mỹ Tú",105.792,9.59959
thành phố Cần Thơ,Mỹ Xuyên,phường,33,334,51769,48.34,UBND thị trấn Mỹ Xuyên,"Phường 10, Thị trấn Mỹ Xuyên, Xã Đại Tâm",105.918,9.54742
thành phố Cần Thơ,Ngã Bảy,phường,33,298,37861,25.17,UBND xã Ngã Bảy,"Phường Lái Hiếu, Phường Hiệp Thành, Phường Ngã Bảy",105.82,9.80178
thành phố Cần Thơ,Ngã Năm,phường,33,158,58588,95.3,UBND thị xã Ngã Năm,"Phường 1 (thị xã Ngã Năm), Phường 2 (thị xã Ngã Năm), Xã Vĩnh Quới",105.612,9.58612
thành phố Cần Thơ,Ngọc Tố,xã,33,339,47,112.53,UBND xã Ngọc Tố,"Xã Tham Đôn, Xã Ngọc Đông, Xã Ngọc Tố",105.939,9.47663
thành phố Cần Thơ,Nhơn Ái,xã,33,107,40707,38.16,UBND xã Nhơn Ái,"Xã Nhơn Nghĩa, Xã Nhơn Ái",105.682,9.97745
thành phố Cần Thơ,Nhơn Mỹ,xã,33,315,42213,79.73,UBND xã Nhơn Mỹ,"Xã An Mỹ, Xã Song Phụng, Xã Nhơn Mỹ",106.025,9.7621
thành phố Cần Thơ,Nhu Gia,xã,33,337,3839,75.59,UBND xã Thạnh Phú,"Xã Thạnh Phú, Xã Gia Hòa 1",105.855,9.47039
thành phố Cần Thơ,Ninh Kiều,phường,33,272,119547,5.42,UBND quận Ninh Kiều,"Phường Tân An, Phường Thới Bình, Phường Xuân Khánh",105.777,10.0331
thành phố Cần Thơ,Ô Môn,phường,33,81,73412,54.69,UBND quận Ô Môn,"Phường Châu Văn Liêm, Phường Thới Hòa, Phường Thới An, Xã Thới Thạnh",105.625,10.1245
