tentinh,tenxa,loai,matinh,maxa,danso,dientich_km2,trungtam_hc,truoc_sapnhap,kinhdo,vido
tỉnh Cao Bằng,Bạch Đằng,xã,7,1251,4808,141.61,Trụ sở UBND xã Bạch Đằng,"Xã Thịnh Vượng, Xã Bình Dương, Xã Bạch Đằng",106.159,22.59
tỉnh Cao Bằng,Bảo Lạc,xã,7,1233,10889,118.7,"Văn phòng HĐND, UBND huyện Bảo Lạc","Thị trấn Bảo Lạc, Xã Bảo Toàn, Xã Hồng Trị",105.633,22.9448
tỉnh Cao Bằng,Bảo Lâm,xã,7,1225,14198,161.82,"Trụ sở Văn phòng HĐND, UBND huyện Bảo Lâm và trụ sở Ban quản lý dự án Đầu tư và Xây dựng huyện Bảo Lâm","Thị trấn Pác Miầu, Xã Mông Ân, Xã Vĩnh Phong",105.545,22.8214
tỉnh Cao Bằng,Bế Văn Đàn,xã,7,684,10253,118.31,Trụ sở UBND xã Cách Linh,"Xã Hồng Quang, Xã Cách Linh, Xã Bế Văn Đàn",106.541,22.6125
tỉnh Cao Bằng,Ca Thành,xã,7,1241,4684,109.85,Trụ sở UBND xã Ca Thành,"Xã Yên Lạc, Xã Ca Thành",105.829,22.7238
tỉnh Cao Bằng,Cần Yên,xã,7,1255,10375,144.64,Trụ sở UBND xã Lương Thông,"Xã Cần Nông, Xã Lương Thông, Xã Cần Yên",105.926,22.8831
tỉnh Cao Bằng,Canh Tân,xã,7,1217,4513,132.36,Trụ sở UBND xã Canh Tân,"Xã Đức Thông, Xã Canh Tân",106.269,22.5093
tỉnh Cao Bằng,Cô Ba,xã,7,658,8397,134.52,Trụ sở UBND xã Thượng Hà (trụ sở cũ xóm Phiêng Sinh),"Xã Thượng Hà, Xã Cô Ba",105.714,22.9994
tỉnh Cao Bằng,Cốc Pàng,xã,7,1240,10134,170.28,Trụ sở UBND xã Cốc Pàng và trụ sở UBND xã Đức Hạnh,"Xã Đức Hạnh, Xã Cốc Pàng",105.577,23.0393
tỉnh Cao Bằng,Đàm Thủy,xã,7,685,12281,114.63,Trụ sở UBND xã Chí Viễn (trụ sở mới),"Xã Chí Viễn, Xã Phong Châu, Xã Đàm Thủy",106.651,22.8332
tỉnh Cao Bằng,Đình Phong,xã,7,711,10778,113.77,Trụ sở UBND xã Đình Phong (trụ sở mới),"Xã Ngọc Côn, Xã Ngọc Khê, Xã Phong Nặm, Xã Đình Phong",106.566,22.8904
tỉnh Cao Bằng,Đoài Dương,xã,7,717,12536,114.48,Trụ sở UBND xã Đoài Dương (trụ sở mới),"Xã Trung Phúc, Xã Cao Thăng, Xã Đoài Dương",106.503,22.7565
tỉnh Cao Bằng,Độc Lập,xã,7,675,8400,102.21,Trụ sở UBND xã Độc Lập (trụ sở mới),"Xã Quảng Hưng, Xã Cai Bộ, Xã Độc Lập",106.5,22.7084
tỉnh Cao Bằng,Đông Khê,xã,7,677,9099,125.27,"Trụ sở Văn phòng HĐND, UBND huyện Thạch An","Thị trấn Đông Khê, Xã Đức Xuân, Xã Trọng Con",106.358,22.4136
tỉnh Cao Bằng,Đức Long,xã,7,676,5236,106.93,Trụ sở UBND xã Đức Long,"Xã Đức Long (huyện Thạch An), Xã Thụy Hùng, Xã Lê Lợi",106.495,22.445
tỉnh Cao Bằng,Hạ Lang,xã,7,691,8091,81.13,Trụ sở HĐND và UBND huyện Hạ Lang,"Thị trấn Thanh Nhật, Xã Thống Nhất, Xã Thị Hoa",106.691,22.6132
tỉnh Cao Bằng,Hà Quảng,xã,7,1254,10997,112.25,Trụ sở UBND xã Ngọc Đào,"Xã Hồng Sỹ, Xã Ngọc Đào, Xã Mã Ba",106.16,22.8513
tỉnh Cao Bằng,Hạnh Phúc,xã,7,718,15009,126.78,Trụ sở UBND xã Ngọc Động,"Xã Ngọc Động (huyện Quảng Hòa), Xã Tự Do, Xã Hạnh Phúc",106.412,22.6235
tỉnh Cao Bằng,Hòa An,xã,7,1249,20329,97.03,đang cập nhật,"Thị trấn Nước Hai, Xã Đại Tiến, Xã Hồng Việt",106.181,22.7503
tỉnh Cao Bằng,Hưng Đạo,xã,7,1238,9354,122.43,Trụ sở UBND xã Hưng Đạo,"Xã Hưng Thịnh, Xã Kim Cúc, Xã Hưng Đạo (huyện Bảo Lạc)",105.675,22.8345
tỉnh Cao Bằng,Huy Giáp,xã,7,1244,7373,133.76,Trụ sở UBND xã Huy Giáp,"Xã Đình Phùng, Xã Huy Giáp",105.777,22.791
tỉnh Cao Bằng,Khánh Xuân,xã,7,1246,6563,109.96,Trụ sở UBND xã Khánh Xuân,"Xã Phan Thanh (huyện Bảo Lạc), Xã Khánh Xuân",105.76,22.9038
tỉnh Cao Bằng,Kim Đồng,xã,7,1218,6056,112.06,Trụ sở UBND xã Kim Đồng cũ,"Xã Hồng Nam, Xã Thái Cường, Xã Kim Đồng",106.345,22.5328
tỉnh Cao Bằng,Lũng Nặm,xã,7,1257,7221,97.59,Trụ sở UBND xã Lũng Nặm,"Xã Thượng Thôn, Xã Lũng Nặm",106.115,22.9158
tỉnh Cao Bằng,Lý Bôn,xã,7,1226,11807,173.25,Trụ sở UBND xã Lý Bôn,"Xã Vĩnh Quang (huyện Bảo Lâm), Xã Lý Bôn",105.531,22.9301
tỉnh Cao Bằng,Lý Quốc,xã,7,713,5966,102.18,Trụ sở UBND xã Lý Quốc,"Xã Minh Long, Xã Đồng Loan, Xã Lý Quốc",106.735,22.7947
tỉnh Cao Bằng,Minh Khai,xã,7,1219,4437,173.4,Trụ sở UBND xã Quang Trọng,"Xã Quang Trọng, Xã Minh Khai",106.171,22.4697
tỉnh Cao Bằng,Minh Tâm,xã,7,1223,8182,106.64,Trụ sở UBND xã Minh Tâm,"Xã Trương Lương, Xã Minh Tâm",106.078,22.6953
tỉnh Cao Bằng,Nam Quang,xã,7,1227,10140,148.16,Trụ sở UBND xã Nam Quang,"Xã Nam Cao, Xã Nam Quang",105.433,22.9159
tỉnh Cao Bằng,Nam Tuấn,xã,7,1248,16310,119.66,Trụ sở UBND xã Nam Tuấn,"Xã Đức Long (huyện Hòa An), Xã Dân Chủ, Xã Nam Tuấn",106.106,22.7807
tỉnh Cao Bằng,Nguyên Bình,xã,7,1221,9278,99.73,"Trụ sở Huyện ủy, HĐND, UBND huyện Nguyên Bình","Thị trấn Nguyên Bình, Xã Thể Dục, Xã Vũ Minh",105.983,22.6641
tỉnh Cao Bằng,Nguyễn Huệ,xã,7,1250,9349,146.8,Trụ sở UBND xã Nguyễn Huệ,"Xã Quang Trung (huyện Hòa An), Xã Ngũ Lão, Xã Nguyễn Huệ",106.297,22.6961
tỉnh Cao Bằng,Nùng Trí Cao,phường,7,1230,19507,29.31,Trụ sở UBND phường Sông Bằng,"Phường Ngọc Xuân, Phường Sông Bằng, Xã Vĩnh Quang (thành phố Cao Bằng)",106.24,22.697
tỉnh Cao Bằng,Phan Thanh,xã,7,1242,6647,138.09,Trụ sở UBND xã Phan Thanh,"Xã Phan Thanh (huyện Nguyên Bình), Xã Mai Long",105.8,22.6142
tỉnh Cao Bằng,Phục Hòa,xã,7,683,14339,122.7,đang cập nhật,"Thị trấn Tà Lùng, Thị trấn Hòa Thuận, Xã Mỹ Hưng, Xã Đại Sơn",106.531,22.5269
tỉnh Cao Bằng,Quang Hán,xã,7,714,6918,93.61,Trụ sở UBND xã Quang Hán,"Xã Quang Vinh, Xã Quang Hán",106.265,22.835
tỉnh Cao Bằng,Quảng Lâm,xã,7,1232,15245,172.93,Trụ sở UBND xã Thạch Lâm,"Xã Thạch Lâm, Xã Quảng Lâm",105.377,22.8561
tỉnh Cao Bằng,Quang Long,xã,7,712,5758,130.15,Trụ sở UBND xã Đức Quang (trụ sở mới),"Xã Đức Quang, Xã Thắng Lợi, Xã Quang Long",106.692,22.7373
tỉnh Cao Bằng,Quang Trung,xã,7,715,5975,82.6,Trụ sở UBND xã Quang Trung,"Xã Quang Trung (huyện Trùng Khánh), Xã Tri Phương, Xã Xuân Nội",106.389,22.8355
tỉnh Cao Bằng,Quảng Uyên,xã,7,674,16589,128.05,"Trụ sở Văn phòng HĐND, UBND huyện Quảng Hoà","Thị trấn Quảng Uyên, Xã Phi Hải, Xã Phúc Sen, Xã Chí Thảo",106.416,22.7143
tỉnh Cao Bằng,Sơn Lộ,xã,7,1239,5578,97.38,Trụ sở UBND xã Sơn Lộ,"Xã Sơn Lập, Xã Sơn Lộ",105.652,22.7344
