tentinh,tenxa,loai,matinh,maxa,danso,dientich_km2,trungtam_hc,truoc_sapnhap,kinhdo,vido
thành phố Đà Nẵng,An Hải,phường,21,1963,82635,7.37,"Số 289 đường Nguyễn Công Trứ, phường An Hải","Phường Phước Mỹ, Phường An Hải Bắc, Phường An Hải Nam",108.237,16.0689
thành phố Đà Nẵng,An Khê,phường,21,1945,93625,12.36,"Số 916 đường Tôn Đản, phường An Khê","Phường Hòa An, Phường Hòa Phát, Phường An Khê",108.179,16.0367
thành phố Đà Nẵng,An Thắng,phường,21,1982,34176,19.64,"Khối phố Phong Nhị, phường An Thắng","Phường Điện An, Phường Điện Thắng Nam, Phường Điện Thắng Trung",108.226,15.9096
thành phố Đà Nẵng,Avương,xã,21,1976,đang cập nhật,225.868,đang cập nhật,"Xã Bhalêê, Xã Avương",107.56,15.9534
thành phố Đà Nẵng,Bà Nà,xã,21,1967,25267,136.41,"Đường ĐH 2, thôn Thạch Nham Tây, xã Bà Nà","Xã Hòa Ninh, Xã Hòa Nhơn",108.046,16.0369
thành phố Đà Nẵng,Bàn Thạch,phường,21,1935,36800,34.77,"Số 268 đường Trưng Nữ Vương, phường Bàn Thạch","Phường Tân Thạnh, Phường Hòa Thuận, Xã Tam Thăng",108.483,15.5804
thành phố Đà Nẵng,Bến Giằng,xã,21,1993,8277,535.96,"Thôn Bến Giằng, xã Bến Giằng","Xã Cà Dy, Xã Tà Bhing, Xã Tà Pơơ",107.705,15.6497
thành phố Đà Nẵng,Bến Hiên,xã,21,1926,4588,255.85,"Thôn AXờ, xã Bến Hiên","Xã Kà Dăng, Xã Mà Cooih",107.716,15.8408
thành phố Đà Nẵng,Cẩm Lệ,phường,21,1921,78837,14.05,"Số 135 đường Ông Ích Đường, phường Cẩm Lệ","Phường Hòa Thọ Tây, Phường Hòa Thọ Đông, Phường Khuê Trung",108.173,16.0054
thành phố Đà Nẵng,Chiên Đàn,xã,21,1937,32145,48.63,"Số 01 đường Hà Đông, xã Chiên Đàn","Thị trấn Phú Thịnh, Xã Tam Đàn, Xã Tam Thái",108.394,15.5474
thành phố Đà Nẵng,Đắc Pring,xã,21,1974,3060,412.49,"Thôn 56B, xã Đắc Pring","Xã Đắc Pre, Xã Đắc Pring",107.602,15.5054
thành phố Đà Nẵng,Đại Lộc,xã,21,1984,61217,73.97,"Số 15 đường Hùng Vương, xã Đại Lộc","Thị trấn Ái Nghĩa, Xã Đại Hiệp, Xã Đại Hòa, Xã Đại An, Xã Đại Nghĩa",108.103,15.899
thành phố Đà Nẵng,Điện Bàn,phường,21,1991,41270,19.78,"Số 22 đường Hoàng Diệu, khối 3, phường Điện Bàn","Phường Điện Phương, Phường Điện Minh, Phường Vĩnh Điện",108.275,15.8766
thành phố Đà Nẵng,Điện Bàn Bắc,phường,21,1989,30780,33.39,"Thôn Xóm Bùng, phường Điện Bàn Bắc","Phường Điện Thắng Bắc, Xã Điện Hòa, Xã Điện Tiến",108.186,15.9381
thành phố Đà Nẵng,Điện Bàn Đông,phường,21,1992,72273,61.02,"Số 845 đường Trần Thủ Độ, Khối phố Quảng Lăng B","Phường Điện Nam Đông, Phường Điện Nam Trung, Phường Điện Dương, Phường Điện Ngọc, Phường Điện Nam Bắc",108.274,15.9309
thành phố Đà Nẵng,Điện Bàn Tây,xã,21,1983,44473,43.31,"Thôn Phong Thử 1, xã Điện Bàn Tây","Xã Điện Hồng, Xã Điện Thọ, Xã Điện Phước",108.177,15.8864
thành phố Đà Nẵng,Đồng Dương,xã,21,1951,24773,76.49,"Thôn Châu Lâm, xã Đồng Dương","Xã Bình Lãnh, Xã Bình Trị, Xã Bình Định",108.284,15.644
thành phố Đà Nẵng,Đông Giang,xã,21,1977,8870,169.43,"Thôn Ngã Ba, Xã Đông Giang","Thị trấn Prao, Xã Tà Lu, Xã A Rooi, Xã Zà Hung",107.66,15.9316
thành phố Đà Nẵng,Đức Phú,xã,21,1959,9240,108.97,"Thôn Thuận Yên Đông, xã Đức Phú","Xã Tam Sơn, Xã Tam Thạnh",108.504,15.4397
thành phố Đà Nẵng,Duy Nghĩa,xã,21,1930,32143,35.36,"Thôn Thuận An, xã Duy Nghĩa","Xã Duy Thành, Xã Duy Hải, Xã Duy Nghĩa",108.367,15.8393
thành phố Đà Nẵng,Duy Xuyên,xã,21,1980,32243,125.78,"Thôn An Hòa, xã Duy Xuyên","Xã Duy Trung, Xã Duy Sơn, Xã Duy Trinh",108.202,15.7819
thành phố Đà Nẵng,Gò Nổi,xã,21,1981,29968,36.2,"Thôn Đông Lãnh, xã Gò Nổi","Xã Điện Phong, Xã Điện Trung, Xã Điện Quang",108.207,15.8533
thành phố Đà Nẵng,Hà Nha,xã,21,1925,38199,132.69,"Thôn Hà Nha, xã Hà Nha","Xã Đại Đồng, Xã Đại Hồng, Xã Đại Quang",107.991,15.8633
thành phố Đà Nẵng,Hải Châu,phường,21,1949,131427,7.58,"Số 15 đường Lê Hồng Phong, phường Hải Châu","Phường Thanh Bình, Phường Thuận Phước, Phường Thạch Thang, Phường Phước Ninh, Phường Hải Châu",108.218,16.0762
thành phố Đà Nẵng,Hải Vân,phường,21,1966,48992,406.09,"Lô 1-2 đường Nguyễn Tất Thành, phường Hải Vân","Phường Hòa Hiệp Bắc, Phường Hòa Hiệp Nam, Xã Hòa Bắc, Xã Hòa Liên",107.972,16.1315
thành phố Đà Nẵng,Hiệp Đức,xã,21,1948,14931,150.47,"Số 125, đường Hùng Vương, xã Hiệp Đức","Thị trấn Tân Bình, Xã Quế Tân, Xã Quế Lưu",108.052,15.587
thành phố Đà Nẵng,Hòa Cường,phường,21,1942,119363,15.72,"Số 338 đường Núi Thành, phường Hòa Cường","Phường Bình Thuận, Phường Hòa Thuận Tây, Phường Hòa Cường Bắc, Phường Hòa Cường Nam",108.212,16.0458
thành phố Đà Nẵng,Hòa Khánh,phường,21,1946,112518,40.93,"Số 168 đường Nguyễn Sinh Sắc, phường Hòa Khánh","Phường Hòa Khánh Nam, Phường Hòa Minh, Xã Hòa Sơn",108.131,16.0471
thành phố Đà Nẵng,Hòa Tiến,xã,21,1968,38823,65.9,"Thôn Phú Sơn Tây (Quốc lộ 14B), xã Hòa Tiến","Xã Hòa Khương, Xã Hòa Tiến",108.1,15.9566
