tentinh,tenxa,loai,matinh,maxa,danso,dientich_km2,trungtam_hc,truoc_sapnhap,kinhdo,vido
tỉnh Đắk Lắk,Bình Kiến,phường,25,2930,44406,73.71,đang cập nhật,"Xã An Phú, Xã Hòa Kiến, Xã Bình Kiến, Phường 9 (phần còn lại sau khi sáp nhập vào phường Tuy Hòa)",109.251,13.1377
tỉnh Đắk Lắk,Buôn Đôn,xã,25,2859,6582,1118.35,"Trụ sở UBND xã Krông Na, Trụ sở Trường Mầm non Họa My",Krông Na,107.679,12.9312
tỉnh Đắk Lắk,Buôn Hồ,phường,25,2864,6278,66.54,"Trụ sở Thị ủy Buôn Hồ, Trụ sở UBND thị xã Buôn Hồ","Phường Đạt Hiếu, Phường An Bình, Phường An Lạc, Phường Thiện An, Phường Thống Nhất, Phường Đoàn Kết",108.251,12.8944
tỉnh Đắk Lắk,Buôn Ma Thuột,phường,25,2788,169596,71.99,"Trụ sở UBND TP Buôn Ma Thuột, Văn phòng HĐND – UBND – 27 Trường Chinh, phường Tân Lợi","Phường Thành Công, Phường Tân Tiến, Phường Tân Thành, Phường Tự An, Phường Tân Lợi, Xã Cư Êbur",108.028,12.7089
tỉnh Đắk Lắk,Cư Bao,phường,25,2867,36911,104.94,"Trụ sở UBND xã Cư Bao, Trụ sở UBND phường Bình Tân, Trụ sở UBND xã Bình Thuận","Phường Bình Tân, Xã Bình Thuận, Xã Cư Bao",108.252,12.8055
tỉnh Đắk Lắk,Cư M’gar,xã,25,2895,đang cập nhật,114.389,"Trụ sở UBND xã Ea Kpam, Trụ sở UBND xã Ea H’đing","Xã Ea H’đing, Xã Ea Kpam, Xã Cư M’gar",108.069,12.8706
tỉnh Đắk Lắk,Cư M’ta,xã,25,2877,đang cập nhật,279.421,Trụ sở UBND xã Cư M’ta,"Xã Cư Króa, Xã Cư M’ta",108.878,12.7193
tỉnh Đắk Lắk,Cư Pơng,xã,25,2907,17687,137.81,"Trụ sở UBND xã Ea Sin, Trụ sở UBND xã Cư Pơng (mới) Buôn Kbuôr","Xã Ea Sin, Xã Cư Pơng",108.152,13.0432
tỉnh Đắk Lắk,Cư Prao,xã,25,2910,13765,204.89,Trụ sở UBND xã Cư Prao,"Xã Ea Pil, Xã Cư Prao",108.635,12.8359
tỉnh Đắk Lắk,Cư Pui,xã,25,2882,27561,314.08,"Trụ sở UBND xã Hòa Phong, Trụ sở UBND xã Cư Pui","Xã Hòa Phong (huyện Krông Bông), Xã Cư Pui",108.498,12.5467
tỉnh Đắk Lắk,Cư Yang,xã,25,2874,16682,149.43,"Trụ sở UBND xã Cư Bông, Trụ sở UBND xã Cư Yang","Xã Cư Bông, Xã Cư Yang",108.628,12.648
tỉnh Đắk Lắk,Cuôr Đăng,xã,25,2863,28804,102.84,"Trụ sở UBND xã Cuôr Đăng, Trụ sở UBND xã Ea Drơng","Xã Ea Drơng, Xã Cuôr Đăng",108.168,12.7776
tỉnh Đắk Lắk,Đắk Liêng,xã,25,2901,22881,135.55,"Trụ sở UBND xã Đắk Liêng, Trụ sở UBND xã Buôn Triết, Trụ sở UBND xã Buôn Tría","Xã Buôn Tría, Xã Buôn Triết, Xã Đắk Liêng",108.091,12.3907
tỉnh Đắk Lắk,Đắk Phơi,xã,25,2902,14726,266.83,"Trụ sở UBND xã Đắk Phơi, Trụ sở UBND xã Đắk Nuê","Xã Đắk Nuê, Xã Đắk Phơi",108.202,12.3118
tỉnh Đắk Lắk,Dang Kang,xã,25,2881,21301,105.91,"Trụ sở UBND xã Cư Kty, Trụ sở UBND xã Dang Kang","Xã Hòa Thành (huyện Krông Bông), Xã Cư Kty, Xã Dang Kang",108.319,12.5746
tỉnh Đắk Lắk,Dliê Ya,xã,25,2908,46569,179.73,đang cập nhật,"Xã Ea Tóh, Xã Ea Tân, Xã Dliê Ya",108.348,13.0879
tỉnh Đắk Lắk,Đông Hòa,phường,25,2938,132056,21.89,"Trụ sở Thị ủy Đông Hòa, Trụ sở UBND thị xã Đông Hòa","Phường Hòa Vinh, Phường Hòa Xuân Tây, Xã Hòa Tân Đông",109.316,12.9607
tỉnh Đắk Lắk,Đồng Xuân,xã,25,2913,26907,206.26,"Trụ sở Huyện ủy Đồng Xuân, Trụ sở UBND huyện Đồng Xuân","Thị trấn La Hai, Xã Xuân Sơn Nam, Xã Xuân Sơn Bắc, Xã Xuân Long, Xã Xuân Quang 2",109.094,13.391
tỉnh Đắk Lắk,Dray Bhăng,xã,25,2899,39801,101.37,"Trụ sở Huyện uỷ Cư Kuin, Trụ sở UBND huyện Cư Kuin","Xã Hòa Hiệp, Xã Dray Bhăng, Xã Ea Bhốk",108.173,12.5479
tỉnh Đắk Lắk,Đức Bình,xã,25,2927,15896,160.36,Trụ sở UBND xã Đức Bình Đông,"Xã Sơn Giang, Xã Đức Bình Đông, Xã Đức Bình Tây, Xã Ea Bia",108.978,12.9847
tỉnh Đắk Lắk,Dur Kmăl,xã,25,2900,12594,114.49,"Trụ sở UBND xã Băng A Drênh, Trụ sở UBND xã Dur Kmăl","Xã Băng A Drênh, Xã Dur Kmăl",108.12,12.4739
tỉnh Đắk Lắk,Ea Bá,xã,25,2928,8316,131.79,Trụ sở UBND xã Ea Bar,"Xã Ea Bá, Xã Ea Bar (huyện Sông Hinh) (phần còn lại sau khi sáp nhập vào xã Ea Ly)",108.819,12.9719
tỉnh Đắk Lắk,Ea Bung,xã,25,2802,9677,390.08,Trụ sở UBND Xã Ea Bung,"Xã Ya Tờ Mốt, Xã Ea Bung",107.696,13.1158
tỉnh Đắk Lắk,Ea Drăng,xã,25,2904,54475,171.34,"Trụ sở UBND huyện Ea Hleo, Trung tâm hành chính công, Trụ sở Huyện ủy","Thị trấn Ea Drăng, Xã Ea Ral, Xã Dliê Yang",108.222,13.2192
tỉnh Đắk Lắk,Ea Drông,xã,25,2866,23951,111.13,"Trụ sở UBND xã Ea Blang cũ, Trụ sở UBND xã Ea Drông, Trụ sở UBND xã Ea Siên","Xã Ea Siên, Xã Ea Drông",108.321,12.8663
tỉnh Đắk Lắk,Ea H’Leo,xã,25,2795,đang cập nhật,338.324,đang cập nhật,Không sáp nhập,108.095,13.3407
tỉnh Đắk Lắk,Ea Hiao,xã,25,2905,30796,361.69,"Trụ sở UBND xã Ea Sol, Trụ sở UBND xã Ea Hiao","Xã Ea Sol, Xã Ea Hiao",108.326,13.2482
tỉnh Đắk Lắk,Ea Kao,phường,25,2893,5707,60.7,"Trụ sở UBND xã Ea Kao, Trụ sở UBND phường Ea Tam","Phường Ea Tam, Xã Ea Kao",108.048,12.6109
tỉnh Đắk Lắk,Ea Kar,xã,25,2870,87972,198.67,"Trụ sở HĐND & UBND huyện Ea Kar, Trụ sở Huyện uỷ Ea Kar, Trụ sở UBMTTQ Việt Nam","Thị trấn Ea Kar, Xã Cư Huê, Xã Ea Đar, Xã Ea Kmút, Xã Cư Ni, Xã Xuân Phú",108.468,12.7996
tỉnh Đắk Lắk,Ea Khăl,xã,25,2797,29956,247.05,"Trụ sở UBND xã Ea Nam, Trụ sở UBND xã Ea Khăl","Xã Ea Nam, Xã Ea Tir, Xã Ea Khăl",108.127,13.135
tỉnh Đắk Lắk,Ea Kiết,xã,25,2860,20177,201.83,"Trụ sở UBND xã Ea Kiết, Trụ sở UBND xã Ea Kuêh","Xã Ea Kuêh, Xã Ea Kiết",108.035,12.9926
tỉnh Đắk Lắk,Ea Kly,xã,25,2886,40161,107.63,"Trụ sở UBND xã Krông Búk, Trụ sở UBND xã Ea Kly","Xã Krông Búk, Xã Ea Kly",108.401,12.7626
tỉnh Đắk Lắk,Ea Knốp,xã,25,2871,37016,448.65,"Trụ sở UBND thị trấn Ea Knốp, Trụ sở UBND xã Ea Tih, Trụ sở UBND xã Ea Sar","Thị trấn Ea Knốp, Xã Ea Tih, Xã Ea Sô, Xã Ea Sar",108.573,12.9208
tỉnh Đắk Lắk,Ea Knuếc,xã,25,2896,43748,122.39,"Trụ sở UBND xã Ea Knuếc, Trụ sở UBND xã Ea Kênh","Xã Hòa Đông, Xã Ea Kênh, Xã Ea Knuếc",108.21,12.6954
tỉnh Đắk Lắk,Ea Ktur,xã,25,2898,54269,100.72,Trụ sở UBND xã Ea Ktur,"Xã Ea Tiêu, Xã Ea Ktur, Xã Ea Bhốk (phần còn lại sau khi sáp nhập vào xã Dray Bhăng)",108.134,12.6141
tỉnh Đắk Lắk,Ea Ly,xã,25,2926,12104,140.35,Trụ sở UBND xã Ea Ly,"Xã Ea Lâm, Xã Ea Ly, Xã Ea Bar (huyện Sông Hinh)",108.745,12.9885
tỉnh Đắk Lắk,Ea M’Droh,xã,25,2861,đang cập nhật,135.509,"Trụ sở UBND xã Quảng Hiệp, Trụ sở UBND xã Ea M’Droh","Xã Quảng Hiệp, Xã Ea M’nang, Xã Ea M’Droh",107.972,12.8669
tỉnh Đắk Lắk,Ea Na,xã,25,2793,42164,134.18,"Trụ sở UBND xã Ea Na, Trụ sở UBND xã Dray Sáp","Xã Ea Bông, Xã Dray Sáp, Xã Ea Na",108.005,12.5378
tỉnh Đắk Lắk,Ea Ning,xã,25,2897,34175,86.21,Trụ sở UBND Xã Cư Êwi,"Xã Cư Êwi, Xã Ea Hu, Xã Ea Ning",108.235,12.6041
tỉnh Đắk Lắk,Ea Nuôl,xã,25,2790,43706,111.74,Trụ sở UBND xã Cuôr Knia,"Xã Ea Bar (huyện Buôn Đôn), Xã Cuôr Knia, Xã Ea Nuôl",107.927,12.7205
tỉnh Đắk Lắk,Ea Ô,xã,25,2873,23852,137.73,"Trụ sở UBND xã Ea Ô, Trụ sở UBND xã Cư Elang cũ","Xã Cư Elang, Xã Ea Ô",108.528,12.6536
tỉnh Đắk Lắk,Ea Păl,xã,25,2872,15049,102.52,"Trụ sở UBND xã Ea Păl, Trụ sở UBND xã Cư Prông","Xã Cư Prông, Xã Ea Păl",108.606,12.7367
tỉnh Đắk Lắk,Ea Phê,xã,25,2887,48605,84.66,"Trụ sở UBND xã Ea Kuăng, Trụ sở UBND xã Ea Phê","Xã Ea Kuăng, Xã Ea Hiu, Xã Ea Phê",108.364,12.726
tỉnh Đắk Lắk,Ea Riêng,xã,25,2876,15719,167.56,"Trụ sở UBND xã Ea Riêng, Khối đoàn thể xã Ea Riêng - Thôn 9, xã Ea Riêng","Xã Ea H’Mlay, Xã Ea M’Doal, Xã Ea Riêng",108.839,12.7989
tỉnh Đắk Lắk,Ea Rốk,xã,25,2800,28785,544.6,Trụ sở UBND Xã Ea Rốk,"Xã Ia Jlơi, Xã Cư Kbang, Xã Ea Rốk",107.887,13.2669
tỉnh Đắk Lắk,Ea Súp,xã,25,2798,30762,418.72,"Trụ sở HĐND & UBND huyện Ea Súp, Trụ sở Huyện ủy Ea Súp, Trung tâm hành chính công","Thị trấn Ea Súp, Xã Cư M’Lan, Xã Ea Lê",107.877,13.0356
tỉnh Đắk Lắk,Ea Trang,xã,25,2879,6585,207.4,"Trụ sở UBND xã Ea Trang, Trạm phát lại truyền hình - xã Ea Trang",Không sáp nhập,108.843,12.613
tỉnh Đắk Lắk,Ea Tul,xã,25,2862,34876,159.51,"Trụ sở UBND xã Ea Tul, Trụ sở UBND xã Ea Tar","Xã Ea Tar, Xã Cư Dliê Mnông, Xã Ea Tul",108.148,12.9099
tỉnh Đắk Lắk,Ea Wer,xã,25,2791,29708,184.61,"Trụ sở UBND huyện Buôn Đôn, Trụ sở Huyện ủy Buôn Đôn","Xã Ea Huar, Xã Tân Hòa, Xã Ea Wer",107.884,12.8306
tỉnh Đắk Lắk,Ea Wy,xã,25,2796,28567,213.94,"Trụ sở UBND xã Ea Wy, Trụ sở UBND xã Cư A Mung","Xã Cư A Mung, Xã Cư Mốt, Xã Ea Wy",108.061,13.213
tỉnh Đắk Lắk,Hòa Hiệp,phường,25,2939,53597,40.81,"Trụ sở UBND phường Hòa Hiệp Trung, Trụ sở UBND phường Hòa Hiệp Nam","Phường Hòa Hiệp Trung, Phường Hòa Hiệp Nam, Phường Hòa Hiệp Bắc (phần còn lại sau khi sáp nhập vào phường Phú Yên)",109.373,12.9899
tỉnh Đắk Lắk,Hòa Mỹ,xã,25,2940,2653,190.14,Trụ sở UBND xã Hòa Mỹ Đông,"Xã Hòa Mỹ Đông, Xã Hòa Mỹ Tây",109.158,12.8858
tỉnh Đắk Lắk,Hòa Phú,xã,25,2789,48822,109.07,"Trụ sở UBND xã Hòa Khánh, Trụ sở UBND xã Hòa Phú","Xã Hòa Phú (thành phố Buôn Ma Thuột), Xã Hòa Xuân, Xã Hòa Khánh",107.958,12.6162
tỉnh Đắk Lắk,Hòa Sơn,xã,25,2883,25392,108.55,"Trụ sở UBND xã Ea Trul, Trụ sở UBND xã Hòa Sơn","Xã Yang Reh, Xã Ea Trul, Xã Hòa Sơn",108.268,12.4897
tỉnh Đắk Lắk,Hòa Thịnh,xã,25,2942,30602,159.23,Trụ sở UBND xã Hòa Đồng,"Xã Hòa Đồng, Xã Hòa Thịnh",109.257,12.8896
tỉnh Đắk Lắk,Hòa Xuân,xã,25,2941,22962,129.33,Trụ sở UBND xã Hòa Xuân Đông,"Xã Hòa Tâm, Xã Hòa Xuân Đông, Xã Hòa Xuân Nam",109.387,12.904
tỉnh Đắk Lắk,Ia Lốp,xã,25,2799,6502,194.09,Trụ sở UBND Xã Ia Lốp,Không sáp nhập,107.732,13.3153
tỉnh Đắk Lắk,Ia Rvê,xã,25,2801,6847,217.83,Trụ sở UBND Xã Ia Rvê,Không sáp nhập,107.65,13.2245
tỉnh Đắk Lắk,Krông Á,xã,25,2878,129,291.6,Trụ sở UBND xã Cư San,"Xã Cư San, Xã Krông Á",108.769,12.5446
