tentinh,tenxa,loai,matinh,maxa,danso,dientich_km2,trungtam_hc,truoc_sapnhap,kinhdo,vido
tỉnh Điện Biên,Búng Lao,xã,13,2279,19657,145.85,"Trụ sở Đảng ủy, HĐND và UBND xã Búng Lao","Xã Ẳng Tở, Xã Chiềng Đông, Xã Búng Lao",103.306,21.5388
tỉnh Điện Biên,Chà Tở,xã,13,2258,5208,227.92,"Trụ sở Đảng ủy, HĐND và UBND xã Chà Tở","Xã Nậm Khăn, Xã Chà Tở",102.939,21.988
tỉnh Điện Biên,Chiềng Sinh,xã,13,2276,15371,218.01,"Trụ sở Đảng ủy, HĐND và UBND xã Nà Sáy","Xã Nà Sáy, Xã Mường Thín, Xã Mường Khong, Xã Chiềng Sinh",103.34,21.6201
tỉnh Điện Biên,Điện Biên Phủ,phường,13,2247,49205,56.75,"Trụ sở Thành ủy, HĐND và UBND TP Điện Biên Phủ","Phường Him Lam, Phường Tân Thanh, Phường Mường Thanh, Phường Thanh Bình, Phường Thanh Trường, Xã Thanh Minh",103.046,21.4095
tỉnh Điện Biên,Mường Ảng,xã,13,2273,17604,85.94,"Trụ sở Huyện ủy, HĐND và UBND huyện Mường Ảng","Thị trấn Mường Ảng, Xã Ẳng Nưa, Xã Ẳng Cang",103.214,21.4915
tỉnh Điện Biên,Mường Chà,xã,13,2250,13884,462.28,"Trụ sở Đảng ủy, HĐND và UBND xã Chà Cang","Xã Chà Cang, Xã Chà Nưa, Xã Nậm Tin, Xã Pa Tần",102.799,21.9679
tỉnh Điện Biên,Mường Lạn,xã,13,2280,10901,264.89,"Trụ sở Đảng ủy, HĐND và UBND xã Mường Lạn","Xã Nặm Lịch, Xã Xuân Lao, Xã Mường Lạn",103.314,21.4545
tỉnh Điện Biên,Mường Lay,phường,13,2248,18208,222.65,"Trụ sở Thị ủy, HĐND và UBND thị xã Mường Lay","Phường Sông Đà, Phường Na Lay, Xã Lay Nưa, Xã Sá Tổng",103.174,22.0203
tỉnh Điện Biên,Mường Luân,xã,13,2266,16012,186.22,"Trụ sở Đảng ủy, HĐND và UBND xã Mường Luân","Xã Chiềng Sơ, Xã Luân Giói, Xã Mường Luân",103.385,21.2474
tỉnh Điện Biên,Mường Mùn,xã,13,2275,14374,252.84,"Trụ sở Đảng ủy, HĐND và UBND xã Mường Mùn","Xã Mùn Chung, Xã Pú Xi, Xã Mường Mùn",103.297,21.7236
tỉnh Điện Biên,Mường Nhà,xã,13,2287,9653,463,"Trụ sở Đảng ủy, HĐND và UBND xã Phu Luông","Xã Mường Lói, Xã Phu Luông, Xã Mường Nhà",103.166,20.9745
tỉnh Điện Biên,Mường Nhé,xã,13,2251,24294,489.47,"Trụ sở Huyện ủy, HĐND và UBND huyện Mường Nhé","Xã Nậm Vì, Xã Chung Chải, Xã Mường Nhé",102.427,22.22
tỉnh Điện Biên,Mường Phăng,xã,13,2281,16063,166.7,"Trụ sở Đảng ủy, HĐND và UBND xã Mường Phăng","Xã Nà Nhạn, Xã Pá Khoang, Xã Mường Phăng",103.104,21.466
tỉnh Điện Biên,Mường Pồn,xã,13,2263,10401,258.76,"Trụ sở Đảng ủy, HĐND và UBND xã Mường Mươn","Xã Mường Mươn, Xã Mường Pồn",103.032,21.5931
tỉnh Điện Biên,Mường Thanh,phường,13,2246,25517,27.56,"Trụ sở Huyện ủy, HĐND và UBND huyện Điện Biên","Phường Noong Bua, Phường Nam Thanh, Xã Thanh Xương",103.034,21.3627
tỉnh Điện Biên,Mường Toong,xã,13,2253,10832,230.69,"Trụ sở Đảng ủy, HĐND và UBND xã Mường Toong","Xã Huổi Lếch, Xã Mường Toong",102.696,22.1576
tỉnh Điện Biên,Mường Tùng,xã,13,2259,945,278.93,"Trụ sở Đảng ủy, HĐND và UBND xã Mường Tùng","Xã Huổi Lèng, Xã Mường Tùng",103.08,21.9462
