tentinh,tenxa,loai,matinh,maxa,danso,dientich_km2,trungtam_hc,truoc_sapnhap,kinhdo,vido
tỉnh Đồng Nai,An Lộc,phường,28,2310,35531,88.7,"Ấp Vườn Rau, phường Bình Long.","Phường Phú Thịnh, Xã Thanh Phú, Xã Thanh Lương",106.582,11.7021
tỉnh Đồng Nai,An Phước,xã,28,3147,23788,64.9,"Ấp 7, xã An Phước.","Xã Tam An, Xã An Phước",106.927,10.8061
tỉnh Đồng Nai,An Viễn,xã,28,3137,2415,47.7,"Đường ĐT 777, ấp 3, xã An Viễn.","Xã Đồi 61, Xã An Viễn",107.015,10.901
tỉnh Đồng Nai,Bảo Vinh,phường,28,3159,36989,50.9,"Đường Duy Tân, khu phố Ruộng Hời, phường Bảo Vinh.","Phường Bảo Vinh, Xã Bảo Quang",107.278,10.9683
tỉnh Đồng Nai,Bàu Hàm,xã,28,3134,55559,97.5,"Đường Trảng Bom - Cây Gáo, ấp Tân Lập 1, xã Bàu Hàm.","Xã Thanh Bình (huyện Trảng Bom), Xã Cây Gáo, Xã Sông Thao, Xã Bàu Hàm",107.085,11.0255
tỉnh Đồng Nai,Biên Hòa,phường,28,3156,74919,21.5,"Số 277 Nguyễn Tri Phương, khu phố 2, phường Biên Hòa.","Phường Tân Hạnh, Phường Hóa An, Phường Bửu Hòa, Phường Tân Vạn",106.802,10.9336
tỉnh Đồng Nai,Bình An,xã,28,3148,59475,73.43,"Đường Nguyễn Thị Giờ, khu 13, xã Bình An.","Xã Long Đức, Xã Bình An",107.014,10.8505
tỉnh Đồng Nai,Bình Lộc,phường,28,3158,36195,77.2,"Đường N5, phường Bình Lộc.","Phường Suối Tre, Xã Xuân Thiện, Xã Bình Lộc",107.223,10.9901
tỉnh Đồng Nai,Bình Long,phường,28,2309,41048,49.1,"Đường Lê Quý Đôn, phường Bình Long.","Phường An Lộc, Phường Hưng Chiến, Phường Phú Đức, Xã Thanh Bình (huyện Hớn Quản)",106.598,11.6321
tỉnh Đồng Nai,Bình Minh,xã,28,3136,83354,36.7,"Đường 65, ấp Tân Bắc, xã Bình Minh.","Xã Bình Minh (huyện Trảng Bom), Xã Bắc Sơn",106.97,10.9689
tỉnh Đồng Nai,Bình Phước,phường,28,2291,11144,86.4,"Đường Cách Mạng Tháng Tám, phường Bình Phước.","Phường Tân Phú, Phường Tân Đồng, Phường Tân Thiện, Phường Tân Bình, Phường Tân Xuân, Xã Tiến Hưng",106.899,11.5209
tỉnh Đồng Nai,Bình Tân,xã,28,2296,28642,190.9,"Thôn 1, xã Bình Tân.","Xã Long Hưng (huyện Phú Riềng), Xã Long Bình, Xã Bình Tân",106.806,11.8155
tỉnh Đồng Nai,Bom Bo,xã,28,2322,27064,245.9,"Thôn 3, xã Bom Bo.","Xã Bình Minh (huyện Bù Đăng), Xã Bom Bo",107.15,11.8698
tỉnh Đồng Nai,Bù Đăng,xã,28,2319,32145,156.1,"Quốc lộ 14, khu phố Hòa Đồng, xã Bù Đăng.","Thị trấn Đức Phong, Xã Đoàn Kết, Xã Minh Hưng",107.249,11.8184
tỉnh Đồng Nai,Bù Gia Mập,xã,28,2325,8274,342.5,"Thôn Bù Lư, xã Bù Gia Mập.",Không sáp nhập,107.168,12.1358
tỉnh Đồng Nai,Cẩm Mỹ,xã,28,3120,45728,113.1,"Khu phố Suối Râm, thị trấn Long Giao.","Thị trấn Long Giao, Xã Nhân Nghĩa, Xã Xuân Mỹ, Xã Bảo Bình",107.258,10.8061
tỉnh Đồng Nai,Chơn Thành,phường,28,2329,415,124.4,"Đường Hồ Văn Huê, khu phố Trung Lợi, phường Chơn Thành.","Phường Hưng Long, Phường Thành Tâm, Phường Minh Thành",106.646,11.4153
tỉnh Đồng Nai,Đa Kia,xã,28,2295,31752,196.3,đang cập nhật,"Xã Phước Minh, Xã Bình Thắng, Xã Đa Kia",106.863,11.9028
tỉnh Đồng Nai,Đại Phước,xã,28,3168,55364,98,"Đường Lý Thái Tổ, ấp Phước Lý, xã Đại Phước.","Xã Phú Hữu, Xã Phú Đông, Xã Phước Khánh, Xã Đại Phước",106.779,10.712
tỉnh Đồng Nai,Đak Lua,xã,28,3170,đang cập nhật,415.604,"Tổ 5, ấp 5, xã Đak Lua.",Không sáp nhập,107.32,11.4637
tỉnh Đồng Nai,Đak Nhau,xã,28,2320,đang cập nhật,182.571,đang cập nhật,"Xã Đường 10, Xã Đak Nhau",107.222,11.9733
tỉnh Đồng Nai,Đăk Ơ,xã,28,2316,đang cập nhật,246.711,"Thôn Đăk Lim, xã Đăk Ơ.",Không sáp nhập,107.056,12.067
tỉnh Đồng Nai,Dầu Giây,xã,28,3139,71921,98.9,"Ấp Lập Thành, xã Dầu Giây.","Thị trấn Dầu Giây, Xã Hưng Lộc, Xã Bàu Hàm 2, Xã Lộ 25",107.129,10.9214
tỉnh Đồng Nai,Định Quán,xã,28,3172,85523,295.8,"Đường Nguyễn Ái Quốc, tổ 3, khu phố Hiệp Tâm 1, thị trấn Định Quán.","Thị trấn Định Quán, Xã Phú Ngọc, Xã Gia Canh, Xã Ngọc Định",107.356,11.1398
tỉnh Đồng Nai,Đồng Phú,xã,28,2327,45557,138.7,"Đường Trần Phú, khu phố Tân An, xã Đồng Phú.","Thị trấn Tân Phú, Xã Tân Tiến (huyện Đồng Phú), Xã Tân Lập",106.847,11.4115
tỉnh Đồng Nai,Đồng Tâm,xã,28,2318,35573,248.8,"Quốc lộ 14, ấp 3, xã Đồng Tâm.","Xã Đồng Tiến, Xã Tân Phước, Xã Đồng Tâm",107.021,11.5709
tỉnh Đồng Nai,Đồng Xoài,phường,28,2292,35887,81.3,"Quốc lộ 14, phường Đồng Xoài.","Phường Tiến Thành, Xã Tân Thành (thành phố Đồng Xoài)",106.817,11.53
tỉnh Đồng Nai,Gia Kiệm,xã,28,3138,79274,82.7,"Ấp Nam Sơn, xã Gia Kiệm.","Xã Quang Trung, Xã Gia Tân 3, Xã Gia Kiệm",107.159,11.0194
tỉnh Đồng Nai,Hàng Gòn,phường,28,3160,24931,45.6,"Quốc lộ 56, phường Hàng Gòn.","Phường Xuân Tân, Xã Hàng Gòn",107.217,10.8786
tỉnh Đồng Nai,Hố Nai,phường,28,3124,78902,22.9,"Số 386 quốc lộ 1A, khu phố 1, phường Hố Nai.","Phường Tân Hòa, Xã Hố Nai 3",106.927,10.9755
tỉnh Đồng Nai,Hưng Phước,xã,28,2308,12427,187.2,"Ấp 4, xã Hưng Phước.","Xã Phước Thiện, Xã Hưng Phước",106.877,12.0352
tỉnh Đồng Nai,Hưng Thịnh,xã,28,3135,57825,57.6,"Quốc lộ 1, khu 6, ấp Bàu Cá, xã Hưng Thịnh.","Xã Đông Hòa, Xã Tây Hòa, Xã Trung Hòa, Xã Hưng Thịnh",107.065,10.9246
