tentinh,tenxa,loai,matinh,maxa,danso,dientich_km2,trungtam_hc,truoc_sapnhap,kinhdo,vido
tỉnh Đồng Tháp,An Bình,phường,31,424,5015,18.39,UBND phường An Lộc,"Phường An Lộc, Phường An Bình A, Phường An Bình B",105.39,10.7881
tỉnh Đồng Tháp,An Hòa,xã,31,428,19033,77.9,UBND xã An Hòa,"Xã Phú Thành B, Xã An Hòa",105.462,10.7532
tỉnh Đồng Tháp,An Hữu,xã,31,534,52177,43.9,UBND xã An Hữu,"Xã Hòa Hưng, Xã Mỹ Lương, Xã An Hữu",105.914,10.2977
tỉnh Đồng Tháp,An Long,xã,31,430,5005,72.2,UBND xã Phú Ninh,"Xã An Phong, Xã Phú Ninh, Xã An Long",105.411,10.6442
tỉnh Đồng Tháp,An Phước,xã,31,3374,23788,64.9,UBND xã Tân Phước,"Xã Tân Phước (huyện Tân Hồng), Xã An Phước",105.534,10.8239
tỉnh Đồng Tháp,An Thạnh Thủy,xã,31,530,41198,42.7,UBND xã Bình Phan,"Xã Bình Phan, Xã Bình Phục Nhứt, Xã An Thạnh Thủy",106.509,10.3653
tỉnh Đồng Tháp,Ba Sao,xã,31,506,28463,81.1,UBND xã Ba Sao,"Xã Phương Trà, Xã Ba Sao",105.691,10.5486
tỉnh Đồng Tháp,Bình Hàng Trung,xã,31,457,39533,78.2,UBND xã Bình Hàng Trung,"Xã Tân Hội Trung, Xã Bình Hàng Tây, Xã Bình Hàng Trung",105.775,10.4245
tỉnh Đồng Tháp,Bình Ninh,xã,31,535,36131,46.6,UBND xã Bình Ninh,"Xã Xuân Đông, Xã Hòa Định, Xã Bình Ninh",106.515,10.3167
tỉnh Đồng Tháp,Bình Phú,xã,31,543,51081,47.3,UBND xã thị Bình Phú,"Thị trấn Bình Phú, Xã Phú An, Xã Cẩm Sơn",106.07,10.3952
tỉnh Đồng Tháp,Bình Thành,xã,31,460,32182,72.1,UBND xã Bình Thành,"Xã Bình Thành (huyện Thanh Bình), Xã Bình Tấn",105.567,10.5866
tỉnh Đồng Tháp,Bình Trưng,xã,31,522,34618,31.2,UBND xã Bình Trưng,"Xã Điềm Hy, Xã Bình Trưng",106.213,10.3843
tỉnh Đồng Tháp,Bình Xuân,phường,31,90,32574,34.4,UBND phường Long Chánh,"Phường Long Chánh, Xã Bình Xuân",106.633,10.4066
tỉnh Đồng Tháp,Cái Bè,xã,31,486,59611,41.1,UBND xã thị trấn Cái Bè,"Thị trấn Cái Bè, Xã Đông Hòa Hiệp, Xã Hòa Khánh",106.011,10.3417
tỉnh Đồng Tháp,Cai Lậy,phường,31,541,34117,25.5,Trung tâm hành chính công TX Cai Lậy,"Phường 4 (thị xã Cai Lậy), Phường 5 (thị xã Cai Lậy), Xã Long Khánh",106.124,10.3806
tỉnh Đồng Tháp,Cao Lãnh,phường,31,414,137387,73.3,UBND phường 1,"Phường 1 (thành phố Cao Lãnh), Phường 3, Phường 4, Phường 6, Phường Hòa Thuận, Xã Hòa An, Xã Tịnh Thới, Xã Tân Thuận Tây, Xã Tân Thuận Đông",105.624,10.4399
tỉnh Đồng Tháp,Châu Thành,xã,31,550,39104,47.71,UBND thị trấn Tân Hiệp,"Thị trấn Tân Hiệp, Xã Thân Cửu Nghĩa, Xã Long An",106.338,10.4215
tỉnh Đồng Tháp,Chợ Gạo,xã,31,526,33793,25.2,UBND thị trấn Chợ Gạo,"Thị trấn Chợ Gạo, Xã Long Bình Điền, Xã Song Bình",106.435,10.3634
tỉnh Đồng Tháp,Đạo Thạnh,phường,31,511,7337,14.3,UBND phường 5,"Phường 4 (thành phố Mỹ Tho), Phường 5 (thành phố Mỹ Tho), Xã Đạo Thạnh",106.358,10.381
tỉnh Đồng Tháp,Đốc Binh Kiều,xã,31,437,28797,77.8,UBND xã Đốc Binh Kiều,"Xã Tân Kiều, Xã Đốc Binh Kiều",105.883,10.5502
tỉnh Đồng Tháp,Đồng Sơn,xã,31,537,40405,44.3,UBND xã Đồng Thạnh,"Xã Bình Nhì, Xã Đồng Thạnh, Xã Đồng Sơn",106.565,10.3883
tỉnh Đồng Tháp,Gia Thuận,xã,31,89,45907,67.4,UBND thị trấn Vàm Láng,"Thị trấn Vàm Láng, Xã Kiểng Phước, Xã Gia Thuận",106.762,10.4145
