tentinh,tenxa,loai,matinh,maxa,danso,dientich_km2,trungtam_hc,truoc_sapnhap,kinhdo,vido
tỉnh Gia Lai,Al Bá,xã,24,2973,đang cập nhật,109.179,đang cập nhật,"Xã Ayun (huyện Chư Sê), Xã Kông Htok, Xã Al Bá",108.147,13.7116
tỉnh Gia Lai,An Bình,phường,24,3056,5015,18.39,UBND phường An Bình,"Phường An Bình, Xã Tân An, Xã Cư An",108.61,13.969
tỉnh Gia Lai,Ân Hảo,xã,24,3000,2239,95.46,Xã Ân Mỹ,"Xã Ân Hảo Tây, Xã Ân Hảo Đông, Xã Ân Mỹ",108.932,14.4758
tỉnh Gia Lai,An Hòa,xã,24,2992,19033,77.9,Xã An Hòa,"Xã An Hòa, Xã An Quang, Xã An Nghĩa",108.863,14.5382
tỉnh Gia Lai,An Khê,phường,24,3057,50495,57.44,UBND thị xã An Khê,"Phường Ngô Mây, Phường Tây Sơn (thị xã An Khê), Phường An Phú, Phường An Phước, Phường An Tân, Xã Thành An",108.672,13.9929
tỉnh Gia Lai,An Lão,xã,24,2989,10703,103.87,Thị trấn An Lão,"Thị trấn An Lão, Xã An Tân, Xã An Hưng",108.914,14.6303
tỉnh Gia Lai,An Lương,xã,24,3010,37958,66.57,Xã Mỹ Chánh,"Xã Mỹ Chánh, Xã Mỹ Thành, Xã Mỹ Cát",109.168,14.1804
tỉnh Gia Lai,An Nhơn,phường,24,3032,114498,3.23,Phường Đập Đá,"Phường Đập Đá, Xã Nhơn Mỹ, Xã Nhơn Hậu",109.063,13.9174
tỉnh Gia Lai,An Nhơn Bắc,phường,24,3033,38484,31.95,Xã Nhơn Phong,"Phường Nhơn Thành, Xã Nhơn Phong, Xã Nhơn Hạnh",109.153,13.9326
tỉnh Gia Lai,An Nhơn Đông,phường,24,3034,26443,17.21,Phường Nhơn Hưng,"Phường Nhơn Hưng, Xã Nhơn An",109.112,13.9106
tỉnh Gia Lai,An Nhơn Nam,phường,24,3044,31651,60.05,Phường Nhơn Hòa,"Phường Nhơn Hòa, Xã Nhơn Thọ",109.081,13.851
tỉnh Gia Lai,An Nhơn Tây,xã,24,3045,40896,77.7,Xã Nhơn Lộc,"Xã Nhơn Lộc, Xã Nhơn Tân",109.014,13.8115
tỉnh Gia Lai,An Phú,phường,24,3066,16293,16.85,UBND xã An Phú,"Phường Thắng Lợi, Xã Chư Á, Xã An Phú",108.065,13.9745
tỉnh Gia Lai,An Toàn,xã,24,2991,179,295.34,Xã An Toàn,"Xã An Toàn, Xã An Nghĩa (phần còn lại sau khi sáp nhập vào xã An Hòa)",108.693,14.5131
tỉnh Gia Lai,Ân Tường,xã,24,3004,18582,227.45,Xã Ân Hữu,"Xã Ân Tường Tây, Xã Ân Hữu, Xã Đak Mang",108.87,14.3537
tỉnh Gia Lai,An Vinh,xã,24,2990,6522,196.19,Xã An Dũng,"Xã An Trung (huyện An Lão), Xã An Dũng, Xã An Vinh",108.815,14.6138
tỉnh Gia Lai,Ayun,xã,24,3048,12692,202.24,UBND xã Đak Jơ Ta,"Xã Đak Jơ Ta, Xã Ayun (huyện Mang Yang)",108.313,14.1434
tỉnh Gia Lai,Ayun Pa,phường,24,2980,2682,17.61,UBND thị xã Ayun Pa,"Phường Đoàn Kết, Phường Sông Bờ, Phường Cheo Reo, Phường Hòa Bình",108.435,13.4094
tỉnh Gia Lai,Bàu Cạn,xã,24,2962,22266,114.25,UBND xã Thăng Hưng,"Xã Thăng Hưng, Xã Bình Giáo, Xã Bàu Cạn",107.889,13.8341
tỉnh Gia Lai,Biển Hồ,xã,24,3065,40983,170.44,UBND xã Biển Hồ,"Xã Nghĩa Hưng, Xã Chư Đang Ya, Xã Hà Bầu, Xã Biển Hồ",108.037,14.0841
tỉnh Gia Lai,Bình An,xã,24,3017,59475,73.43,Xã Bình Hòa,"Xã Tây Vinh, Xã Tây Bình, Xã Bình Hòa, Xã Bình Thành",108.902,13.9535
tỉnh Gia Lai,Bình Định,phường,24,3031,42768,25.16,Phường Bình Định,"Phường Bình Định, Xã Nhơn Khánh, Xã Nhơn Phúc",109.058,13.8929
tỉnh Gia Lai,Bình Dương,xã,24,3006,27314,65.81,Thị trấn Bình Dương,"Thị trấn Bình Dương, Xã Mỹ Lợi, Xã Mỹ Phong",109.101,14.2693
tỉnh Gia Lai,Bình Hiệp,xã,24,3015,2142,123.68,Xã Bình Hòa,"Xã Bình Thuận, Xã Bình Tân, Xã Tây An",108.941,13.9982
tỉnh Gia Lai,Bình Khê,xã,24,3016,2168,151.83,Xã Tây Giang,"Xã Tây Giang, Xã Tây Thuận",108.807,13.9733
tỉnh Gia Lai,Bình Phú,xã,24,3018,51081,47.3,Xã Bình Tường,"Xã Vĩnh An, Xã Bình Tường, Xã Tây Phú",108.843,13.8632
tỉnh Gia Lai,Bờ Ngoong,xã,24,2975,31436,172.11,UBND xã Bờ Ngoong,"Xã Bar Măih, Xã Ia Tiêm, Xã Chư Pơng, Xã Bờ Ngoong",108.087,13.8104
tỉnh Gia Lai,Bồng Sơn,phường,24,2994,41435,81.11,Phường Bồng Sơn,"Phường Hoài Đức, Phường Bồng Sơn",109.029,14.4036
tỉnh Gia Lai,Canh Liên,xã,24,3041,2357,331.67,Xã Canh Liên,Xã Canh Liên (phần còn lại sau khi sáp nhập vào xã Canh Vinh),108.898,13.6903
tỉnh Gia Lai,Canh Vinh,xã,24,3042,16832,258.72,Xã Canh Vinh,"Xã Canh Vinh, Xã Canh Hiển, Xã Canh Liên, Xã Canh Hiệp (phần còn lại sau khi sáp nhập vào xã Vân Canh)",109.033,13.7027
tỉnh Gia Lai,Cát Tiến,xã,24,3025,33523,103.36,Thị trấn Cát Tiến,"Thị trấn Cát Tiến, Xã Cát Thành, Xã Cát Hải",109.187,14.0649
tỉnh Gia Lai,Chơ Long,xã,24,3046,7739,195.07,UBND xã Chơ Long,"Xã Đăk Pơ Pho, Xã Chơ GLong",108.421,13.7554
tỉnh Gia Lai,Chư A Thai,xã,24,2979,21654,133.92,UBND xã Ia AKe,"Xã Ayun Hạ, Xã Ia Ake, Xã Chư A Thai",108.279,13.5684
tỉnh Gia Lai,Chư Krey,xã,24,3053,9468,195.59,UBND xã An Trung,"Xã An Trung (huyện Kông Chro), Xã Chư Krey",108.441,13.8857
tỉnh Gia Lai,Chư Păh,xã,24,2970,19446,103.58,UBND huyện Chư Păh,"Thị trấn Phú Hòa, Xã Nghĩa Hòa, Xã Hòa Phú",107.962,14.136
tỉnh Gia Lai,Chư Prông,xã,24,2947,33892,124.77,UBND huyện Chư,"Thị trấn Chư Prông, Xã Ia Phìn, Xã Ia Kly, Xã Ia Drang",107.94,13.7786
tỉnh Gia Lai,Chư Pưh,xã,24,2972,33374,184.44,Huyện ủy Chư Pưh,"Thị trấn Nhơn Hòa, Xã Chư Don, Xã Ia Phang",108.138,13.518
tỉnh Gia Lai,Chư Sê,xã,24,2971,68975,124.93,UBND huyện Chư Sê,"Thị trấn Chư Sê, Xã Dun, Xã Ia Blang, Xã Ia Pal, Xã Ia Glai",108.077,13.6991
tỉnh Gia Lai,Cửu An,xã,24,3058,19874,132.96,UBND xã Cửu An,"Xã Tú An, Xã Xuân An, Xã Song An, Xã Cửu An",108.676,14.0725
tỉnh Gia Lai,Đak Đoa,xã,24,3072,37049,83.37,Trụ sở UBND huyện Đak Đoa,"Thị trấn Đak Đoa, Xã Tân Bình, Xã Glar",108.131,13.9688
tỉnh Gia Lai,Đak Pơ,xã,24,3055,1858,223.33,Trụ sở UBND huyện Đak Pơ,"Thị trấn Đak Pơ, Xã Hà Tam, Xã An Thành, Xã Yang Bắc",108.508,13.9687
tỉnh Gia Lai,Đak Rong,xã,24,70,đang cập nhật,517.936,UBND Đak Rong,"Xã Kon Pne, Xã Đak Rong",108.408,14.4375
tỉnh Gia Lai,Đak Sơmei,xã,24,3073,đang cập nhật,345.144,UBND xã Đak Sơmei,"Xã Hà Đông, Xã Đak Sơmei",108.228,14.2564
tỉnh Gia Lai,Đăk Song,xã,24,3059,4764,327.49,UBND xã Đăk Song,"Xã Đăk Pling, Xã Đăk Song",108.769,13.6702
tỉnh Gia Lai,Đề Gi,xã,24,3021,4555,94.97,Thị trấn Cát Khánh,"Thị trấn Cát Khánh, Xã Cát Minh, Xã Cát Tài",109.138,14.0999
tỉnh Gia Lai,Diên Hồng,phường,24,3062,75633,1.86,Thành ủy Pleiku,"Phường Yên Đỗ, Phường Ia Kring, Phường Diên Hồng, Xã Diên Phú",107.975,13.9513
tỉnh Gia Lai,Đức Cơ,xã,24,2957,23575,124.66,Trụ sở UBND huyện Đức Cơ,"Thị trấn Chư Ty, Xã Ia Kriêng",107.717,13.7538
tỉnh Gia Lai,Gào,xã,24,2969,15957,182.47,UBND xã,"Xã Ia Kênh, Xã Ia Pếch, Xã Gào",107.903,13.9049
tỉnh Gia Lai,Hòa Hội,xã,24,3022,36174,136.27,Xã Cát Hanh,"Xã Cát Hanh, Xã Cát Hiệp",109.02,14.0464
tỉnh Gia Lai,Hoài Ân,xã,24,3002,35037,115.72,Thị trấn Tăng Bạt Hổ,"Thị trấn Tăng Bạt Hổ, Xã Ân Phong, Xã Ân Đức, Xã Ân Tường Đông",109.001,14.3087
tỉnh Gia Lai,Hoài Nhơn,phường,24,2997,43167,40.32,Phường Hoài Thanh Tây,"Phường Hoài Thanh, Phường Tam Quan Nam, Phường Hoài Thanh Tây",109.049,14.5092
tỉnh Gia Lai,Hoài Nhơn Bắc,phường,24,2995,44581,89.45,Phường Tam Quan Bắc,"Phường Tam Quan Bắc, Xã Hoài Sơn, Xã Hoài Châu Bắc",109.008,14.6198
tỉnh Gia Lai,Hoài Nhơn Đông,phường,24,2998,44634,64.36,Phường Hoài Hương,"Phường Hoài Hương, Xã Hoài Hải, Xã Hoài Mỹ",109.087,14.4479
tỉnh Gia Lai,Hoài Nhơn Nam,phường,24,2999,32707,37.67,Phường Hoài Tân,"Phường Hoài Tân, Phường Hoài Xuân",109.018,14.4646
tỉnh Gia Lai,Hoài Nhơn Tây,phường,24,2996,25572,78.15,Phường Hoài Hảo,"Phường Hoài Hảo, Xã Hoài Phú",108.984,14.5372
tỉnh Gia Lai,Hội Phú,phường,24,3063,46358,34.86,UBND phường Chi Lăng,"Phường Trà Bá, Phường Chi Lăng, Phường Hội Phú",108.02,13.9341
tỉnh Gia Lai,Hội Sơn,xã,24,3020,14314,182.34,Xã Cát Lâm,"Xã Cát Lâm, Xã Cát Sơn",108.944,14.1224
tỉnh Gia Lai,Hra,xã,24,3049,14355,230.89,UBND xã Đak Ta Ley,"Xã Đak Ta Ley, Xã Hra",108.424,14.0986
tỉnh Gia Lai,Ia Băng,xã,24,3076,31035,116.24,UBND xã ADơk,"Xã Ia Băng (huyện Đak Đoa), Xã Adơk, Xã Ia Pết",108.077,13.899
tỉnh Gia Lai,Ia Boòng,xã,24,2949,1884,196.07,UBND xã Ia Boòng,"Xã Ia O (huyện Chư Prông), Xã Ia Me, Xã Ia Boòng",107.841,13.6794
tỉnh Gia Lai,Ia Chia,xã,24,2956,9065,172.86,Ia Chia,Không sáp nhập,107.637,13.8947
tỉnh Gia Lai,Ia Dơk,xã,24,2958,17829,100.53,UBND xã Ia Kla,"Xã Ia Kla, Xã Ia Dơk",107.677,13.8513
tỉnh Gia Lai,Ia Dom,xã,24,2960,9157,145.43,Ia Dom,Không sáp nhập,107.535,13.8078
tỉnh Gia Lai,Ia Dreh,xã,24,2987,16643,379.69,đang cập nhật,"Xã Ia Rmok, Xã Krông Năng, Xã Ia Dreh",108.638,13.0844
tỉnh Gia Lai,Ia Grai,xã,24,2953,24625,239.84,UBND huyện Ia Grai,"Thị trấn Ia Kha, Xã Ia Bă, Xã Ia Grăng",107.791,14.0104
tỉnh Gia Lai,Ia Hiao,xã,24,2981,21352,108.38,UBND Ia Hiao,"Xã Chrôh Pơnan, Xã Ia Peng, Xã Ia Hiao",108.35,13.44
tỉnh Gia Lai,Ia Hrú,xã,24,2974,đang cập nhật,242.332,UBND xã Ia Hrú,"Xã Ia Dreng, Xã Ia Rong, Xã HBông, Xã Ia Hrú",108.179,13.5956
tỉnh Gia Lai,Ia Hrung,xã,24,2961,37219,169.15,UBND xã Ia Sao,"Xã Ia Sao (huyện Ia Grai), Xã Ia Yok, Xã Ia Dêr, Xã Ia Hrung",107.919,14.0206
tỉnh Gia Lai,Ia Khươl,xã,24,3077,17151,351.97,UBND xã Ia Khươl,"Xã Đăk Tơ Ver, Xã Hà Tây, Xã Ia Khươl",108.158,14.2945
tỉnh Gia Lai,Ia Ko,xã,24,2952,24935,210.72,UBND xã Ia Ko,"Xã Ia Hlốp, Xã Ia Hla, Xã Ia Ko",108.004,13.5847
tỉnh Gia Lai,Ia Krái,xã,24,2954,28889,307.83,UBND xã Ia Krái,"Xã Ia Tô, Xã Ia Khai, Xã Ia Krái",107.677,14.035
tỉnh Gia Lai,Ia Krêl,xã,24,2959,22944,146.92,UBND xã Ia Din,"Xã Ia Lang, Xã Ia Din, Xã Ia Krêl",107.777,13.8204
tỉnh Gia Lai,Ia Lâu,xã,24,2963,23105,215.02,UBND xã Ia Piơr,"Xã Ia Piơr, Xã Ia Lâu",107.87,13.4617
tỉnh Gia Lai,Ia Le,xã,24,2965,24289,316.88,UBND xã Ia Le,"Xã Ia Blứ, Xã Ia Le",108.074,13.4527
tỉnh Gia Lai,Ia Ly,xã,24,2966,13847,210.56,UBND thị trấn Ia Ly,"Thị trấn Ia Ly, Xã Ia Mơ Nông, Xã Ia Kreng",107.778,14.1852
tỉnh Gia Lai,Ia Mơ,xã,24,2964,338,435.6,Ia Mơ,Không sáp nhập,107.71,13.4616
tỉnh Gia Lai,Ia Nan,xã,24,2946,8663,90.31,Ia Nan,Không sáp nhập,107.58,13.7232
tỉnh Gia Lai,Ia O,xã,24,2955,11301,137.39,xã Ia O,Không sáp nhập,107.542,13.9506
tỉnh Gia Lai,Ia Pa,xã,24,2977,31021,103.19,UBND huyện Ia Pa,"Xã Ia Mrơn, Xã Kim Tân, Xã Ia Trôk",108.447,13.5159
tỉnh Gia Lai,Ia Phí,xã,24,2967,23325,212.03,UBND xã Ia Ka,"Xã Ia Ka, Xã Ia Nhin, Xã Ia Phí",107.841,14.1121
tỉnh Gia Lai,Ia Pia,xã,24,2951,20326,238.59,UBND xã Ia Pia,"Xã Ia Ga, Xã Ia Vê, Xã Ia Pia",107.898,13.6003
tỉnh Gia Lai,Ia Pnôn,xã,24,2945,5922,114.01,Ia Pnôn,Không sáp nhập,107.633,13.7101
tỉnh Gia Lai,Ia Púch,xã,24,2950,4185,267.3,Ia Púch,Không sáp nhập,107.692,13.62
tỉnh Gia Lai,Ia Rbol,xã,24,2982,1022,154.97,UBND xã Chư Băh,"Xã Chư Băh, Xã Ia Rbol",108.385,13.3494
tỉnh Gia Lai,Ia Rsai,xã,24,2984,22578,473.69,UBND xã Chư Rcăm,"Xã Chư RCăm, Xã Chư Gu, Xã Ia Rsai",108.681,13.3584
tỉnh Gia Lai,Ia Sao,xã,24,2983,8397,114.6,UBND xã Ia Sao,"Xã Ia Sao (thị xã Ayun Pa), Xã Ia Rtô",108.438,13.2701
tỉnh Gia Lai,Ia Tôr,xã,24,2948,17449,102.31,UBND xã Ia Tôr,"Xã Ia Băng (huyện Chư Prông), Xã Ia Bang, Xã Ia Tôr",107.979,13.753
tỉnh Gia Lai,Ia Tul,xã,24,2985,20304,587.51,UBND xã Ia Tul,"Xã Chư Mố, Xã Ia Broăi, Xã Ia Kdăm, Xã Ia Tul",108.579,13.5038
tỉnh Gia Lai,Kbang,xã,24,3067,25281,288.83,Trụ sở UBND huyện Kbang,"Thị trấn Kbang, Xã Lơ Ku, Xã Đak Smar",108.553,14.1851
tỉnh Gia Lai,KDang,xã,24,3075,đang cập nhật,179.384,UBND xã HNol,"Xã Hnol, Xã Trang, Xã KDang",108.19,13.9444
tỉnh Gia Lai,Kim Sơn,xã,24,3003,29382,29.4,Xã Ân Nghĩa,"Xã Ân Nghĩa, Xã Bok Tới",108.862,14.2491
tỉnh Gia Lai,Kon Chiêng,xã,24,3051,9971,273.51,BND xã Kon Chiêng,"Xã Đak Trôi, Xã Kon Chiêng",108.294,13.7568
tỉnh Gia Lai,Kon Gang,xã,24,3074,22529,145.84,UBND xã HNeng,"Xã Đak Krong, Xã Hneng, Xã Nam Yang, Xã Kon Gang",108.143,14.0872
