tentinh,tenxa,loai,matinh,maxa,danso,dientich_km2,trungtam_hc,truoc_sapnhap,kinhdo,vido
Thủ đô Hà Nội,An Khánh,xã,1,3301,102136,28.69,"Thôn Lũng Vân, xã An Khánh","Xã Đông La, Phường Dương Nội (phần còn lại sau khi sáp nhập vào phường Tây Mỗ, phường Đại Mỗ, phường Dương Nội), Xã An Khánh (phần còn lại sau khi sáp nhập vào phường Tây Mỗ, xã Sơn Đồng), Xã La Phù (phần còn lại sau khi sáp nhập vào phường Dương Nội), Xã Song Phương (phần còn lại sau khi sáp nhập vào xã Sơn Đồng), Xã Vân Côn (phần còn lại sau khi sáp nhập vào xã Sơn Đồng), Xã An Thượng (phần còn lại sau khi sáp nhập vào xã Sơn Đồng)",105.708,20.9878
Thủ đô Hà Nội,Ba Đình,phường,1,3276,65023,2.97,"Số 2, phố Trúc Bạch, phường Ba Đình","Phường Quán Thánh, Phường Trúc Bạch, Phường Cửa Nam, Phường Điện Biên, Phường Đội Cấn, Phường Kim Mã, Phường Ngọc Hà, Phường Thụy Khuê, Phường Cửa Đông (phần còn lại sau khi sáp nhập vào phường Hoàn Kiếm), Phường Đồng Xuân (phần còn lại sau khi sáp nhập vào phường Hoàn Kiếm)",105.838,21.0385
Thủ đô Hà Nội,Ba Vì,xã,1,3219,26651,81.27,"Thôn Lặt, xã Ba Vì","Xã Ba Vì, Xã Khánh Thượng, Xã Minh Quang (phần còn lại sau khi sáp nhập vào xã Bất Bạt)",105.342,21.0581
Thủ đô Hà Nội,Bạch Mai,phường,1,3266,129571,2.95,"Số 33 Đại Cồ Việt, phường Bạch Mai","Phường Bạch Mai, Phường Bách Khoa, Phường Quỳnh Mai, Phường Minh Khai (quận Hai Bà Trưng), Phường Đồng Tâm, Phường Lê Đại Hành, Phường Phương Mai, Phường Trương Định, Phường Thanh Nhàn (phần còn lại sau khi sáp nhập vào phường Hai Bà Trưng)",105.852,21.0022
Thủ đô Hà Nội,Bất Bạt,xã,1,3236,40066,56.43,"Thôn Đan Thê, xã Bất Bạt","Xã Thuần Mỹ, Xã Tòng Bạt, Xã Sơn Đà, Xã Cẩm Lĩnh, Xã Minh Quang",105.332,21.1674
Thủ đô Hà Nội,Bát Tràng,xã,1,3248,48987,20.67,"Thôn Đào Xuyên, xã Bát Tràng","Xã Kim Đức, Phường Cự Khối (phần còn lại sau khi sáp nhập vào phường Long Biên), Phường Thạch Bàn (phần còn lại sau khi sáp nhập vào phường Long Biên, phường Phúc Lợi, xã Gia Lâm), Thị trấn Trâu Quỳ (phần còn lại sau khi sáp nhập vào xã Gia Lâm), Xã Đa Tốn (phần còn lại sau khi sáp nhập vào xã Gia Lâm), Xã Bát Tràng (phần còn lại sau khi sáp nhập vào phường Long Biên, xã Gia Lâm)",105.929,20.9867
Thủ đô Hà Nội,Bình Minh,xã,1,3184,80066,29.86,"Số 01 đường Bích Hòa - Cao Viên, thôn Mùi, xã Bình Minh","Xã Bích Hòa, Xã Bình Minh, Xã Cao Viên, Xã Thanh Cao, Xã Lam Điền, Xã Cự Khê (phần còn lại sau khi sáp nhập vào phường Phú Lương), Phường Phú Lương (phần còn lại sau khi sáp nhập vào phường Phú Lương, phường Kiến Hưng)",105.762,20.9042
Thủ đô Hà Nội,Bồ Đề,phường,1,3230,120028,12.94,"Số 270, đường Ngọc Thuỵ, phường Bồ Đề","Phường Ngọc Lâm, Phường Đức Giang, Phường Gia Thụy, Phường Thượng Thanh, Phường Phúc Đồng, Phường Ngọc Thụy (phần còn lại sau khi sáp nhập vào phường Hồng Hà), Phường Bồ Đề (phần còn lại sau khi sáp nhập vào phường Hồng Hà, phường Long Biên), Phường Long Biên (phần còn lại sau khi sáp nhập vào phường Long Biên)",105.871,21.0514
Thủ đô Hà Nội,Cầu Giấy,phường,1,3277,74516,3.74,"Số 96 Trần Thái Tông, phường Cầu Giấy","Phường Dịch Vọng, Phường Dịch Vọng Hậu, Phường Quan Hoa, Phường Mỹ Đình 1, Phường Mỹ Đình 2, Phường Yên Hòa",105.788,21.0309
Thủ đô Hà Nội,Chương Dương,xã,1,3187,59973,28.89,"Thôn Kỳ Dương, xã Chương Dương","Xã Chương Dương, Xã Lê Lợi, Xã Thắng Lợi, Xã Tự Nhiên, Xã Tô Hiệu, Xã Vạn Nhất",105.901,20.8354
Thủ đô Hà Nội,Chương Mỹ,phường,1,3204,87913,38.9,"Số 102, tổ dân phố Bắc Sơn, phường Chương Mỹ","Phường Biên Giang, Thị trấn Chúc Sơn, Xã Đại Yên, Xã Ngọc Hòa, Xã Phụng Châu, Xã Tiên Phương, Xã Thuỵ Hương, Phường Đồng Mai (phần còn lại sau khi sáp nhập vào phường Yên Nghĩa)",105.699,20.9249
Thủ đô Hà Nội,Chuyên Mỹ,xã,1,3179,44859,35.54,"Thôn Chính Vân, xã Chuyên Mỹ","Xã Tân Dân (huyện Phú Xuyên), Xã Châu Can, Xã Phú Yên, Xã Vân Từ, Xã Chuyên Mỹ",105.884,20.7163
Thủ đô Hà Nội,Cổ Đô,xã,1,3239,70706,53.25,"Thôn Mai Trai, xã Cổ Đô","Xã Phú Cường (huyện Ba Vì), Xã Cổ Đô, Xã Phong Vân, Xã Phú Hồng, Xã Phú Đông, Xã Vạn Thắng",105.397,21.2688
Thủ đô Hà Nội,Cửa Nam,phường,1,3259,52751,1.68,"Số 29 Quang Trung, phường Cửa Nam","Phường Hàng Bài, Phường Phan Chu Trinh, Phường Trần Hưng Đạo, Phường Cửa Nam, Phường Nguyễn Du, Phường Phạm Đình Hổ, Phường Hàng Bông (phần còn lại sau khi sáp nhập vào phường Hoàn Kiếm), Phường Hàng Trống (phần còn lại sau khi sáp nhập vào phường Hoàn Kiếm), Phường Tràng Tiền (phần còn lại sau khi sáp nhập vào phường Hoàn Kiếm)",105.851,21.0226
Thủ đô Hà Nội,Đa Phúc,xã,1,3264,83649,55.32,"Thôn Đức Hậu, xã Đa Phúc","Xã Bắc Phú, Xã Đức Hoà, Xã Kim Lũ, Xã Tân Hưng, Xã Việt Long, Xã Xuân Giang, Xã Xuân Thu",105.901,21.2505
Thủ đô Hà Nội,Đại Mỗ,phường,1,3287,80462,8.1,"Số 76 đường Trung Văn, phường Đại Mỗ","Phường Đại Mỗ, Phường Dương Nội, Phường Mộ Lao, Phường Mễ Trì (phần còn lại sau khi sáp nhập vào phường Yên Hòa, phường Từ Liêm), Phường Nhân Chính (phần còn lại sau khi sáp nhập vào phường Thanh Xuân, phường Yên Hòa), Phường Trung Hòa (phần còn lại sau khi sáp nhập vào phường Thanh Xuân, phường Yên Hòa), Phường Phú Đô (phần còn lại sau khi sáp nhập vào phường Từ Liêm), Phường Trung Văn (phần còn lại sau khi sáp nhập vào phường Thanh Xuân)",105.775,20.9936
Thủ đô Hà Nội,Đại Thanh,xã,1,3212,92557,18.92,"Thôn Quỳnh Đô, xã Đại Thanh","Xã Tam Hiệp (huyện Thanh Trì) (phần còn lại sau khi sáp nhập vào phường Hoàng Liệt), Xã Hữu Hòa (phần còn lại sau khi sáp nhập vào phường Phú Lương), Phường Kiến Hưng (phần còn lại sau khi sáp nhập vào phường Phú Lương, phường Kiến Hưng), Thị trấn Văn Điển (phần còn lại sau khi sáp nhập vào phường Hoàng Liệt, xã Thanh Trì), Xã Tả Thanh Oai (phần còn lại sau khi sáp nhập vào phường Thanh Liệt), Xã Vĩnh Quỳnh (phần còn lại sau khi sáp nhập vào xã Thanh Trì)",105.814,20.9371
Thủ đô Hà Nội,Đại Xuyên,xã,1,3304,74906,51.66,"Thôn Hòa Thượng, xã Đại Xuyên","Xã Bạch Hạ, Xã Khai Thái, Xã Minh Tân, Xã Phúc Tiến, Xã Quang Lãng, Xã Tri Thủy, Xã Đại Xuyên",105.949,20.7007
Thủ đô Hà Nội,Dân Hòa,xã,1,3181,62755,38.43,"Số 45 khu trung tâm thôn Tảo Dương, xã Dân Hòa","Xã Cao Xuân Dương, Xã Hồng Dương, Xã Liên Châu, Xã Tân Ước, Xã Dân Hòa",105.792,20.8096
Thủ đô Hà Nội,Đan Phượng,xã,1,3290,47629,15.3,"Số 105, phố Tây Sơn, xã Đan Phượng","Thị trấn Phùng, Xã Đồng Tháp, Xã Song Phượng, Xã Thượng Mỗ, Xã Đan Phượng",105.666,21.0912
Thủ đô Hà Nội,Định Công,phường,1,3235,85502,5.34,"Số 1 ngõ 282 đường Kim Giang, phường Định Công","Phường Định Công, Phường Hoàng Liệt, Phường Thịnh Liệt, Xã Tân Triều, Xã Thanh Liệt, Phường Đại Kim, Phường Giáp Bát (phần còn lại sau khi sáp nhập vào phường Hoàng Mai, phường Tương Mai)",105.825,20.9769
Thủ đô Hà Nội,Đoài Phương,xã,1,3217,39828,57.1,"Thôn Phúc Lộc, xã Đoài Phương","Xã Kim Sơn, Xã Sơn Đông, Xã Cổ Đông",105.486,21.0687
