tentinh,tenxa,loai,matinh,maxa,danso,dientich_km2,trungtam_hc,truoc_sapnhap,kinhdo,vido
tỉnh Hà Tĩnh,Bắc Hồng Lĩnh,phường,18,2030,28729,35.31,Thị ủy Hồng Lĩnh,"Phường Bắc Hồng, Phường Đức Thuận, Phường Trung Lương, Xã Xuân Lam",105.695,18.5596
tỉnh Hà Tĩnh,Cẩm Bình,xã,18,2053,25305,33.14,UBND xã Cẩm Bình,"Xã Cẩm Vịnh, Xã Thạch Bình, Xã Cẩm Thành, Xã Cẩm Bình",105.946,18.295
tỉnh Hà Tĩnh,Cẩm Duệ,xã,18,2038,"23,870",193.57,UBND xã Cẩm Mỹ,"Xã Cẩm Mỹ, Xã Cẩm Thạch, Xã Cẩm Duệ",105.932,18.1632
tỉnh Hà Tĩnh,Cẩm Hưng,xã,18,2039,21964,103.8,UBND xã Cẩm Thịnh,"Xã Cẩm Thịnh, Xã Cẩm Hà, Xã Cẩm Hưng",106.025,18.156
tỉnh Hà Tĩnh,Cẩm Lạc,xã,18,2040,19399,115.86,UBND xã Cẩm Lạc,"Xã Cẩm Minh, Xã Cẩm Sơn, Xã Cẩm Lạc",106.086,18.1609
tỉnh Hà Tĩnh,Cẩm Trung,xã,18,2049,17597,32.72,UBND xã Cẩm Trung,"Xã Cẩm Lĩnh, Xã Cẩm Lộc, Xã Cẩm Trung",106.114,18.2379
tỉnh Hà Tĩnh,Cẩm Xuyên,xã,18,2048,33977,88.98,UBND huyện Cẩm Xuyên,"Thị trấn Cẩm Xuyên, Xã Cẩm Quang, Xã Cẩm Quan",105.985,18.2227
tỉnh Hà Tĩnh,Can Lộc,xã,18,2021,41153,65.7,UBND huyện Can Lộc,"Thị trấn Nghèn, Xã Thiên Lộc, Xã Vượng Lộc",105.767,18.4847
tỉnh Hà Tĩnh,Cổ Đạm,xã,18,2028,34635,62.67,UBND xã Xuân Liên,"Xã Cương Gián, Xã Xuân Liên, Xã Cổ Đạm",105.807,18.5746
tỉnh Hà Tĩnh,Đan Hải,xã,18,2011,28212,37.77,UBND xã Xuân Phổ,"Xã Đan Trường, Xã Xuân Hải, Xã Xuân Hội, Xã Xuân Phổ",105.771,18.7163
tỉnh Hà Tĩnh,Đông Kinh,xã,18,2019,20986,27.57,UBND xã Thạch Kênh,"Xã Thạch Kênh, Xã Thạch Liên, Xã Ích Hậu",105.82,18.4251
tỉnh Hà Tĩnh,Đồng Lộc,xã,18,2017,27783,70.55,UBND thị trấn Đồng Lộc,"Thị trấn Đồng Lộc, Xã Thượng Lộc, Xã Mỹ Lộc",105.718,18.3869
tỉnh Hà Tĩnh,Đồng Tiến,xã,18,2041,18614,33.57,UBND xã Thạch Trị,"Xã Thạch Trị, Xã Thạch Hội, Xã Thạch Văn",105.989,18.3469
tỉnh Hà Tĩnh,Đức Đồng,xã,18,2066,11531,47.29,UBND xã Đức Đồng,"Xã Đức Lạng, Xã Tân Hương, Xã Đức Đồng",105.587,18.4362
tỉnh Hà Tĩnh,Đức Minh,xã,18,2075,18718,23.58,UBND xã Trường Sơn,"Xã Trường Sơn, Xã Tùng Châu, Xã Liên Minh",105.59,18.553
tỉnh Hà Tĩnh,Đức Quang,xã,18,2074,17515,30.31,UBND xã Bùi La Nhân,"Xã Quang Vĩnh, Xã Bùi La Nhân, Xã Yên Hồ",105.637,18.5467
tỉnh Hà Tĩnh,Đức Thịnh,xã,18,2065,41401,53.39,UBND xã Lâm Trung Thủy,"Xã Thanh Bình Thịnh, Xã Lâm Trung Thủy, Xã An Dũng",105.644,18.4955
tỉnh Hà Tĩnh,Đức Thọ,xã,18,2068,40064,48.93,UBND huyện Đức Thọ,"Thị trấn Đức Thọ, Xã Tùng Ảnh, Xã Hòa Lạc, Xã Tân Dân",105.579,18.5014
tỉnh Hà Tĩnh,Gia Hanh,xã,18,2025,28473,45.39,UBND xã Khánh Vĩnh Yên,"Xã Khánh Vĩnh Yên, Xã Thanh Lộc, Xã Gia Hanh",105.703,18.4401
tỉnh Hà Tĩnh,Hà Huy Tập,phường,18,2013,28742,32.62,UBND xã Tân Lâm Hương,"Xã Tân Lâm Hương, Xã Thạch Đài, Phường Đại Nài",105.883,18.3056
tỉnh Hà Tĩnh,Hà Linh,xã,18,2063,12622,140.43,UBND xã Hà Linh,"Xã Điền Mỹ, Xã Hà Linh",105.67,18.3214
tỉnh Hà Tĩnh,Hải Ninh,phường,18,2046,20399,39.37,UBND phường Kỳ Ninh,"Phường Kỳ Ninh, Xã Kỳ Hà, Xã Kỳ Hải",106.325,18.1128
tỉnh Hà Tĩnh,Hoành Sơn,phường,18,2037,21004,70.48,UBND phường Kỳ Phương,"Phường Kỳ Nam, Phường Kỳ Phương, Phường Kỳ Liên, Xã Kỳ Lợi",106.44,17.9989
tỉnh Hà Tĩnh,Hồng Lộc,xã,18,2024,17042,33.78,UBND xã Tân Lộc,"Xã Tân Lộc, Xã Hồng Lộc",105.834,18.5015
tỉnh Hà Tĩnh,Hương Bình,xã,18,2071,17530,215.56,UBND xã Hương Bình,"Xã Hòa Hải, Xã Phúc Đồng, Xã Hương Bình",105.56,18.2494
tỉnh Hà Tĩnh,Hương Đô,xã,18,2055,14287,140.83,UBND xã Hương Trà,"Xã Lộc Yên, Xã Hương Trà, Xã Hương Đô",105.825,18.202
tỉnh Hà Tĩnh,Hương Khê,xã,18,2069,29994,165.89,UBND huyện Hương Khê,"Thị trấn Hương Khê, Xã Hương Long, Xã Phú Gia",105.584,18.1625
tỉnh Hà Tĩnh,Hương Phố,xã,18,2070,18633,135.68,UBND xã Gia Phố,"Xã Hương Giang, Xã Hương Thủy, Xã Gia Phố",105.739,18.2431
tỉnh Hà Tĩnh,Hương Sơn,xã,18,2062,31486,32.62,UBND huyện Hương Sơn,"Thị trấn Phố Châu, Xã Sơn Phú, Xã Sơn Bằng, Xã Sơn Ninh, Xã Sơn Trung",105.46,18.5206
