tentinh,tenxa,loai,matinh,maxa,danso,dientich_km2,trungtam_hc,truoc_sapnhap,kinhdo,vido
thành phố Hải Phòng,Ái Quốc,phường,4,869,24736,17.6,"Trụ sở Đảng ủy, HĐND, UBND Ái Quốc hiện tại","Phường Ái Quốc, Xã Quyết Thắng, Xã Hồng Lạc",106.382,20.9472
thành phố Hải Phòng,An Biên,phường,4,1205,116091,6.56,Trụ sở của Đảng ủy – HĐND – UBND Vĩnh Niệm tại số 387 Thiên Lôi,"Phường An Dương, Phường An Biên, Phường Trần Nguyên Hãn, Phường Vĩnh Niệm",106.676,20.8267
thành phố Hải Phòng,An Dương,phường,4,1180,76879,31.23,Trung tâm hành chính – chính trị quận An Dương tại số 15 đường 351,"Phường Nam Sơn (quận An Dương), Phường An Hải, Phường Lê Lợi, Phường Đồng Thái, Phường Tân Tiến, Phường An Hưng",106.596,20.8619
thành phố Hải Phòng,An Hải,phường,4,1247,77086,19.96,"Trụ sở cũ của UBND phường Đồng Thái, tổ dân phố Bạch Mai","Phường An Đồng, Phường Hồng Thái, Phường Lê Lợi, Phường An Hải, Phường Đồng Thái",106.634,20.8437
thành phố Hải Phòng,An Hưng,xã,4,1064,25535,20.23,"Trụ sở cũ của UBND An Thọ, thôn Trần Thành, An Thọ, huyện An Lão","Xã An Thái, Xã An Thọ, Xã Chiến Thắng",106.593,20.7436
thành phố Hải Phòng,An Khánh,xã,4,1086,33936,24.16,"Trụ sở cũ của UBND Mỹ Đức, thôn Tân Nam, Mỹ Đức","Xã Tân Viên, Xã Mỹ Đức, Xã Thái Sơn",106.599,20.7756
thành phố Hải Phòng,An Lão,xã,4,1106,47189,26.39,"Trụ sở UBND huyện An Lão, số 17 đường Nguyễn Văn Trỗi, thị trấn An Lão","Thị trấn An Lão, Xã An Thắng, Xã Tân Dân, Xã An Tiến, Thị trấn Trường Sơn, Xã Thái Sơn",106.576,20.8153
thành phố Hải Phòng,An Phong,phường,4,1108,44660,27.92,"Trụ sở cũ của UBND Hồng Phong, tổ dân phố Đình Ngọ","Phường An Hòa, Phường Hồng Phong, Phường Đại Bản, Phường Lê Thiện, Phường Tân Tiến, Phường Lê Lợi",106.556,20.8955
thành phố Hải Phòng,An Phú,xã,4,974,35121,27.25,"Trụ sở Đảng ủy, HĐND, UBND An Phú hiện tại","Xã An Bình, Xã An Phú, Xã Cộng Hòa",106.374,21.007
thành phố Hải Phòng,An Quang,xã,4,1093,29091,21.4,"Trụ sở cũ của UBND Quang Trung, thôn Câu Hạ A, Quang Trung","Xã Quốc Tuấn, Xã Quang Trung (huyện An Lão), Xã Quang Hưng",106.527,20.8117
thành phố Hải Phòng,An Thành,xã,4,956,28785,23.66,"Trụ sở cũ của Đảng ủy, HĐND, UBND Kim Đính","Xã Ngũ Phúc (huyện Kim Thành), Xã Kim Tân, Xã Kim Đính",106.502,20.9292
thành phố Hải Phòng,An Trường,xã,4,1107,30256,25.54,"Trụ sở cũ của UBND Trường Thọ, thôn Ngọc Chử 2, Trường Thọ","Xã Bát Trang, Xã Trường Thọ, Xã Trường Thành",106.529,20.8404
thành phố Hải Phòng,Bắc An Phụ,phường,4,871,22780,26.1,"Trụ sở cũ của Đảng ủy, HĐND, UBND Bạch Đằng","Phường Thất Hùng, Xã Bạch Đằng (thị xã Kinh Môn), Xã Lê Ninh, Phường Văn Đức",106.461,21.0505
thành phố Hải Phòng,Bắc Thanh Miện,xã,4,1056,27227,25.27,"Trụ sở cũ của Đảng ủy, HĐND, UBND Hồng Quang","Xã Hồng Quang, Xã Lam Sơn, Xã Lê Hồng",106.205,20.7974
thành phố Hải Phòng,Bạch Đằng,phường,4,1182,51633,53.49,Trụ sở cũ của UBND Minh Đức,"Phường Minh Đức, Xã Bạch Đằng (thành phố Thủy Nguyên), Phường Phạm Ngũ Lão",106.725,20.9698
thành phố Hải Phòng,Bạch Long Vĩ,đặc khu,4,3326,686,3.07,Trụ sở huyện Bạch Long Vĩ hiện trạng,Huyện Bạch Long Vĩ,107.732,20.1333
thành phố Hải Phòng,Bình Giang,xã,4,1023,32925,26.01,"Trụ sở cũ của Đảng ủy, HĐND, UBND Tân Việt","Xã Tân Việt (huyện Bình Giang), Xã Long Xuyên, Xã Hồng Khê, Xã Cổ Bì, Xã Vĩnh Hồng",106.222,20.884
thành phố Hải Phòng,Cẩm Giang,xã,4,1021,64523,26.64,"Trụ sở của Đảng ủy, HĐND, UBND thị trấn Cẩm Giang","Thị trấn Cẩm Giang, Xã Định Sơn, Xã Cẩm Hoàng",106.21,20.9687
thành phố Hải Phòng,Cẩm Giàng,xã,4,1026,34025,23.43,"Trụ sở cũ của Đảng ủy, HĐND, UBND Ngọc Liên","Xã Lương Điền, Xã Ngọc Liên, Xã Cẩm Hưng, Xã Phúc Điền",106.156,20.9645
thành phố Hải Phòng,Cát Hải,đặc khu,4,1000,71211,286.98,"Trụ sở UBND huyện Cát Hải, đường Hà Sen, thị trấn Cát Bà và trụ sở UBND thị trấn Cát Hải","Thị trấn Cát Hải, Thị trấn Cát Bà, Xã Đồng Bài, Xã Hoàng Châu, Xã Nghĩa Lộ, Xã Văn Phong, Xã Gia Luận, Xã Hiền Hào, Xã Phù Long, Xã Trân Châu, Xã Việt Hải, Xã Xuân Đám",106.869,20.8087
thành phố Hải Phòng,Chấn Hưng,xã,4,1140,26092,32.11,Trụ sở cũ của UBND Nam Hưng,"Xã Nam Hưng (huyện Tiên Lãng), Xã Bắc Hưng, Xã Đông Hưng, Xã Tây Hưng",106.635,20.6459
thành phố Hải Phòng,Chí Linh,phường,4,872,31983,26.79,"Trụ sở cũ của Đảng ủy, HĐND, UBND Phả Lại","Phường Phả Lại, Phường Cổ Thành, Xã Nhân Huệ",106.319,21.1031
thành phố Hải Phòng,Chí Minh,xã,4,897,32636,33.58,"Trụ sở cũ của Đảng ủy, HĐND, UBND Văn Tố","Xã An Thanh, Xã Văn Tố, Xã Chí Minh",106.462,20.8078
