tentinh,tenxa,loai,matinh,maxa,danso,dientich_km2,trungtam_hc,truoc_sapnhap,kinhdo,vido
thành phố Hồ Chí Minh,An Đông,phường,29,173,81229,1.32,"209 An Dương Vương, phường 7, quận 5 cũ","Phường 5, Phường 7, Phường 9 (Quận 5)",106.672,10.7548
thành phố Hồ Chí Minh,An Hội Đông,phường,29,74,113681,3.29,"328 Thống Nhất, Phường 16, quận Gò Vấp cũ","Phường 15, Phường 16 (quận Gò Vấp)",106.667,10.8501
thành phố Hồ Chí Minh,An Hội Tây,phường,29,77,121004,3.79,"397 Phan Huy Ích, phường 14, quận Gò Vấp cũ","Phường 12, Phường 14 (quận Gò Vấp)",106.638,10.8389
thành phố Hồ Chí Minh,An Khánh,phường,29,131,76967,15.33,"171/1 Lương Định Của, phường An Khánh, TP Thủ Đức cũ","Phường Thủ Thiêm, Phường An Lợi Đông, Phường Thảo Điền, Phường An Khánh, Phường An Phú (thành phố Thủ Đức)",106.732,10.7881
thành phố Hồ Chí Minh,An Lạc,phường,29,224,172134,10.47,"521 Kinh Dương Vương, phường An Lạc, quận Bình Tân cũ","Phường Bình Trị Đông B, Phường An Lạc A, Phường An Lạc",106.612,10.736
thành phố Hồ Chí Minh,An Long,xã,29,20,17906,100.045,"Tổ 04, ấp Xóm Quạt, xã An Long, huyện Phú Giáo, tỉnh Bình Dương cũ","Xã An Linh, Xã Tân Long, Xã An Long",106.699,11.3269
thành phố Hồ Chí Minh,An Nhơn,phường,29,76,111498,3.23,"1C Nguyễn Văn Lượng, phường 6, Gò Vấp cũ","Phường 5, Phường 6 (quận Gò Vấp)",106.683,10.8427
thành phố Hồ Chí Minh,An Nhơn Tây,xã,29,187,40896,77.69,"1407 đường Tỉnh lộ 7, xã An Nhơn Tây, huyện Củ Chi cũ ","Xã Phú Mỹ Hưng, Xã An Phú, Xã An Nhơn Tây",106.483,11.1015
thành phố Hồ Chí Minh,An Phú,phường,29,35,162930,16.851,"ĐT743, khu phố 1A, phường An Phú, TP Thuận An, tỉnh Bình Dương cũ","Phường An Phú (thành phố Thuận An), Phường Bình Chuẩn",106.736,10.9593
thành phố Hồ Chí Minh,An Phú Đông,phường,29,217,179115,14.59,"Trụ sở UBND phường Thạnh Lộc, quận 12 cũ","Phường Thạnh Lộc, Phường An Phú Đông",106.693,10.8625
thành phố Hồ Chí Minh,An Thới Đông,xã,29,215,22607,257.84,"Trụ sở UBND xã An Thới Đông cũ, ấp An Hòa 1, huyện Cần Giờ cũ","Xã Lý Nhơn, Xã An Thới Đông",106.807,10.5016
thành phố Hồ Chí Minh,Bà Điểm,xã,29,201,204289,27.36,Trụ sở Đảng ủy - HĐND - UBND xã Bà Điểm cũ,"Xã Xuân Thới Thượng, Xã Trung Chánh, Xã Bà Điểm",106.55,10.8567
thành phố Hồ Chí Minh,Bà Rịa,phường,29,2222,52260,15.55,"137 đường 27/4 phường Phước Trung, thành phố Bà Rịa, tỉnh Bà Rịa-Vũng Tàu cũ","Phường Phước Trung, Phường Phước Nguyên, Phường Long Toàn, Phường Phước Hưng",107.182,10.4925
thành phố Hồ Chí Minh,Bắc Tân Uyên,xã,29,24,27964,143.694,"Khu phố 2, thị trấn Tân Thành, huyện Bắc Tân Uyên, tỉnh Bình Dương cũ","Thị trấn Tân Thành, Xã Đất Cuốc, Xã Tân Định",106.865,11.1707
thành phố Hồ Chí Minh,Bàn Cờ,phường,29,141,67634,0.99,"296-298 Nguyễn Thiện Thuật, phường 3, quận 3 cũ","Phường 1, Phường 2, Phường 3, Phường 5, Phường 4 (Quận 3)",106.682,10.7705
thành phố Hồ Chí Minh,Bàu Bàng,xã,29,12,42219,84.089,"Trung tâm hành chính huyện Bàu Bàng, khu phố Đồng Sổ, thị trấn Lai Uyên, Huyện Bàu Bàng, tỉnh Bình Dương cũ",Thị trấn Lai Uyên,106.623,11.2876
thành phố Hồ Chí Minh,Bàu Lâm,xã,29,2233,22567,123.83,"Ấp 2 Đông, xã Bàu Lâm, huyện Xuyên Mộc, tỉnh Bà Rịa - Vũng Tàu cũ","Xã Tân Lâm, Xã Bàu Lâm",107.418,10.7308
thành phố Hồ Chí Minh,Bảy Hiền,phường,29,112,132252,2.86,"1129/20 Lạc Long Quân, phường 11, quận Tân Bình cũ","Phường 10, Phường 11, Phường 12 (quận Tân Bình)",106.649,10.7922
thành phố Hồ Chí Minh,Bến Cát,phường,29,10,97928,100.893,"KP2, phường Mỹ Phước, TP Bến Cát, tỉnh Bình Dương cũ","Xã Tân Hưng (huyện Bàu Bàng), Xã Lai Hưng, Phường Mỹ Phước",106.605,11.1876
thành phố Hồ Chí Minh,Bến Thành,phường,29,41,71875,1.85,"92 Nguyễn Trãi, phường Bến Thành, quận 1 cũ và 238 - 240 Đề Thám, phường Phạm Ngũ Lão, quận 1 cũ ","Phường Bến Thành, Phường Phạm Ngũ Lão, Phường Cầu Ông Lãnh, Phường Nguyễn Thái Bình",106.694,10.7713
thành phố Hồ Chí Minh,Bình Chánh,xã,29,208,76187,21.33,"345 đường Trịnh Như Khuê, xã Bình Khánh, huyện Bình Chánh cũ","Xã Tân Quý Tây, Xã Bình Chánh, Xã An Phú Tây",106.586,10.6662
thành phố Hồ Chí Minh,Bình Châu,xã,29,2236,26054,87.06,"Quốc lộ 55, ấp Láng Găng, xã Bình Châu, huyện Xuyên Mộc, tỉnh Bà Rịa - Vũng Tàu cũ",Không sáp nhập,107.532,10.5913
thành phố Hồ Chí Minh,Bình Cơ,phường,29,25,64601,73.694,"ĐT 747, khu phố 2, phường Hội Nghĩa, TP Tân Uyên, tỉnh Bình Dương cũ","Xã Bình Mỹ (huyện Bắc Tân Uyên), Phường Hội Nghĩa",106.765,11.153
