tentinh,tenxa,loai,matinh,maxa,danso,dientich_km2,trungtam_hc,truoc_sapnhap,kinhdo,vido
thành phố Huế,A Lưới 1,xã,20,1729,12882,198.59,"Thôn A Niêng - Lê Triêng 1, xã A Lưới 1","Xã Hồng Thủy, Xã Hồng Vân, Xã Trung Sơn, Xã Hồng Kim",107.149,16.3409
thành phố Huế,A Lưới 2,xã,20,1728,20496,97.62,"195 Hồ Chí Minh, xã A Lưới 2","Thị trấn A Lưới, Xã Hồng Bắc, Xã Quảng Nhâm, Xã A Ngo",107.198,16.2566
thành phố Huế,A Lưới 3,xã,20,1731,8976,154.23,"Thôn Quảng Phú, xã A Lưới 3","Xã Sơn Thủy, Xã Hồng Thượng, Xã Phú Vinh, Xã Hồng Thái",107.245,16.2015
thành phố Huế,A Lưới 4,xã,20,1732,10752,233.65,"Thôn Chi Lanh - A Rom, xã A Lưới 4","Xã Hương Phong, Xã A Roàng, Xã Đông Sơn, Xã Lâm Đớt",107.351,16.1404
thành phố Huế,A Lưới 5,xã,20,1730,3760,464.4,"Thôn Pa Hy, xã A Lưới 5","Xã Hương Nguyên, Xã Hồng Hạ",107.411,16.2205
thành phố Huế,An Cựu,phường,20,1706,55305,16.71,"67A Hoàng Quốc Việt, phường An Cựu","Phường An Đông, Phường An Tây, Phường An Cựu",107.596,16.4316
thành phố Huế,Bình Điền,xã,20,1726,15229,266.5,"1 Phú Lợi, xã Bình Điền","Xã Hương Bình, Xã Bình Thành, Xã Bình Tiến",107.459,16.3492
thành phố Huế,Chân Mây - Lăng Cô,xã,20,1734,50831,261.38,"Thôn Bình An, xã Chân Mây - Lăng Cô","Thị trấn Lăng Cô, Xã Lộc Tiến, Xã Lộc Vĩnh, Xã Lộc Thủy",108.014,16.246
thành phố Huế,Đan Điền,xã,20,1713,40389,82.62,"Thôn Lai Trung, xã Đan Điền","Xã Quảng Thái, Xã Quảng Lợi, Xã Quảng Vinh, Xã Quảng Phú",107.438,16.6304
thành phố Huế,Dương Nỗ,phường,20,1717,31692,20.63,"Tổ dân phố Mậu Tài, phường Dương Nỗ",Không sáp nhập,107.598,16.5248
thành phố Huế,Hóa Châu,phường,20,1714,41328,34.6,"đường Thanh Hà, phường Hóa Châu","Phường Hương Phong, Phường Hương Vinh, Xã Quảng Thành",107.58,16.5457
thành phố Huế,Hưng Lộc,xã,20,1737,32586,95.62,"Thôn La Sơn, xã Hưng Lộc","Thị trấn Lộc Sơn, Xã Lộc Bổn, Xã Xuân Lộc",107.705,16.292
thành phố Huế,Hương An,phường,20,1707,35885,19.43,"143 Nguyễn Văn Linh, phường Hương An","Phường An Hòa, Phường Hương Sơ, Phường Hương An",107.515,16.4612
thành phố Huế,Hương Thủy,phường,20,1723,29192,33.93,"749 Nguyễn Tất Thành, phường Hương Thủy","Phường Thủy Lương, Phường Thủy Châu, Xã Thủy Tân",107.693,16.4186
thành phố Huế,Hương Trà,phường,20,1725,29979,83.28,"107 Cách mạng tháng 8, phường Hương Trà","Phường Tứ Hạ, Phường Hương Văn, Phường Hương Vân",107.401,16.4064
thành phố Huế,Khe Tre,xã,20,1738,12882,256.02,"189 Khe Tre, xã Khe Tre","Thị trấn Khe Tre, Xã Hương Phú, Xã Hương Lộc, Xã Thượng Lộ",107.77,16.1513
thành phố Huế,Kim Long,phường,20,1727,48999,90.14,"87 Phạm Thị Liên, phường Kim Long","Phường Long Hồ, Phường Hương Long, Phường Kim Long",107.543,16.4047
thành phố Huế,Kim Trà,phường,20,1724,36296,42.8,"232 Lý Nhân Tông, phường Kim Trà","Phường Hương Xuân, Phường Hương Chữ, Xã Hương Toàn",107.509,16.4941
thành phố Huế,Lộc An,xã,20,1736,39217,177.58,"Thôn An Lại, xã Lộc An","Xã Lộc Hòa, Xã Lộc Điền, Xã Lộc An",107.798,16.274
thành phố Huế,Long Quảng,xã,20,1740,8883,215.85,"Thôn A Chiếu, xã Long Quảng","Xã Thượng Quảng, Xã Thượng Long, Xã Hương Hữu",107.587,16.0997
thành phố Huế,Mỹ Thượng,phường,20,1718,44736,28.83,"449 Phạm Văn Đồng, phường Mỹ Thượng","Phường Phú Thượng, Xã Phú An, Xã Phú Mỹ",107.633,16.5042
thành phố Huế,Nam Đông,xã,20,1739,9158,175.95,"Thôn Phú Nhuận, xã Nam Đông","Xã Hương Xuân, Xã Thượng Nhật, Xã Hương Sơn",107.717,16.066
thành phố Huế,Phong Điền,phường,20,1712,27862,592.48,"31 Phò Trạch, phường Phong Điền","Phường Phong Thu, Xã Phong Mỹ, Xã Phong Xuân",107.24,16.4904
thành phố Huế,Phong Dinh,phường,20,1711,28012,87.17,"168 Phò Trạch Đệm, phường Phong Dinh","Phường Phong Hòa, Xã Phong Bình, Xã Phong Chương",107.366,16.6443
thành phố Huế,Phong Phú,phường,20,1710,19057,60.85,"Tổ dân phố Nhất Tây, phường Phong Phú","Phường Phong Phú, Xã Phong Thạnh",107.41,16.696
thành phố Huế,Phong Quảng,phường,20,1751,25728,41.7,"Thôn 2, phường Phong Quảng","Phường Phong Hải, Xã Quảng Công, Xã Quảng Ngạn",107.506,16.6339
thành phố Huế,Phong Thái,phường,20,1741,37406,187.02,"Tổ dân phố Bồ Điền, phường Phong Thái","Phường Phong An, Phường Phong Hiền, Xã Phong Sơn",107.425,16.5343
thành phố Huế,Phú Bài,phường,20,1722,38410,344.63,"1.297 Nguyễn Tất Thành, phường Phú Bài","Phường Phú Bài, Xã Thủy Phù, Xã Phú Sơn, Xã Dương Hòa",107.611,16.2807
thành phố Huế,Phú Hồ,xã,20,1720,23550,57.72,"Thôn Quảng Xuyên, xã Phú Hồ","Xã Phú Xuân, Xã Phú Lương, Xã Phú Hồ",107.688,16.4778
thành phố Huế,Phú Lộc,xã,20,1733,28273,119.3,"134 Lý Thánh Tông, xã Phú Lộc","Thị trấn Phú Lộc, Xã Lộc Trì, Xã Lộc Bình",107.886,16.2682
thành phố Huế,Phú Vang,xã,20,1721,39250,86.19,"26 Đỗ Tram, thôn Hòa Tây, xã Phú Vang","Thị trấn Phú Đa, Xã Phú Gia, Xã Vinh Hà",107.771,16.402
thành phố Huế,Phú Vinh,xã,20,1719,47674,57.95,"Thôn 3, xã Phú Vinh","Xã Phú Diên, Xã Vinh Xuân, Xã Vinh An, Xã Vinh Thanh",107.775,16.4549
thành phố Huế,Phú Xuân,phường,20,1703,130247,10.38,"394 Đinh Tiên Hoàng, phường Phú Xuân","Phường Gia Hội, Phường Phú Hậu, Phường Tây Lộc, Phường Thuận Lộc, Phường Thuận Hòa, Phường Đông Ba",107.577,16.4785
thành phố Huế,Quảng Điền,xã,20,1715,41798,45.93,"1 Trần Quang Nợ, xã Quảng Điền","Thị trấn Sịa, Xã Quảng Phước, Xã Quảng An, Xã Quảng Thọ",107.533,16.5697
thành phố Huế,Thanh Thủy,phường,20,1709,43569,48.92,"555 Nguyễn Tất Thành, phường Thanh Thủy","Phường Thủy Dương, Phường Thủy Phương, Xã Thủy Thanh",107.635,16.4205
thành phố Huế,Thuận An,phường,20,1716,54846,36.48,"164 Kinh Dương Vương, phường Thuận An","Phường Thuận An, Xã Phú Hải, Xã Phú Thuận",107.641,16.5518
thành phố Huế,Thuận Hóa,phường,20,1705,98923,7.57,"2 Lê Hồng Phong, phường Thuận Hóa","Phường Phú Hội, Phường Phú Nhuận, Phường Đúc, Phường Vĩnh Ninh, Phường Phước Vĩnh, Phường Trường An",107.584,16.4556
thành phố Huế,Thủy Xuân,phường,20,1708,43373,37.03,"38 Lê Ngô Cát, phường Thủy Xuân","Phường Thủy Biều, Phường Thủy Bằng, Phường Thủy Xuân",107.583,16.4077
thành phố Huế,Vinh Lộc,xã,20,1735,36350,66.53,"Thôn Giang Chế, xã Vinh Lộc","Xã Vinh Hưng, Xã Vinh Mỹ, Xã Giang Hải, Xã Vinh Hiền",107.867,16.3606
thành phố Huế,Vỹ Dạ,phường,20,1704,49684,8.93,"20 Lâm Hoằng, phường Vỹ Dạ","Phường Thủy Vân, Phường Xuân Phú, Phường Vỹ Dạ",107.611,16.4779
