tentinh,tenxa,loai,matinh,maxa,danso,dientich_km2,trungtam_hc,truoc_sapnhap,kinhdo,vido
tỉnh Hưng Yên,A Sào,xã,5,655,27967,20.46,đang cập nhật,"Xã An Đồng, Xã An Hiệp, Xã An Thái, Xã An Khê",106.389,20.698
tỉnh Hưng Yên,Ái Quốc,xã,5,704,16704,14.98,đang cập nhật,"Xã Tây Giang, Xã Ái Quốc",106.518,20.3768
tỉnh Hưng Yên,Ân Thi,xã,5,695,30582,24.39,đang cập nhật,"Thị trấn Ân Thi, Xã Quang Vinh, Xã Hoàng Hoa Thám",106.101,20.8246
tỉnh Hưng Yên,Bắc Đông Hưng,xã,5,670,23729,20.84,đang cập nhật,"Xã Đông Cường, Xã Đông Xá, Xã Đông Phương",106.406,20.5738
tỉnh Hưng Yên,Bắc Đông Quan,xã,5,660,25263,20.67,đang cập nhật,"Xã Hà Giang, Xã Đông Kinh, Xã Đông Vinh",106.389,20.5359
tỉnh Hưng Yên,Bắc Thái Ninh,xã,5,659,17908,23.12,đang cập nhật,"Xã Thái Phúc, Xã Dương Hồng Thủy",106.493,20.5141
tỉnh Hưng Yên,Bắc Thụy Anh,xã,5,645,19194,17.38,đang cập nhật,"Xã Thụy Quỳnh, Xã Thụy Văn, Xã Thụy Việt",106.513,20.6037
tỉnh Hưng Yên,Bắc Tiên Hưng,xã,5,663,40641,28.03,đang cập nhật,"Xã Liên An Đô, Xã Lô Giang, Xã Mê Linh, Xã Phú Lương",106.318,20.5806
tỉnh Hưng Yên,Bình Định,xã,5,774,22133,24.47,đang cập nhật,"Xã Hồng Tiến, Xã Nam Bình, Xã Bình Định",106.459,20.3158
tỉnh Hưng Yên,Bình Nguyên,xã,5,778,46425,30.6,đang cập nhật,"Xã Thanh Tân, Xã An Bình, Xã Bình Nguyên",106.425,20.4546
tỉnh Hưng Yên,Bình Thanh,xã,5,761,24517,22.37,đang cập nhật,"Xã Minh Tân, Xã Minh Quang (huyện Kiến Xương), Xã Bình Thanh",106.413,20.338
tỉnh Hưng Yên,Châu Ninh,xã,5,809,36218,22.22,đang cập nhật,"Xã Đại Tập, Xã Tứ Dân, Xã Tân Châu, Xã Đông Ninh",105.924,20.8181
tỉnh Hưng Yên,Chí Minh,xã,5,791,35259,20.73,đang cập nhật,"Xã Thuần Hưng, Xã Nguyễn Huệ, Xã Chí Minh",105.989,20.7774
tỉnh Hưng Yên,Đại Đồng,xã,5,738,63131,77.87,đang cập nhật,"Xã Việt Hưng, Xã Lương Tài, Xã Đại Đồng, Xã Đình Dù, Xã Lạc Đạo",106.093,20.9885
tỉnh Hưng Yên,Diên Hà,xã,5,666,40167,27.3,đang cập nhật,"Xã Quang Trung (huyện Hưng Hà), Xã Văn Cẩm, Xã Duyên Hải",106.255,20.6395
tỉnh Hưng Yên,Đoàn Đào,xã,5,806,22781,22.39,đang cập nhật,"Xã Phan Sào Nam, Xã Minh Hoàng, Xã Đoàn Đào",106.148,20.7256
tỉnh Hưng Yên,Đồng Bằng,xã,5,669,25,20.04,đang cập nhật,"Xã An Cầu, Xã An Ấp, Xã An Lễ, Xã An Quý",106.397,20.6351
tỉnh Hưng Yên,Đồng Châu,xã,5,702,30501,30.67,đang cập nhật,"Xã Đông Hoàng (huyện Tiền Hải), Xã Đông Cơ, Xã Đông Lâm, Xã Đông Minh",106.573,20.4047
tỉnh Hưng Yên,Đông Hưng,xã,5,662,22281,81.62,đang cập nhật,"Thị trấn Đông Hưng, Xã Nguyên Xá (huyện Đông Hưng), Xã Đông La, Xã Đông Các, Xã Đông Sơn, Xã Đông Hợp",106.361,20.5607
tỉnh Hưng Yên,Đông Quan,xã,5,672,25167,23.62,đang cập nhật,"Xã Đông Á, Xã Đông Tân, Xã Đông Quan",106.417,20.5108
tỉnh Hưng Yên,Đông Thái Ninh,xã,5,673,2713,31.08,đang cập nhật,"Xã Mỹ Lộc, Xã Tân Học, Xã Thái Đô, Xã Thái Xuyên",106.555,20.4866
tỉnh Hưng Yên,Đông Thụy Anh,xã,5,644,38299,34.9,đang cập nhật,"Xã Thụy Trường, Xã Thụy Xuân, Xã An Tân, Xã Hồng Dũng",106.603,20.6077
tỉnh Hưng Yên,Đông Tiền Hải,xã,5,703,37027,38.64,đang cập nhật,"Xã Đông Xuyên, Xã Đông Quang, Xã Đông Long, Xã Đông Trà",106.563,20.4437
tỉnh Hưng Yên,Đông Tiên Hưng,xã,5,654,23495,16.32,đang cập nhật,"Xã Phong Dương Tiến, Xã Phú Châu",106.319,20.5499
tỉnh Hưng Yên,Đức Hợp,xã,5,805,29424,22.37,đang cập nhật,"Xã Phú Thọ, Xã Mai Động, Xã Đức Hợp",105.985,20.731
tỉnh Hưng Yên,Đường Hào,phường,5,700,39028,25.62,đang cập nhật,"Phường Dị Sử, Phường Phùng Chí Kiên, Xã Xuân Dục, Xã Hưng Long, Xã Ngọc Lâm",106.101,20.8935
