tentinh,tenxa,loai,matinh,maxa,danso,dientich_km2,trungtam_hc,truoc_sapnhap,kinhdo,vido
tỉnh Khánh Hòa,Anh Dũng,xã,23,1275,103,320.6,UBND xã Ma Nới ,"Xã Ma Nới, Xã Hòa Sơn",108.675,11.6202
tỉnh Khánh Hòa,Ba Ngòi,phường,23,1260,31708,78.2,UBND phường Ba Ngòi,"Phường Ba Ngòi, Xã Cam Phước Đông",109.11,11.9377
tỉnh Khánh Hòa,Bác Ái,xã,23,1271,1227,188.5,UBND xã Phước Thắng ,"Xã Phước Tiến, Xã Phước Thắng, Xã Phước Chính",108.831,11.8156
tỉnh Khánh Hòa,Bác Ái Đông,xã,23,1272,9335,235.2,UBND huyện Bác Ái ,"Xã Phước Đại, Xã Phước Thành",108.956,11.869
tỉnh Khánh Hòa,Bác Ái Tây,xã,23,1270,1109,478.7,UBND xã Phước Hòa  ,"Xã Phước Hòa, Xã Phước Tân, Xã Phước Bình",108.762,11.9949
tỉnh Khánh Hòa,Bắc Cam Ranh,phường,23,1045,43644,134,UBND phường Cam Phúc Bắc,"Phường Cam Nghĩa, Phường Cam Phúc Bắc, Xã Cam Thành Nam",109.238,11.9364
tỉnh Khánh Hòa,Bắc Khánh Vĩnh,xã,23,1040,9199,144.2,UBND xã Khánh Bình,"Xã Khánh Bình, Xã Khánh Đông",108.96,12.4054
tỉnh Khánh Hòa,Bắc Nha Trang,phường,23,1042,128239,97,UBND phường Vĩnh Phước - số 422 đường 2 Tháng 4,"Phường Vĩnh Hòa, Phường Vĩnh Hải, Phường Vĩnh Phước, Phường Vĩnh Thọ, Xã Vĩnh Lương, Xã Vĩnh Phương",109.171,12.3221
tỉnh Khánh Hòa,Bắc Ninh Hòa,xã,23,1034,32329,237,UBND xã Ninh Thọ,"Xã Ninh An, Xã Ninh Sơn, Xã Ninh Thọ",109.099,12.6538
tỉnh Khánh Hòa,Bảo An,phường,23,1079,45995,18.5,BQL đầu tư xây dựng và phát triển quỹ đất tỉnh Ninh Thuận,"Phường Phước Mỹ, Phường Bảo An, Xã Thành Hải",108.974,11.5964
tỉnh Khánh Hòa,Cà Ná,xã,23,1097,24903,63.9,UBND xã Phước Diêm,"Xã Phước Diêm, Xã Cà Ná",108.91,11.3513
tỉnh Khánh Hòa,Cam An,xã,23,1265,19534,122,UBND Cam An Bắc,"Xã Cam Phước Tây, Xã Cam An Bắc, Xã Cam An Nam",109.061,11.9959
tỉnh Khánh Hòa,Cam Hiệp,xã,23,1264,5,115.1,UBND xã Suối Cát,"Xã Sơn Tân, Xã Cam Hiệp Bắc, Xã Cam Hiệp Nam, Xã Cam Hòa, Xã Cam Tân, Xã Suối Tân",109.056,12.0721
tỉnh Khánh Hòa,Cam Lâm,xã,23,1263,8653,149.9,UBND huyện Cam Lâm,"Thị trấn Cam Đức, Xã Cam Hải Đông, Xã Cam Hải Tây, Xã Cam Thành Bắc, Xã Cam Hiệp Bắc, Xã Cam Hiệp Nam, Xã Cam Hòa, Xã Cam Tân, Xã Cam An Bắc, Xã Cam An Nam, Xã Suối Tân",109.149,12.0856
tỉnh Khánh Hòa,Cam Linh,phường,23,1261,33052,4.8,UBND phường Cam Linh,"Phường Cam Thuận, Phường Cam Lợi, Phường Cam Linh",109.158,11.9019
tỉnh Khánh Hòa,Cam Ranh,phường,23,1259,31237,17.5,UBND TP Cam Ranh,"Phường Cam Phú, Phường Cam Lộc, Phường Cam Phúc Nam",109.168,11.9323
tỉnh Khánh Hòa,Công Hải,xã,23,1278,14727,124.3,UBND xã Công Hải ,"Xã Phước Chiến, Xã Công Hải",109.089,11.7955
tỉnh Khánh Hòa,Đại Lãnh,xã,23,1016,25644,171,UBND xã Vạn Thọ,"Xã Vạn Thạnh, Xã Vạn Thọ, Xã Đại Lãnh",109.388,12.6983
tỉnh Khánh Hòa,Diên Điền,xã,23,1071,38029,63.7,UBND xã Diên Điền,"Xã Diên Sơn, Xã Diên Phú, Xã Diên Điền",109.096,12.3022
tỉnh Khánh Hòa,Diên Khánh,xã,23,1068,45223,18.4,UBND huyện Diên Khánh,"Thị trấn Diên Khánh, Xã Diên An, Xã Diên Toàn",109.109,12.2432
tỉnh Khánh Hòa,Diên Lạc,xã,23,1073,23325,14.9,UBND xã Diên Lạc,"Xã Diên Thạnh, Xã Diên Lạc, Xã Diên Hòa",109.078,12.2542
