tentinh,tenxa,loai,matinh,maxa,danso,dientich_km2,trungtam_hc,truoc_sapnhap,kinhdo,vido
tỉnh Lai Châu,Bản Bo,xã,14,2085,9496,100.82,"Trụ sở UBND xã Bản Bo, Bản Hưng Phong, xã Bản Bo","Xã Nà Tăm, Xã Bản Bo",103.697,22.2846
tỉnh Lai Châu,Bình Lư,xã,14,2083,18606,173.91,"Số 170 Đường Võ Nguyên Giáp, xã Bình Lư","Thị trấn Tam Đường, Xã Sơn Bình, Xã Bình Lư",103.678,22.3532
tỉnh Lai Châu,Bum Nưa,xã,14,2093,7147,315.13,"Bản Nà Hẻ, xã Bum Nưa","Xã Pa Vệ Sủ, Xã Bum Nưa",102.85,22.4925
tỉnh Lai Châu,Bum Tở,xã,14,2090,11711,384.07,"Khu 8, xã Bum Tở","Thị trấn Mường Tè, Xã Can Hồ, Xã Bum Tở",102.791,22.3407
tỉnh Lai Châu,Dào San,xã,14,2107,16123,137.29,"Bản Hợp 2, xã Dào San","Xã Tung Qua Lìn, Xã Mù Sang, Xã Dào San",103.361,22.6637
tỉnh Lai Châu,Đoàn Kết,phường,14,2081,25403,134.31,"Số 68, Đường Võ Giáp, Phường Đoàn Kết","Phường Đoàn Kết, Phường Quyết Tiến, Phường Quyết Thắng, Xã Lản Nhì Thàng, Xã Sùng Phài",103.397,22.4412
tỉnh Lai Châu,Hồng Thu,xã,14,2099,13368,178,"Bản Nậm Mạ Thái, xã Hồng Thu","Xã Phìn Hồ, Xã Ma Quai, Xã Hồng Thu",103.322,22.4203
tỉnh Lai Châu,Hua Bum,xã,14,2091,5697,355.72,"Bản Chang Chảo Pá, xã Hua Bum","Xã Vàng San, Xã Hua Bum",102.98,22.3565
tỉnh Lai Châu,Khoen On,xã,14,2117,10677,189.78,"Bản Củng, xã Khoen On","Xã Ta Gia, Xã Khoen On",103.854,21.7686
tỉnh Lai Châu,Khổng Lào,xã,14,2108,16924,188.12,"Bản Khổng Lào, xã Khổng Lào","Xã Hoang Thèn, Xã Bản Lang, Xã Khổng Lào",103.372,22.5935
tỉnh Lai Châu,Khun Há,xã,14,2084,9148,149.35,"Trụ sở xã Khun Há, bản Nậm Đích, xã Khun Há","Xã Bản Hon, Xã Khun Há",103.583,22.2581
tỉnh Lai Châu,Lê Lợi,xã,14,2097,911,288.36,"Bản Chiềng Chăn 3, xã Lê Lợi","Xã Nậm Pì, Xã Pú Đao, Xã Chăn Nưa, Xã Lê Lợi",103.154,22.1699
tỉnh Lai Châu,Mù Cả,xã,14,2089,3299,384.04,"Bản Mù Cả, xã Mù Cả",Không sáp nhập,102.459,22.4844
tỉnh Lai Châu,Mường Khoa,xã,14,2112,12529,168.83,"Bản Phiêng Tâm, xã Mường Khoa","Xã Phúc Khoa, Xã Mường Khoa",103.654,22.1773
tỉnh Lai Châu,Mường Kim,xã,14,2116,20385,316.32,"Bản Nà Đình, xã Mường Kim","Xã Tà Mung, Xã Tà Hừa, Xã Pha Mu, Xã Mường Kim",103.798,21.8809
tỉnh Lai Châu,Mường Mô,xã,14,2094,7335,395.16,"Bản Mường Mô, xã Mường Mô","Xã Nậm Chà, Xã Mường Mô",102.868,22.1502
tỉnh Lai Châu,Mường Tè,xã,14,2088,6364,292,"Bản Bó, xã Mường Tè","Xã Nậm Khao, Xã Mường Tè",102.63,22.482
tỉnh Lai Châu,Mường Than,xã,14,2115,13925,154.08,"Bản Nậm Ngùa, xã Mường Than","Xã Phúc Than, Xã Mường Mít",103.861,22.0198
tỉnh Lai Châu,Nậm Cuổi,xã,14,2104,10799,177.16,"Bản Tân Lập, xã Nậm Cuổi","Xã Nậm Hăn, Xã Nậm Cuổi",103.503,22.0735
tỉnh Lai Châu,Nậm Hàng,xã,14,2095,11218,335.92,"TDP Pá Kéo, xã Nậm Hàng","Thị trấn Nậm Nhùn, Xã Nậm Manh, Xã Nậm Hàng",103.019,22.145
tỉnh Lai Châu,Nậm Mạ,xã,14,2102,6504,112.73,"Bản Căn Co, xã Nậm Mạ","Xã Căn Co, Xã Nậm Mạ",103.425,22.1516
