tentinh,tenxa,loai,matinh,maxa,danso,dientich_km2,trungtam_hc,truoc_sapnhap,kinhdo,vido
tỉnh Lâm Đồng,1 Bảo Lộc,phường,26,1081,55845,51.46,đang cập nhật,"Phường 1 (thành phố Bảo Lộc), Phường Lộc Phát, Xã Lộc Thanh",107.844,11.5733
tỉnh Lâm Đồng,2 Bảo Lộc,phường,26,1083,49564,176.72,đang cập nhật,"Phường 2 (thành phố Bảo Lộc), Xã Lộc Tân, Xã ĐamBri",107.724,11.5951
tỉnh Lâm Đồng,3 Bảo Lộc,phường,26,1082,54445,108.98,đang cập nhật,"Phường Lộc Tiến, Xã Lộc Châu, Xã Đại Lào",107.758,11.4975
tỉnh Lâm Đồng,B’Lao,phường,26,1084,đang cập nhật,33.7679,UBND phường Lộc Sơn và UBND phường B’Lao,"Phường Lộc Sơn, Phường B’Lao, Xã Lộc Nga",107.859,11.5247
tỉnh Lâm Đồng,Bắc Bình,xã,26,3091,51344,148.99,Thị trấn Chợ Lầu,"Thị trấn Chợ Lầu, Xã Phan Hòa, Xã Phan Hiệp, Xã Phan Rí Thành",108.541,11.2309
tỉnh Lâm Đồng,Bắc Gia Nghĩa,phường,26,2826,3776,250.55,đang cập nhật,"Phường Quảng Thành, Phường Nghĩa Thành, Phường Nghĩa Đức, Xã Đắk Ha",107.767,12.0523
tỉnh Lâm Đồng,Bắc Ruộng,xã,26,3106,18949,165.33,Xã Bắc Ruộng,"Xã Măng Tố, Xã Bắc Ruộng",107.743,11.2741
tỉnh Lâm Đồng,Bảo Lâm 1,xã,26,1085,44151,204.43,"Huyện ủy, UBND huyện Bảo Lâm","Thị trấn Lộc Thắng, Xã Lộc Quảng, Xã Lộc Ngãi",107.85,11.6627
tỉnh Lâm Đồng,Bảo Lâm 2,xã,26,1288,33092,114,UBND xã Lộc An,"Xã Lộc An, Xã Lộc Đức, Xã Tân Lạc",107.9,11.5592
tỉnh Lâm Đồng,Bảo Lâm 3,xã,26,1282,32917,152.13,UBND xã Lộc Nam,"Xã Lộc Thành, Xã Lộc Nam",107.836,11.4239
tỉnh Lâm Đồng,Bảo Lâm 4,xã,26,1281,10073,343.35,UBND xã Lộc Phú,"Xã Lộc Phú, Xã Lộc Lâm, Xã B’Lá",107.819,11.7873
