tentinh,tenxa,loai,matinh,maxa,danso,dientich_km2,trungtam_hc,truoc_sapnhap,kinhdo,vido
tỉnh Lạng Sơn,Ba Sơn,xã,11,1814,10416,154.96,"Trụ sở Đảng ủy, HĐND, UBND xã Xuất Lễ","Xã Mẫu Sơn (huyện Cao Lộc), Xã Cao Lâu, Xã Xuất Lễ",107.015,21.9033
tỉnh Lạng Sơn,Bắc Sơn,xã,11,1854,16907,80.46,"Trụ sở Đảng ủy, HĐND, UBND thị trấn Bắc Sơn","Thị trấn Bắc Sơn, Xã Long Đống, Xã Bắc Quỳnh",106.329,21.9122
tỉnh Lạng Sơn,Bằng Mạc,xã,11,1819,13647,117.82,"Trụ sở Đảng ủy, HĐND, UBND xã Gia Lộc","Xã Gia Lộc, Xã Bằng Hữu, Xã Thượng Cường, Xã Bằng Mạc",106.528,21.7164
tỉnh Lạng Sơn,Bình Gia,xã,11,1852,15008,104.98,"Trụ sở Đảng ủy, HĐND, UBND thị trấn Bình Gia","Xã Hoàng Văn Thụ (huyện Bình Gia), Xã Mông Ân, Thị trấn Bình Gia",106.374,21.9681
tỉnh Lạng Sơn,Cai Kinh,xã,11,1817,12027,105.56,"Trụ sở Đảng ủy, HĐND, UBND xã Cai Kinh","Xã Yên Vượng, Xã Yên Sơn, Xã Cai Kinh",106.408,21.5876
tỉnh Lạng Sơn,Cao Lộc,xã,11,1807,692,103.86,"Trụ sở Đảng ủy, HĐND, UBND xã Thanh Lòa","Xã Lộc Yên, Xã Thanh Lòa, Xã Thạch Đạn",106.816,21.9434
tỉnh Lạng Sơn,Châu Sơn,xã,11,1871,5948,301.31,"Trụ sở Đảng ủy, HĐND, UBND xã Châu Sơn","Xã Bắc Lãng, Xã Đồng Thắng, Xã Cường Lợi, Xã Châu Sơn, Xã Kiên Mộc",107.16,21.4501
tỉnh Lạng Sơn,Chi Lăng,xã,11,1805,đang cập nhật,80.2056,"Trụ sở Đảng ủy, HĐND, UBND thị trấn Đồng Mỏ","Xã Chi Lăng (huyện Chi Lăng), Thị trấn Chi Lăng, Thị trấn Đồng Mỏ",106.546,21.6099
tỉnh Lạng Sơn,Chiến Thắng,xã,11,1818,11563,114.27,"Trụ sở Đảng ủy, HĐND, UBND xã Chiến Thắng","Xã Chiến Thắng (huyện Chi Lăng), Xã Vân An, Xã Liên Sơn, Xã Vân Thủy",106.759,21.7333
tỉnh Lạng Sơn,Công Sơn,xã,11,1815,6506,84.74,"Trụ sở Đảng ủy, HĐND, UBND xã Hải Yến","Xã Hòa Cư, Xã Hải Yến, Xã Công Sơn",106.866,21.8792
tỉnh Lạng Sơn,Điềm He,xã,11,1829,1134,103.12,"Trụ sở Đảng ủy, HĐND, UBND xã Điềm He","Xã Trấn Ninh, Xã Liên Hội, Xã Điềm He",106.565,21.9462
tỉnh Lạng Sơn,Đình Lập,xã,11,1869,9916,164.66,"Trụ sở Đảng ủy, HĐND, UBND thị trấn Đình Lập","Thị trấn Đình Lập, Xã Đình Lập, Xã Bính Xá",107.071,21.5854
tỉnh Lạng Sơn,Đoàn Kết,xã,11,1840,17938,240.66,"Trụ sở Đảng ủy, HĐND, UBND xã Đoàn Kết","Xã Khánh Long, Xã Cao Minh, Xã Đoàn Kết",106.262,22.3868
tỉnh Lạng Sơn,Đồng Đăng,xã,11,1806,24976,91.57,"Trụ sở Đảng ủy, HĐND, UBND thị trấn Đồng Đăng","Thị trấn Đồng Đăng, Xã Thụy Hùng (huyện Cao Lộc), Xã Phú Xá, Xã Hồng Phong, Xã Bảo Lâm",106.722,21.9461
tỉnh Lạng Sơn,Đông Kinh,phường,11,1803,50436,54.71,"Trụ sở Đảng ủy, HĐND, UBND phường Vĩnh Trại","Phường Vĩnh Trại, Phường Đông Kinh, Xã Yên Trạch, Xã Mai Pha",106.771,21.8068
tỉnh Lạng Sơn,Hoa Thám,xã,11,1846,6131,151.78,"Trụ sở Đảng ủy, HĐND, UBND xã Hoa Thám","Xã Hưng Đạo, Xã Hoa Thám",106.364,22.1832
tỉnh Lạng Sơn,Hoàng Văn Thụ,xã,11,1827,41624,61.7,"Trụ sở Đảng ủy, HĐND, UBND xã Tân Mỹ","Xã Hồng Thái, Xã Hoàng Văn Thụ (huyện Văn Lãng), Xã Tân Mỹ, Xã Nhạc Kỳ, Xã Tân Thanh",106.647,21.9705
tỉnh Lạng Sơn,Hội Hoan,xã,11,1826,7479,117.43,"Trụ sở Đảng ủy, HĐND, UBND xã Hội Hoan","Xã Gia Miễn, Xã Hội Hoan",106.485,22.0321
tỉnh Lạng Sơn,Hồng Phong,xã,11,1848,6885,132.98,"Trụ sở Đảng ủy, HĐND, UBND xã Hồng Phong","Xã Hồng Phong (huyện Bình Gia), Xã Minh Khai",106.416,22.0681
tỉnh Lạng Sơn,Hưng Vũ,xã,11,1835,12122,133.24,"Trụ sở Đảng ủy, HĐND, UBND xã Hưng Vũ","Xã Trấn Yên, Xã Hưng Vũ",106.366,21.805
tỉnh Lạng Sơn,Hữu Liên,xã,11,1816,8754,122.56,"Trụ sở Đảng ủy, HĐND, UBND xã Yên Thịnh","Xã Yên Thịnh, Xã Hữu Liên",106.367,21.6616
tỉnh Lạng Sơn,Hữu Lũng,xã,11,1856,30848,52.87,"Trụ sở Đảng ủy, HĐND, UBND thị trấn Hữu Lũng","Thị trấn Hữu Lũng, Xã Đồng Tân, Xã Hồ Sơn",106.368,21.5134
