tentinh,tenxa,loai,matinh,maxa,danso,dientich_km2,trungtam_hc,truoc_sapnhap,kinhdo,vido
tỉnh Lào Cai,A Mú Sung,xã,9,988,59550,104.4,"Thôn Y Giang, xã A Mú Sung (Trụ sở xã A Mú Sung cũ)","Xã Nậm Chạc, Xã A Mú Sung",103.659,22.7296
tỉnh Lào Cai,Âu Lâu,phường,9,858,23245,66.17,đang cập nhật,"Phường Hợp Minh, Xã Giới Phiên, Xã Minh Quân, Xã Âu Lâu",104.882,21.6708
tỉnh Lào Cai,Bắc Hà,xã,9,942,30521,179.7,"TDP Nậm Sắt 2, xã Bắc Hà (Trụ sở thị trấn Bắc Hà cũ)","Thị trấn Bắc Hà, Xã Na Hối, Xã Thải Giàng Phố, Xã Bản Phố, Xã Hoàng Thu Phố, Xã Nậm Mòn",104.307,22.5246
tỉnh Lào Cai,Bản Hồ,xã,9,1013,93510,166.2,"Thôn Bản Sái, Xã Bản Hồ (Trụ sở xã Bản Hồ cũ)","Xã Thanh Bình (thị xã Sa Pa), Xã Bản Hồ",103.954,22.24
tỉnh Lào Cai,Bản Lầu,xã,9,939,18559,125.3,"Thôn Bản Sen, xã Bản Lầu mới (Trụ sở xã Bản Sen cũ)","Xã Bản Sen, Xã Lùng Vai, Xã Bản Lầu",104.07,22.5943
tỉnh Lào Cai,Bản Liền,xã,9,945,42210,76.7,"Thôn Đội 2, xã Bản Liền (Trụ sở xã Bản Liền cũ)","Xã Nậm Khánh, Xã Bản Liền",104.384,22.4986
tỉnh Lào Cai,Bản Xèo,xã,9,1004,85600,78.3,"Thôn Bản Xèo, xã Bản Xèo (Trụ sở xã Bản Xèo cũ)","Xã Pa Cheo, Xã Mường Vi, Xã Bản Xèo",103.773,22.5248
tỉnh Lào Cai,Bảo Ái,xã,9,915,24303,163.41,đang cập nhật,"Xã Cảm Ân, Xã Mông Sơn, Xã Tân Nguyên, Xã Bảo Ái",104.846,21.8976
tỉnh Lào Cai,Bảo Hà,xã,9,965,34115,243,"Bản Lâm Sản, xã Bảo Hà (Trụ sở xã Bảo Hà cũ)","Xã Kim Sơn, Xã Cam Cọn, Xã Tân An, Xã Tân Thượng, Xã Bảo Hà",104.327,22.2048
tỉnh Lào Cai,Bảo Nhai,xã,9,946,17349,156,"Thôn Bảo Tấn 1, xã Bảo Nhai (Trụ sở xã Bảo Nhai cũ)","Xã Nậm Đét, Xã Cốc Ly, Xã Bảo Nhai",104.258,22.4185
tỉnh Lào Cai,Bảo Thắng,xã,9,953,32800,160.4,"Số 85, đường 19/5, TDP Phú Thành 3, xã Bảo Thắng (Trụ sở UBND xã Bảo Thắng cũ)","Thị trấn Phố Lu, Xã Sơn Hà, Xã Sơn Hải, Xã Thái Niên",104.14,22.3729
tỉnh Lào Cai,Bảo Yên,xã,9,962,21560,119.1,"Tổ dân phố 3A, thị trấn Phố Ràng (Trụ sở UBND xã Bảo Yên cũ)","Thị trấn Phố Ràng, Xã Yên Sơn, Xã Lương Sơn, Xã Xuân Thượng",104.491,22.2155
