tentinh,tenxa,loai,matinh,maxa,danso,dientich_km2,trungtam_hc,truoc_sapnhap,kinhdo,vido
tỉnh Nghệ An,An Châu,xã,17,1463,43437,34.87,UBND xã Diễn Thịnh và Diễn An,"Xã Diễn An, Xã Diễn Tân, Xã Diễn Thịnh, Xã Diễn Trung",105.609,18.9237
tỉnh Nghệ An,Anh Sơn,xã,17,1425,29539,199.65,UBND huyện Anh Sơn,"Thị trấn Kim Nhan, Xã Đức Sơn, Xã Phúc Sơn",105.019,18.8648
tỉnh Nghệ An,Anh Sơn Đông,xã,17,1429,16214,65.85,UBND xã Lạng Sơn,"Xã Lạng Sơn, Xã Tào Sơn, Xã Vĩnh Sơn",105.182,18.9598
tỉnh Nghệ An,Bắc Lý,xã,17,1514,5552,109.17,UBND xã Bắc Lý,Không sáp nhập,104.237,19.6386
tỉnh Nghệ An,Bạch Hà,xã,17,1479,39332,79.28,UBND xã Trù Sơn và Đại Sơn,"Xã Đại Sơn, Xã Hiến Sơn, Xã Mỹ Sơn, Xã Trù Sơn",105.439,18.8262
tỉnh Nghệ An,Bạch Ngọc,xã,17,1475,29021,72.2,UBND xã Bạch Ngọc và giang Sơn Tây,"Xã Bồi Sơn, Xã Giang Sơn Đông, Xã Giang Sơn Tây, Xã Bạch Ngọc",105.27,18.9514
tỉnh Nghệ An,Bích Hào,xã,17,1439,33960,147.06,UBND xã Mai Giang,"Xã Mai Giang, Xã Thanh Lâm, Xã Thanh Tùng, Xã Thanh Xuân",105.409,18.6325
tỉnh Nghệ An,Bình Chuẩn,xã,17,1457,4638,182.19,UBND xã Bình Chuẩn,Không sáp nhập,104.93,19.2514
tỉnh Nghệ An,Bình Minh,xã,17,1466,37031,91.08,UBND xã Tân Thành,"Xã Đức Thành, Xã Mã Thành, Xã Tân Thành, Xã Tiến Thành",105.494,19.108
tỉnh Nghệ An,Cam Phục,xã,17,1459,7412,162.43,UBND xã Đôn Phục,"Xã Cam Lâm, Xã Đôn Phục",104.857,19.156
tỉnh Nghệ An,Cát Ngạn,xã,17,1432,22995,59.28,UBND xã Phong Thịnh,"Xã Minh Sơn (huyện Thanh Chương), Xã Cát Văn, Xã Phong Thịnh",105.243,18.86
tỉnh Nghệ An,Châu Bình,xã,17,1455,11038,130.91,UBND xã Châu Bình,Không sáp nhập,105.2,19.4913
tỉnh Nghệ An,Châu Hồng,xã,17,1492,11809,134.05,UBND xã Châu Hồng,"Xã Châu Tiến (huyện Quỳ Hợp), Xã Châu Thành, Xã Châu Hồng",105.08,19.4049
tỉnh Nghệ An,Châu Khê,xã,17,1458,12210,544.31,UBND xã Châu Khê,"Xã Lạng Khê, Xã Châu Khê",104.666,18.962
tỉnh Nghệ An,Châu Lộc,xã,17,1493,7234,85.69,UBND xã Châu Lộc,"Xã Liên Hợp, Xã Châu Lộc",105.19,19.3855
tỉnh Nghệ An,Châu Tiến,xã,17,1453,18060,247.16,UBND xã Châu Tiến,"Xã Châu Tiến (huyện Quỳ Châu), Xã Châu Bính, Xã Châu Thắng, Xã Châu Thuận",105.073,19.6752
