tentinh,tenxa,loai,matinh,maxa,danso,dientich_km2,trungtam_hc,truoc_sapnhap,kinhdo,vido
tỉnh Ninh BÌnh,Bắc Lý,xã,6,2817,5552,109.17,Trụ sở xã Đạo Lý hiện nay,"Xã Chân Lý, Xã Đạo Lý, Xã Bắc Lý",106.112,20.6006
tỉnh Ninh BÌnh,Bình An,xã,6,2853,59475,73.43,Trụ sở xã Bình An hiện nay,"Xã Trung Lương, Xã Ngọc Lũ, Xã Bình An",106.058,20.4982
tỉnh Ninh BÌnh,Bình Giang,xã,6,2781,18257,163.7,Trụ sở xã Bồ Đề hiện nay,"Xã Bồ Đề, Xã Vũ Bản, Xã An Ninh",106.123,20.505
tỉnh Ninh BÌnh,Bình Lục,xã,6,2816,35225,23.97,Trụ sở xã Bình Nghĩa hiện nay,"Xã Bình Nghĩa, Xã Tràng An, Xã Đồng Du",106.013,20.5476
tỉnh Ninh BÌnh,Bình Minh,xã,6,863,83354,36.7,"Trụ sở Đảng ủy, MTTQ, các tổ chức CT-XH tại xã Kim Mỹ; Trụ sở HĐND, UBND tại thị trấn Bình Minh","Thị trấn Bình Minh, Xã Cồn Thoi, Xã Kim Mỹ",106.065,19.9939
tỉnh Ninh BÌnh,Bình Mỹ,xã,6,2834,6865,82.62,Trụ sở Huyện ủy - HĐND - UBND huyện Bình Lục,"Thị trấn Bình Mỹ, Xã Đồn Xá, Xã La Sơn",106.005,20.4886
tỉnh Ninh BÌnh,Bình Sơn,xã,6,2833,61517,281.7,Trụ sở xã Tiêu Động hiện nay,"Xã Tiêu Động, Xã An Lão, Xã An Đổ",106.008,20.4261
tỉnh Ninh BÌnh,Cát Thành,xã,6,831,39035,23.07,Trụ sở thị trấn Cát Thành hiện nay,"Thị trấn Cát Thành, Xã Việt Hùng, Xã Trực Đạo",106.284,20.2529
tỉnh Ninh BÌnh,Chất Bình,xã,6,841,17237,18.6,"Trụ sở Đảng ủy, MTTQ, các tổ chức CT-XH tại xã Hồi Ninh; Trụ sở HĐND-UBND tại xã Chất Bình","Xã Xuân Chính, Xã Hồi Ninh, Xã Chất Bình",106.138,20.1262
tỉnh Ninh BÌnh,Châu Sơn,phường,6,2843,33348,17.45,Trụ sở phường Châu Sơn hiện nay,"Phường Thanh Tuyền, Phường Châu Sơn, Thị trấn Kiện Khê",105.895,20.5057
tỉnh Ninh BÌnh,Cổ Lễ,xã,6,829,40163,18.33,Trụ sở Huyện uỷ - HĐND - UBND huyện Trực Ninh hiện nay,"Thị trấn Cổ Lễ, Xã Trung Đông, Xã Trực Tuấn",106.274,20.2968
tỉnh Ninh BÌnh,Cúc Phương,xã,6,764,865,132.68,Trụ sở xã Cúc Phương hiện nay,"Xã Văn Phương, Xã Cúc Phương",105.655,20.2978
