tentinh,tenxa,loai,matinh,maxa,danso,dientich_km2,trungtam_hc,truoc_sapnhap,kinhdo,vido
tỉnh Phú Thọ,An Bình,xã,12,1689,18952,127.41,Trụ sở xã Thống Nhất cũ,"Xã Hưng Thi, Xã Thống Nhất, Xã An Bình",105.704,20.4758
tỉnh Phú Thọ,An Nghĩa,xã,12,1660,27556,95.73,Trụ sở xã Phú Nghĩa cũ,"Thị trấn Ba Hàng Đồi, Xã Phú Nghĩa, Xã Phú Thành",105.712,20.5722
tỉnh Phú Thọ,Âu Cơ,phường,12,1580,18951,12.51,"Số 64 Bạch Đằng, phường Âu Cơ, tỉnh Phú Thọ (Trụ sở UBND thị xã Phú Thọ cũ)","Phường Thanh Vinh, Phường Âu Cơ, Xã Thanh Minh",105.201,21.394
tỉnh Phú Thọ,Bản Nguyên,xã,12,1586,33667,28.29,Trụ sở xã Cao Xá,"Xã Cao Xá, Xã Vĩnh Lại, Xã Bản Nguyên",105.34,21.281
tỉnh Phú Thọ,Bằng Luân,xã,12,1556,16932,59.77,Trụ sở UBND xã Bằng Doãn cũ,"Xã Bằng Doãn, Xã Phúc Lai, Xã Bằng Luân",105.063,21.6467
tỉnh Phú Thọ,Bao La,xã,12,1701,12409,104.27,Trụ sở UBND xã Bao La,"Xã Mai Hịch, Xã Xăm Khòe, Xã Bao La",104.977,20.6491
tỉnh Phú Thọ,Bình Nguyên,xã,12,1643,46425,30.6,"DT305, xã Bình Nguyên, tỉnh Phú Thọ (Trụ sở UBND huyện Bình Xuyên cũ)","Thị trấn Hương Canh, Xã Tam Hợp, Xã Quất Lưu, Xã Sơn Lôi",105.66,21.278
tỉnh Phú Thọ,Bình Phú,xã,12,1604,29649,28.28,Trụ sở UBND xã Bình Phú,"Xã Tiên Du, Xã An Đạo, Xã Bình Phú",105.367,21.4133
tỉnh Phú Thọ,Bình Tuyền,xã,12,1642,29926,58.5,Trụ sở thị trấn Bá Hiến cũ,"Thị trấn Bá Hiến, Xã Trung Mỹ",105.692,21.3725
tỉnh Phú Thọ,Bình Xuyên,xã,12,1641,32534,29.5,"Thôn Chân Sơn, xã Bình Xuyên, tỉnh Phú Thọ (Trụ sở xã Hương Sơn cũ)","Thị trấn Gia Khánh, Xã Hương Sơn, Xã Thiện Kế",105.648,21.3224
tỉnh Phú Thọ,Cẩm Khê,xã,12,1579,47059,50.44,Trụ sở Huyện ủy Cẩm Khê cũ,"Thị trấn Cẩm Khê, Xã Minh Tân, Xã Phong Thịnh",105.096,21.4291
tỉnh Phú Thọ,Cao Dương,xã,12,1662,36783,113.38,Trụ sở UBND xã Thanh Cao cũ,"Xã Thanh Cao, Xã Thanh Sơn, Xã Cao Dương",105.634,20.6962
tỉnh Phú Thọ,Cao Phong,xã,12,1671,20327,77.76,"Khu 2, xã Cao Phong (trụ sở HĐND - UBND huyện Cao Phong cũ)","Thị trấn Cao Phong, Xã Hợp Phong, Xã Thu Phong",105.362,20.7017
tỉnh Phú Thọ,Cao Sơn,xã,12,1691,8872,124.93,"Trụ sở chính đặt tại xã Cao Sơn, sử dụng trụ sở xã Tân Minh","Xã Tân Minh, Xã Cao Sơn (huyện Đà Bắc)",105.152,20.8921
tỉnh Phú Thọ,Chân Mộng,xã,12,1559,38565,89.85,Trụ sở UBND xã Tiêu Sơn cũ,"Xã Hùng Long, Xã Yên Kiện, Xã Chân Mộng",105.211,21.5603
tỉnh Phú Thọ,Chí Đám,xã,12,1557,28005,49.36,Trụ sở UBND xã Chí Đám trước sáp nhập,"Xã Hùng Xuyên, Xã Chí Đám",105.161,21.6724
tỉnh Phú Thọ,Chí Tiên,xã,12,1593,17550,23.75,Trụ sở UBND xã Thanh Hà cũ,"Xã Sơn Cương, Xã Thanh Hà, Xã Chí Tiên",105.164,21.4234
tỉnh Phú Thọ,Cự Đồng,xã,12,1591,14988,45.77,Trụ sở xã Cự Đồng,"Xã Tất Thắng, Xã Thắng Sơn, Xã Cự Đồng",105.238,21.1086
tỉnh Phú Thọ,Đà Bắc,xã,12,1695,19834,136.8,Trụ sở UBND huyện Đà Bắc cũ,"Thị trấn Đà Bắc, Xã Hiền Lương (huyện Đà Bắc), Xã Toàn Sơn, Xã Tú Lý",105.251,20.8729
