tentinh,tenxa,loai,matinh,maxa,danso,dientich_km2,trungtam_hc,truoc_sapnhap,kinhdo,vido
tỉnh Quảng Ngãi,An Phú,xã,22,1809,49051,34.7,UBND xã Nghĩa Dũng,"Xã Nghĩa Hà, Xã Nghĩa Dõng, Xã Nghĩa Dũng, Xã An Phú",108.863,15.1217
tỉnh Quảng Ngãi,Ba Dinh,xã,22,1794,7257,97.05,UBND xã Ba Dinh,"Xã Ba Giang, Xã Ba Dinh",108.677,14.7514
tỉnh Quảng Ngãi,Ba Động,xã,22,1793,7688,103.01,UBND xã Ba Động,"Xã Ba Liên, Xã Ba Thành, Xã Ba Động",108.784,14.8258
tỉnh Quảng Ngãi,Ba Gia,xã,22,1763,21511,66.14,đang cập nhật,"Xã Tịnh Bắc, Xã Tịnh Hiệp, Xã Tịnh Trà",108.669,15.2167
tỉnh Quảng Ngãi,Ba Tô,xã,22,1798,9555,274.4, UBND xã Ba Tô,"Xã Ba Lế, Xã Ba Nam, Xã Ba Tô",108.66,14.6471
tỉnh Quảng Ngãi,Ba Tơ,xã,22,1791,12263,120.91,Văn phòng HĐND và UBND huyện Ba Tơ (cũ),"Thị trấn Ba Tơ, Xã Ba Cung, Xã Ba Bích",108.737,14.7394
tỉnh Quảng Ngãi,Ba Vì,xã,22,1796,11372,125.4,UBND xã Ba Vì,"Xã Ba Tiêu, Xã Ba Ngạc, Xã Ba Vì",108.553,14.7462
tỉnh Quảng Ngãi,Ba Vinh,xã,22,1792,6425,115,UBND xã Ba Vinh,"Xã Ba Điền, Xã Ba Vinh",108.678,14.844
tỉnh Quảng Ngãi,Ba Xa,xã,22,1800,5452,102.79,UBND xã Ba Xa,Không sáp nhập,108.553,14.6397
tỉnh Quảng Ngãi,Bình Chương,xã,22,1769,16565,30.79,UBND xã Bình Chương,"Xã Bình Mỹ, Xã Bình Chương",108.721,15.2644
tỉnh Quảng Ngãi,Bình Minh,xã,22,1768,83354,36.7,UBND xã Bình Minh,"Xã Bình Khương, Xã Bình An, Xã Bình Minh",108.652,15.3139
tỉnh Quảng Ngãi,Bình Sơn,xã,22,1753,61517,281.7,Trung tâm hành chính huyện Bình Sơn (cũ),"Thị trấn Châu Ổ, Xã Bình Thạnh, Xã Bình Chánh, Xã Bình Dương, Xã Bình Nguyên, Xã Bình Trung, Xã Bình Long",108.746,15.3313
tỉnh Quảng Ngãi,Bờ Y,xã,22,453,35375,242.11, Thị trấn Plei Kần (cũ),"Thị trấn Plei Kần, Xã Đăk Xú, Xã Pờ Y",107.609,14.7068
tỉnh Quảng Ngãi,Cà Đam,xã,22,1774,4336,112.35,UBND xã Trà Tân,"Xã Trà Tân, Xã Trà Bùi",108.526,15.1687
tỉnh Quảng Ngãi,Cẩm Thành,phường,22,1795,60996,7.93,Thành ủy Quảng Ngãi,"Phường Nguyễn Nghiêm, Phường Trần Hưng Đạo (thành phố Quảng Ngãi), Phường Nghĩa Chánh, Phường Chánh Lộ",108.812,15.1135
tỉnh Quảng Ngãi,Đăk Bla,phường,22,554,đang cập nhật,14.9847,đang cập nhật,"Phường Trần Hưng Đạo (thành phố Kon Tum), Lê Lợi, Nguyễn Trãi",107.987,14.323
tỉnh Quảng Ngãi,Đăk Cấm,phường,22,1747,29799,66.33,đang cập nhật,"Phường Ngô Mây, Phường Duy Tân, Xã Đăk Cấm",107.99,14.4041
tỉnh Quảng Ngãi,Đăk Hà,xã,22,559,36087,104.08,Thị trấn Đăk Hà,"Thị trấn Đăk Hà, Xã Hà Mòn, Xã Đăk La",107.928,14.4633
tỉnh Quảng Ngãi,Đăk Kôi,xã,22,1745,595,450.48,Xã Đăk Tơ Lung,"Xã Đăk Tơ Lung, Xã Đăk Kôi",108.152,14.6275
tỉnh Quảng Ngãi,Đăk Long,xã,22,444,5193,280.5,Xã Đăk Long,Không sáp nhập,107.574,14.9649
tỉnh Quảng Ngãi,Đăk Mar,xã,22,558,19599,112.79,đang cập nhật,"Xã Đăk Hring, Xã Đăk Mar",107.924,14.5739
tỉnh Quảng Ngãi,Đăk Môn,xã,22,445,13685,150.8,đang cập nhật,"Xã Đăk Kroong, Xã Đăk Môn",107.69,14.9516
tỉnh Quảng Ngãi,Đăk Pék,xã,22,562,17434,182.72,Thị trấn Đăk Glei (cũ),"Thị trấn Đăk Glei, Xã Đăk Pék",107.743,15.0668
tỉnh Quảng Ngãi,Đăk Plô,xã,22,561,5629,433.41,đang cập nhật,"Xã Đăk Nhoong, Xã Đăk Man, Xã Đăk Plô",107.669,15.21
tỉnh Quảng Ngãi,Đăk Pxi,xã,22,451,11194,325.35,Xã Đăk Long,"Xã Đăk Long (thuộc huyện Đăk Hà), Xã Đăk Pxi",108.005,14.719
tỉnh Quảng Ngãi,Đăk Rơ Wa,xã,22,557,25221,157.98,Xã Chư Hreng,"Xã Hòa Bình, Xã Chư Hreng, Xã Đăk Blà, Xã Đăk Rơ Wa",108.021,14.3119
tỉnh Quảng Ngãi,Đăk Rve,xã,22,1748,8184,212.54,Thị trấn Đăk Rve (cũ),"Thị trấn Đăk Rve, Xã Đăk Pne",108.29,14.4925
tỉnh Quảng Ngãi,Đăk Sao,xã,22,447,6676,172.29,Xã Đăk Sao,"Xã Đăk Na, Xã Đăk Sao",107.836,14.9425
tỉnh Quảng Ngãi,Đăk Tô,xã,22,455,35216,218.38,đang cập nhật,"Thị trấn Đăk Tô, Xã Tân Cảnh, Xã Pô Kô, Xã Diên Bình",107.824,14.6189
tỉnh Quảng Ngãi,Đăk Tờ Kan,xã,22,448,8921,131.84,Xã Đăk Hà,"Xã Đăk Rơ Ông, Xã Đăk Tờ Kan",107.872,14.8492
tỉnh Quảng Ngãi,Đăk Ui,xã,22,452,12077,132.52, Xã Đăk Ngọk,"Xã Đăk Ngọk, Xã Đăk Ui",108.009,14.5862
tỉnh Quảng Ngãi,Đặng Thùy Trâm,xã,22,1797,4494,199.4,UBND xã Ba Trang,"Xã Ba Trang, Xã Ba Khâm",108.871,14.7441
tỉnh Quảng Ngãi,Đình Cương,xã,22,1779,36083,53.96,UBND xã Hành Phước,"Xã Hành Đức, Xã Hành Phước, Xã Hành Thịnh",108.811,14.9985
tỉnh Quảng Ngãi,Đông Sơn,xã,22,1810,56334,115.83,UBND xã Bình Tân Phú,"Xã Bình Hiệp, Xã Bình Thanh, Xã Bình Tân Phú, Xã Bình Châu, Xã Tịnh Hòa",108.851,15.2417
tỉnh Quảng Ngãi,Đông Trà Bồng,xã,22,1767,11197,74.83,UBND xã Trà Bình,"Xã Trà Bình, Xã Trà Phú, Xã Trà Giang",108.584,15.2748
tỉnh Quảng Ngãi,Dục Nông,xã,22,446,15771,321.99,Xã Đăk Dục,"Xã Đăk Ang, Xã Đăk Dục, Xã Đăk Nông",107.65,14.8213
tỉnh Quảng Ngãi,Đức Phổ,phường,22,1813,41358,69.33,UBND thị xã Đức Phổ,"Phường Nguyễn Nghiêm (thị xã Đức Phổ), Phổ Hòa, Phổ Minh, Phổ Vinh, Phổ Ninh",108.959,14.8008
tỉnh Quảng Ngãi,Ia Chim,xã,22,556,21142,115.49,Xã Ia Chim,"Xã Đoàn Kết, Xã Đăk Năng, Xã Ia Chim",107.914,14.3156
tỉnh Quảng Ngãi,Ia Đal,xã,22,474,5069,218.11, Xã Ia Đal ,Không sáp nhập,107.403,14.1031
tỉnh Quảng Ngãi,Ia Tơi,xã,22,488,721,762.1,Xã Ia Tơi,"Xã Ia Dom, Xã Ia Tơi",107.528,14.1556
tỉnh Quảng Ngãi,Khánh Cường,xã,22,1790,28964,103.98,UBND xã Phổ Cường,"Xã Phổ Khánh, Xã Phổ Cường",109.007,14.7293
tỉnh Quảng Ngãi,Kon Braih,xã,22,1749,18373,250.89,Xã Tân Lập,"Xã Đăk Tờ Re, Xã Đăk Ruồng, Xã Tân Lập",108.163,14.4325
tỉnh Quảng Ngãi,Kon Đào,xã,22,450,1334,129.34,Xã Đăk Trăm,"Xã Văn Lem, Xã Đăk Trăm, Xã Kon Đào",107.865,14.7452
tỉnh Quảng Ngãi,Kon Plông,xã,22,1743,9334,556.8,Xã Hiếu,"Xã Ngọk Tem, Xã Hiếu, Xã Pờ Ê",108.415,14.7211
tỉnh Quảng Ngãi,Kon Tum,phường,22,1746,77456,19.14,Phường Thắng Lợi,"Phường Quang Trung, Phường Quyết Thắng, Phường Thắng Lợi, Phường Trường Chinh, Phường Thống Nhất",108.013,14.3545
tỉnh Quảng Ngãi,Lân Phong,xã,22,1787,36123,57.01,UBND xã Đức Phong,"Xã Đức Phong, Xã Đức Lân",108.907,14.9156
tỉnh Quảng Ngãi,Long Phụng,xã,22,1777,39973,36.1,UBND xã Đức Nhuận,"Xã Thắng Lợi, Xã Đức Nhuận, Xã Đức Hiệp",108.879,15.0376
tỉnh Quảng Ngãi,Lý Sơn,đặc khu,22,3310,22000,10.39,Trung tâm hành chính huyện Lý Sơn (cũ),Huyện Lý Sơn,109.118,15.3818
tỉnh Quảng Ngãi,Măng Bút,xã,22,1742,91,417.53,đang cập nhật,"Xã Đăk Nên, Xã Đăk Ring, Xã Măng Bút",108.22,14.9131
tỉnh Quảng Ngãi,Măng Đen,xã,22,1744,9438,396.93, Thị trấn Măng Đen (cũ),"Thị trấn Măng Đen, Xã Măng Cành, Xã Đăk Tăng",108.278,14.6806
