tentinh,tenxa,loai,matinh,maxa,danso,dientich_km2,trungtam_hc,truoc_sapnhap,kinhdo,vido
tỉnh Quảng Ninh,An Sinh,phường,3,1914,24956,106.42,"Trụ sở Đảng ủy, HĐND, UBND phường Bình Dương","Phường Bình Dương, Xã An Sinh, Xã Việt Dân, Phường Đức Chính",106.521,21.1533
tỉnh Quảng Ninh,Ba Chẽ,xã,3,1896,17504,332.68,Trụ sở Huyện ủy Ba Chẽ,"Thị trấn Ba Chẽ, Xã Thanh Sơn, Xã Nam Sơn, Xã Đồn Đạc, Xã Hải Lạng",107.252,21.2527
tỉnh Quảng Ninh,Bãi Cháy,phường,3,1883,42018,25.39,"Trụ sở Đảng ủy, HĐND, UBND phường Bãi Cháy","Phường Hùng Thắng, Phường Bãi Cháy",107.032,20.962
tỉnh Quảng Ninh,Bình Khê,phường,3,1874,21845,138.74,"Trụ sở Đảng ủy, HĐND, UBND phường Bình Khê","Phường Tràng An, Phường Bình Khê, Xã Tràng Lương",106.626,21.1294
tỉnh Quảng Ninh,Bình Liêu,xã,3,1889,16220,225.29,"Trụ sở Đảng ủy, HĐND, UBND huyện Bình Liêu","Thị trấn Bình Liêu, Xã Húc Động, Xã Vô Ngại",107.387,21.5172
tỉnh Quảng Ninh,Cái Chiên,xã,3,3315,752,25.9,"Trụ sở Đảng ủy, HĐND, UBND xã Cái Chiên",Không sáp nhập,107.764,21.324
tỉnh Quảng Ninh,Cẩm Phả,phường,3,1887,61506,17.52,"Thành ủy, HĐND, UBND thành phố Cẩm Phả","Phường Cẩm Trung, Phường Cẩm Thành, Phường Cẩm Bình, Phường Cẩm Tây, Phường Cẩm Đông",107.288,21.0186
tỉnh Quảng Ninh,Cao Xanh,phường,3,1894,32809,38.89,"Trụ sở Đảng ủy, HĐND, UBND phường Cao Xanh","Phường Hà Khánh, Phường Cao Xanh",107.149,21.0152
tỉnh Quảng Ninh,Cô Tô,đặc khu,3,3308,5151,53.68,"Trụ sở Huyện ủy, HĐND, UBND huyện Cô Tô","Thị trấn Cô Tô, Xã Đồng Tiến, Xã Thanh Lân",107.757,20.9902
tỉnh Quảng Ninh,Cửa Ông,phường,3,1888,66504,41.07,"Trụ sở Đảng ủy, HĐND, UBND phường Cẩm Sơn","Phường Cẩm Phú, Phường Cẩm Thịnh, Phường Cẩm Sơn, Phường Cửa Ông",107.335,21.0164
