tentinh,tenxa,loai,matinh,maxa,danso,dientich_km2,trungtam_hc,truoc_sapnhap,kinhdo,vido
tỉnh Quảng Trị,A Dơi,xã,19,596,11058,112.41,UBND xã A Dơi (cũ),"Xã Ba Tầng, Xã Xy, Xã A Dơi",106.77,16.4953
tỉnh Quảng Trị,Ái Tử,xã,19,569,19061,116.74,UBND xã Triệu Giang (cũ),"Xã Triệu Ái, Xã Triệu Giang, Xã Triệu Long",107.09,16.7446
tỉnh Quảng Trị,Ba Đồn,phường,19,615,28805,20.45,UBND thị xã Ba Đồn (cũ),"Phường Quảng Phong, Phường Quảng Long, Phường Ba Đồn, Xã Quảng Hải",106.418,17.7687
tỉnh Quảng Trị,Ba Lòng,xã,19,579,5151,210.58,UBND xã Triệu Nguyên (cũ),"Xã Triệu Nguyên, Xã Ba Lòng",107.017,16.6266
tỉnh Quảng Trị,Bắc Gianh,phường,19,620,32800,31.14,UBND phường Quảng Thọ (cũ),"Phường Quảng Phúc, Phường Quảng Thọ, Phường Quảng Thuận",106.455,17.7364
tỉnh Quảng Trị,Bắc Trạch,xã,19,625,36861,97.61,UBND xã Bắc Trạch (cũ),"Xã Thanh Trạch, Xã Hạ Mỹ, Xã Liên Trạch, Xã Bắc Trạch",106.43,17.6789
tỉnh Quảng Trị,Bến Hải,xã,19,585,16052,54.77,UBND xã Trung Hải (cũ),"Xã Trung Hải, Xã Trung Giang, Xã Trung Sơn",107.012,16.9627
tỉnh Quảng Trị,Bến Quan,xã,19,566,9447,278.99,UBND thị trấn Bến Quan (cũ),"Thị trấn Bến Quan, Xã Vĩnh Ô, Xã Vĩnh Hà, Xã Vĩnh Khê",106.843,16.9665
tỉnh Quảng Trị,Bố Trạch,xã,19,626,33230,299.42,UBND xã Cự Nẫm (cũ),"Xã Hưng Trạch, Xã Cự Nẫm, Xã Vạn Trạch, Xã Phú Định",106.411,17.5385
tỉnh Quảng Trị,Cam Hồng,xã,19,636,26663,87.89,UBND xã Ngư Thủy Bắc (cũ),"Xã Cam Thủy (huyện Lệ Thủy), Xã Thanh Thủy, Xã Hồng Thủy, Xã Ngư Thủy Bắc",106.798,17.2723
tỉnh Quảng Trị,Cam Lộ,xã,19,571,30111,166.85,UBND huyện Cam Lộ (cũ),"Thị trấn Cam Lộ, Xã Cam Thành, Xã Cam Chính, Xã Cam Nghĩa",106.949,16.7517
tỉnh Quảng Trị,Cồn Cỏ,đặc khu,19,3324,139,2.3,UBND huyện đảo Cồn Cỏ (cũ),Huyện Cồn Cỏ,107.339,17.1588
tỉnh Quảng Trị,Cồn Tiên,xã,19,576,20907,268.58,đang cập nhật,"Xã Hải Thái, Xã Linh Trường, Xã Gio An, Xã Gio Sơn",106.974,16.9036
tỉnh Quảng Trị,Cửa Tùng,xã,19,586,29398,59.83,UBND thị trấn Cửa Tùng (cũ),"Thị trấn Cửa Tùng, Xã Vĩnh Giang, Xã Hiền Thành, Xã Kim Thạch",107.085,17.0447
tỉnh Quảng Trị,Cửa Việt,xã,19,598,27143,50.83,UBND thị trấn Cửa Việt (cũ),"Thị trấn Cửa Việt, Xã Gio Mai, Xã Gio Hải",107.144,16.9061
tỉnh Quảng Trị,Đakrông,xã,19,578,14627,359.29,UBND xã Đakrông (cũ) và Chi cục QLTT huyện Đakrông (cũ),"Xã Ba Nang, Xã Tà Long, Xã Đakrông",106.903,16.5801
tỉnh Quảng Trị,Dân Hóa,xã,19,604,9532,365,đang cập nhật,"Xã Trọng Hóa, Xã Dân Hóa",105.735,17.8259
tỉnh Quảng Trị,Diên Sanh,xã,19,582,25133,87.97,UBND thị trấn Hải Lăng (cũ),"Thị trấn Diên Sanh, Xã Hải Trường, Xã Hải Định",107.257,16.6719
tỉnh Quảng Trị,Đông Hà,phường,19,572,50915,38.05,UBND phường 3 và phường Đông Thanh (cũ),"Phường 1 (thành phố Đông Hà), Phường 3 (thành phố Đông Hà), Phường 4, Phường Đông Giang, Phường Đông Thanh",107.071,16.802
tỉnh Quảng Trị,Đồng Hới,phường,19,600,84196,41.35,UBND TP Đồng Hới (cũ),"Phường Đức Ninh Đông, Phường Đồng Hải, Phường Đồng Phú, Phường Phú Hải, Phường Hải Thành, Phường Nam Lý, Xã Bảo Ninh, Xã Đức Ninh",106.632,17.4522
tỉnh Quảng Trị,Đồng Lê,xã,19,608,24533,291.93,UBND thị trấn Đồng Lê (cũ),"Thị trấn Đồng Lê, Xã Kim Hóa, Xã Lê Hóa, Xã Thuận Hóa, Xã Sơn Hóa",105.991,17.9452
tỉnh Quảng Trị,Đồng Sơn,phường,19,602,32396,88.03,UBND phường Đồng Sơn (cũ),"Phường Bắc Nghĩa, Phường Đồng Sơn, Xã Nghĩa Ninh, Xã Thuận Đức",106.549,17.4296
tỉnh Quảng Trị,Đồng Thuận,phường,19,601,38521,26.49,UBND phường Bắc Lý (cũ),"Phường Bắc Lý, Xã Lộc Ninh, Xã Quang Phú",106.59,17.4958
tỉnh Quảng Trị,Đông Trạch,xã,19,628,34174,,đang cập nhật,"Xã Hải Phú (huyện Bố Trạch), Xã Sơn Lộc, Xã Đức Trạch, Xã Đồng Trạch",106.491,17.637
