tentinh,tenxa,loai,matinh,maxa,danso,dientich_km2,trungtam_hc,truoc_sapnhap,kinhdo,vido
tỉnh Sơn La,Bắc Yên,xã,15,1374,21825,195.23,"Tiểu khu 3, xã Bắc Yên, tỉnh Sơn La","Thị trấn Bắc Yên, Xã Phiêng Ban, Xã Hồng Ngài, Xã Song Pe",104.439,21.2069
tỉnh Sơn La,Bình Thuận,xã,15,1318,17128,121.78,"Bản Kiến Xương, xã Bình Thuận, tỉnh Sơn La","Xã Phổng Lái, Xã Chiềng Pha",103.604,21.5671
tỉnh Sơn La,Bó Sinh,xã,15,1412,16461,153.83,"Bản Phống 2, xã Bó Sinh, tỉnh Sơn La","Xã Pú Bẩu, Xã Chiềng En, Xã Bó Sinh",103.49,21.2218
tỉnh Sơn La,Chiềng An,phường,15,1311,20322,149.08,"Bản Bó, phường Chiềng An, tỉnh Sơn La.","Phường Chiềng An, Xã Chiềng Xôm, Xã Chiềng Đen",103.895,21.3856
tỉnh Sơn La,Chiềng Cơi,phường,15,1310,22694,93.56,"Số 55, đường Hoàng Quốc Việt, phường Chiềng Cơi, tỉnh Sơn La.","Phường Chiềng Cơi, Xã Hua La, Xã Chiềng Cọ",103.876,21.2976
tỉnh Sơn La,Chiềng Hặc,xã,15,1399,18721,239.91,"Bản Suối Sét, xã Chiềng Hặc, tỉnh Sơn La","Xã Tú Nang, Xã Mường Lựm, Xã Chiềng Hặc",104.433,20.9898
tỉnh Sơn La,Chiềng Hoa,xã,15,1373,17644,296.48,"Bản Tả, xã Chiềng Hoa, tỉnh Sơn La","Xã Chiềng Ân, Xã Chiềng Công, Xã Chiềng Hoa",104.204,21.4603
tỉnh Sơn La,Chiềng Khoong,xã,15,1416,23222,253.87,"Bản Lướt, xã Chiềng Khoong, tỉnh Sơn La","Xã Mường Cai, Xã Chiềng Khoong",103.767,20.9598
tỉnh Sơn La,Chiềng Khương,xã,15,1419,18712,149.82,"Bản Hưng Hà, xã Chiềng Khương, tỉnh Sơn La","Xã Mường Sai, Xã Chiềng Khương",103.987,20.9519
tỉnh Sơn La,Chiềng La,xã,15,1320,20373,126.13,"Bản Huổi Lọng, xã Chiềng La, tỉnh Sơn La","Xã Chiềng Ngàm, Xã Nong Lay, Xã Tông Cọ, Xã Chiềng La",103.754,21.4872
tỉnh Sơn La,Chiềng Lao,xã,15,1370,2101,358.55,"Nhập xã Nậm Giôn, xã Chiềng Lao và xã Hua Trai","Xã Nậm Giôn, Xã Hua Trai, Xã Chiềng Lao",103.904,21.636
tỉnh Sơn La,Chiềng Mai,xã,15,1406,23786,151.85,"Bản Ban, xã Chiềng Mai, tỉnh Sơn La","Xã Chiềng Ban, Xã Chiềng Kheo, Xã Chiềng Dong, Xã Chiềng Ve, Xã Chiềng Mai",103.977,21.1813
tỉnh Sơn La,Chiềng Mung,xã,15,1405,27797,142.14,"Bản Phát, xã Chiềng Mung, tỉnh Sơn La","Xã Mường Bằng, Xã Mường Bon, Xã Chiềng Mung",104.07,21.255
tỉnh Sơn La,Chiềng Sại,xã,15,1379,672,124.55,"Bản En, xã Chiềng Sại, tỉnh Sơn La","Xã Phiêng Côn, Xã Chiềng Sại",104.474,21.0745
tỉnh Sơn La,Chiềng Sinh,phường,15,1312,27099,68.4,"Điểm tiếp nhận tại trụ sở chính: Số 486, đường Lê Duẩn, Tổ 3, phường Chiềng Sinh, tỉnh Sơn La
Điểm tiếp nhận tại trụ sở UBND xã Chiềng Ngần (cũ): Bản Phường, phường Chiềng Sinh, tỉnh Sơn La","Phường Chiềng Sinh, Xã Chiềng Ngần",103.978,21.3052
tỉnh Sơn La,Chiềng Sơ,xã,15,1415,17145,140.31,"Bản Luấn, xã Chiềng Sơ, tỉnh Sơn La","Xã Yên Hưng, Xã Chiềng Sơ",103.597,21.1463
tỉnh Sơn La,Chiềng Sơn,xã,15,1389,14155,204.9,"Tiểu khu 4, xã Chiềng Sơn, tỉnh Sơn La","Xã Chiềng Xuân, Xã Chiềng Sơn",104.651,20.7236
tỉnh Sơn La,Chiềng Sung,xã,15,1403,14171,109.28,"Bản Nong Bình, xã Chiềng Sung, tỉnh Sơn La","Xã Chiềng Chăn, Xã Chiềng Sung",104.106,21.2962
tỉnh Sơn La,Co Mạ,xã,15,1366,1456,214.28,"Bản Co Mạ, xã Co Mạ, Tỉnh Sơn La","Xã Co Tòng, Xã Pá Lông, Xã Co Mạ",103.53,21.3251
tỉnh Sơn La,Đoàn Kết,xã,15,1388,17938,240.66,"Tiểu khu 3, xã Đoàn Kết, tỉnh Sơn La","Xã Chiềng Chung (thị xã Mộc Châu), Xã Đoàn Kết",104.735,20.948
