tentinh,tenxa,loai,matinh,maxa,danso,dientich_km2,trungtam_hc,truoc_sapnhap,kinhdo,vido
tỉnh Tây Ninh,An Lục Long,xã,27,1358,29485,33.75,đang cập nhật,"Xã Dương Xuân Hội, Xã Long Trì, Xã An Lục Long",106.462,10.4188
tỉnh Tây Ninh,An Ninh,xã,27,1353,40,68.81,đang cập nhật,"Xã Lộc Giang, Xã An Ninh Đông, Xã An Ninh Tây",106.313,10.9815
tỉnh Tây Ninh,An Tịnh,phường,27,2747,61212,78.44,đang cập nhật,"Phường Lộc Hưng, Phường An Tịnh",106.407,11.0572
tỉnh Tây Ninh,Bến Cầu,xã,27,2749,49228,112.02,đang cập nhật,"Thị trấn Bến Cầu, Xã An Thạnh (huyện Bến Cầu), Xã Tiên Thuận, Xã Lợi Thuận",106.195,11.1097
tỉnh Tây Ninh,Bến Lức,xã,27,1363,569,48.75,đang cập nhật,"Xã An Thạnh (huyện Bến Lức), Xã Thanh Phú, Thị trấn Bến Lức",106.483,10.6618
tỉnh Tây Ninh,Bình Đức,xã,27,1325,3511,51.2,đang cập nhật,"Xã Thạnh Đức (huyện Bến Lức), Xã Nhựt Chánh, Xã Bình Đức",106.456,10.622
tỉnh Tây Ninh,Bình Hiệp,xã,27,1302,2142,123.68,đang cập nhật,"Xã Thạnh Trị, Xã Bình Tân, Xã Bình Hòa Tây, Xã Bình Hiệp",105.958,10.8318
tỉnh Tây Ninh,Bình Hòa,xã,27,1304,56484,48.63,đang cập nhật,"Xã Bình Thạnh (huyện Mộc Hóa), Xã Bình Hòa Đông, Xã Bình Hòa Trung",106.029,10.776
tỉnh Tây Ninh,Bình Minh,phường,27,2768,34193,23.86,đang cập nhật,"Phường Ninh Sơn, Xã Tân Bình (thành phố Tây Ninh), Xã Bình Minh, Xã Thạnh Tân, Xã Suối Đá, Xã Phan",106.128,11.3841
tỉnh Tây Ninh,Bình Thành,xã,27,1345,32182,72.1,đang cập nhật,"Xã Tân Hiệp (huyện Thạnh Hóa), Xã Thuận Bình, Xã Bình Hòa Hưng",106.186,10.7554
tỉnh Tây Ninh,Cần Đước,xã,27,1308,50473,48.56,đang cập nhật,"Thị trấn Cần Đước, Xã Phước Tuy, Xã Tân Ân, Xã Tân Chánh",106.593,10.4898
tỉnh Tây Ninh,Cần Giuộc,xã,27,1339,77704,60.4,đang cập nhật,"Thị trấn Cần Giuộc, Xã Phước Lại, Xã Long Hậu",106.689,10.6154
tỉnh Tây Ninh,Cầu Khởi,xã,27,2760,25431,90.51,đang cập nhật,"Xã Phước Ninh, Xã Cầu Khởi, Xã Chà Là",106.241,11.3067
tỉnh Tây Ninh,Châu Thành,xã,27,2764,39104,47.71,đang cập nhật,"Thị trấn Châu Thành, Xã Đồng Khởi, Xã An Bình, Xã Thái Bình",106.048,11.3359
tỉnh Tây Ninh,Đông Thành,xã,27,1348,27169,130.94,đang cập nhật,"Thị trấn Đông Thành, Xã Mỹ Thạnh Tây, Xã Mỹ Thạnh Đông, Xã Mỹ Bình",106.246,10.8706
tỉnh Tây Ninh,Đức Hòa,xã,27,1352,49864,63.31,đang cập nhật,"Thị trấn Đức Hòa, Xã Hựu Thạnh, Xã Đức Hòa Hạ",106.45,10.7967
tỉnh Tây Ninh,Đức Huệ,xã,27,1350,2293,134.13,đang cập nhật,"Xã Bình Hòa Bắc, Xã Bình Hòa Nam, Xã Bình Thành",106.313,10.8072
tỉnh Tây Ninh,Đức Lập,xã,27,1360,31722,59.41,đang cập nhật,"Xã Đức Lập Hạ, Xã Mỹ Hạnh Bắc, Xã Đức Hòa Thượng",106.469,10.9
tỉnh Tây Ninh,Dương Minh Châu,xã,27,2769,35878,177.15,đang cập nhật,"Thị trấn Dương Minh Châu, Xã Phan, Xã Suối Đá, Xã Phước Minh",106.262,11.4016
tỉnh Tây Ninh,Gia Lộc,phường,27,2750,37354,50.26,đang cập nhật,"Xã Phước Đông (huyện Gò Dầu), Phường Gia Lộc",106.341,11.0977
tỉnh Tây Ninh,Gò Dầu,phường,27,2748,6634,43.09,đang cập nhật,"Phường Gia Bình, Thị trấn Gò Dầu, Xã Thanh Phước",106.298,11.0751
tỉnh Tây Ninh,Hảo Đước,xã,27,2767,32503,93.75,đang cập nhật,"Xã An Cơ, Xã Trí Bình, Xã Hảo Đước",105.993,11.3693
tỉnh Tây Ninh,Hậu Nghĩa,xã,27,1351,46745,66.48,đang cập nhật,"Thị trấn Hậu Nghĩa, Xã Đức Lập Thượng, Xã Tân Mỹ",106.399,10.9372
tỉnh Tây Ninh,Hậu Thạnh,xã,27,1343,19336,93.82,đang cập nhật,"Xã Hậu Thạnh Đông, Xã Hậu Thạnh Tây, Xã Bắc Hòa",105.868,10.6586
tỉnh Tây Ninh,Hiệp Hòa,xã,27,1354,đang cập nhật,54.9936,đang cập nhật,"Xã Tân Phú (huyện Đức Hòa), Xã Hiệp Hòa, Thị trấn Hiệp Hòa",106.345,10.9133
tỉnh Tây Ninh,Hòa Hội,xã,27,2765,36174,136.27,đang cập nhật,"Xã Biên Giới, Xã Hòa Thạnh, Xã Hòa Hội",105.923,11.3252
tỉnh Tây Ninh,Hòa Khánh,xã,27,1361,đang cập nhật,59.9321,đang cập nhật,"Xã Hòa Khánh Tây, Xã Hòa Khánh Nam, Xã Hòa Khánh Đông",106.393,10.85
