tentinh,tenxa,loai,matinh,maxa,danso,dientich_km2,trungtam_hc,truoc_sapnhap,kinhdo,vido
tỉnh Thái Nguyên,An Khánh,xã,10,1139,20104,45.09,"Trụ sở Đảng ủy, HĐND, UBND xã Cù Vân","Xã Cù Vân, Xã Hà Thượng, Xã An Khánh",105.722,21.6276
tỉnh Thái Nguyên,Ba Bể,xã,10,1104,11773,148.08,"Trụ sở Đảng ủy, HĐND, UBND xã Khang Ninh","Xã Cao Thượng, Xã Nam Mẫu, Xã Khang Ninh",105.627,22.4387
tỉnh Thái Nguyên,Bá Xuyên,phường,10,1146,20065,21.13,"Trụ sở Đảng ủy, HĐND, UBND xã Bá Xuyên","Phường Mỏ Chè, Phường Châu Sơn, Xã Bá Xuyên",105.806,21.4666
tỉnh Thái Nguyên,Bắc Kạn,phường,10,1194,25387,72,"Trụ sở Đảng ủy, HĐND, UBND Thành ủy - HĐND - UBND TP Bắc Kạn","Phường Sông Cầu, Phường Phùng Chí Kiên, Phường Xuất Hóa, Xã Nông Thượng",105.86,22.1085
tỉnh Thái Nguyên,Bách Quang,phường,10,1144,26668,35.02,"Trụ sở Đảng ủy, HĐND, UBND phường Bách Quang","Phường Lương Sơn, Phường Bách Quang, Xã Tân Quang",105.869,21.4954
tỉnh Thái Nguyên,Bạch Thông,xã,10,1212,8251,127.84,"Trụ sở Đảng ủy, HĐND, UBND xã Dương Phong","Xã Đồng Thắng, Xã Dương Phong, Xã Quang Thuận",105.719,22.1255
tỉnh Thái Nguyên,Bằng Thành,xã,10,1099,13984,208.22,"Trụ sở Đảng ủy, HĐND, UBND huyện Pác Nặm","Xã Bộc Bố, Xã Nhạn Môn, Xã Giáo Hiệu, Xã Bằng Thành",105.671,22.6576
tỉnh Thái Nguyên,Bằng Vân,xã,10,1112,5643,133.01,"Trụ sở Đảng ủy, HĐND, UBND xã Bằng Vân","Xã Thượng Ân, Xã Bằng Vân",106.052,22.508
tỉnh Thái Nguyên,Bình Thành,xã,10,1161,32182,72.1,"Trụ sở Đảng ủy, HĐND, UBND xã Bình Thành","Xã Sơn Phú, Xã Bình Thành",105.571,21.7878
tỉnh Thái Nguyên,Bình Yên,xã,10,1142,16106,48.36,"Trụ sở Đảng ủy, HĐND, UBND xã Bình Yên","Xã Trung Lương, Xã Định Biên, Xã Thanh Định, Xã Bình Yên",105.573,21.8597
tỉnh Thái Nguyên,Cẩm Giàng,xã,10,1117,11342,110.79,"Trụ sở Đảng ủy, HĐND, UBND xã Cẩm Giàng","Xã Quân Hà, Xã Nguyên Phúc, Xã Mỹ Thanh, Xã Cẩm Giàng",105.895,22.1881
tỉnh Thái Nguyên,Cao Minh,xã,10,1100,12807,134.89,"Trụ sở Đảng ủy, HĐND, UBND xã Cổ Linh","Xã Công Bằng, Xã Cổ Linh, Xã Cao Tân",105.645,22.5405
tỉnh Thái Nguyên,Chợ Đồn,xã,10,1118,16252,142.1,"Trụ sở Đảng ủy, HĐND, UBND xã Chợ Đồn","Thị trấn Bằng Lũng, Xã Ngọc Phái, Xã Phương Viên, Xã Bằng Lãng",105.595,22.1731
tỉnh Thái Nguyên,Chợ Mới,xã,10,1196,80832,50.43,"Trụ sở Đảng ủy, HĐND, UBND huyện Chợ Mới","Thị trấn Đồng Tâm, Xã Quảng Chu, Xã Như Cố",105.823,21.8769
tỉnh Thái Nguyên,Chợ Rã,xã,10,1102,14507,92.81,"Trụ sở Đảng ủy, HĐND, UBND huyện Ba Bể","Thị trấn Chợ Rã, Xã Thượng Giáo, Xã Địa Linh",105.726,22.4395
tỉnh Thái Nguyên,Côn Minh,xã,10,1203,6635,146.26,"Trụ sở Đảng ủy, HĐND, UBND xã Quang Phong","Xã Quang Phong, Xã Dương Sơn, Xã Côn Minh",106.025,22.1038
tỉnh Thái Nguyên,Cường Lợi,xã,10,1202,5731,117.85,"Trụ sở Đảng ủy, HĐND, UBND xã Cường Lợi","Xã Văn Vũ, Xã Cường Lợi",106.173,22.3151
tỉnh Thái Nguyên,Đại Phúc,xã,10,1128,3922,107.47,"Trụ sở Đảng ủy, HĐND, UBND xã Phúc Xuân","Thị trấn Hùng Sơn, Xã Phúc Xuân, Xã Phúc Trìu, Xã Tân Thái, Xã Phúc Tân",105.709,21.5765
tỉnh Thái Nguyên,Đại Từ,xã,10,1138,27021,69.42,"Trụ sở Đảng ủy, HĐND, UBND xã Bình Thuận","Xã Bình Thuận, Xã Khôi Kỳ, Xã Mỹ Yên, Xã Lục Ba",105.615,21.6069
