tentinh,tenxa,loai,matinh,maxa,danso,dientich_km2,trungtam_hc,truoc_sapnhap,kinhdo,vido
tỉnh Thanh Hóa,An Nông,xã,16,2689,"28,717",22.79,Xã Nông Trường,"Xã Tiến Nông, Xã Khuyến Nông, Xã Nông Trường, Xã An Nông",105.637,19.7943
tỉnh Thanh Hóa,Ba Đình,xã,16,2660,20696,27.22,Trụ sở xã Nga Trường,"Xã Nga Vịnh, Xã Nga Trường, Xã Nga Thiện, Xã Ba Đình",105.954,20.0327
tỉnh Thanh Hóa,Bá Thước,xã,16,2665,21442,106.1,Huyện Bá Thước,"Thị trấn Cành Nàng, Xã Ban Công, Xã Hạ Trung",105.229,20.3797
tỉnh Thanh Hóa,Bát Mọt,xã,16,2607,4174,205.72,Xã Bát Mọt,Không sáp nhập,105.018,20.014
tỉnh Thanh Hóa,Biện Thượng,xã,16,2632,31917,65.4,"Trụ sở xã Vĩnh Minh (đảng ủy, đoàn thể); Trụ sở xã Minh Tân (chính quyền)","Xã Vĩnh Hùng, Xã Minh Tân, Xã Vĩnh Thịnh, Xã Vĩnh An",105.722,20.0184
tỉnh Thanh Hóa,Bỉm Sơn,phường,16,2656,45997,51.84,Trụ sở thị xã Bỉm Sơn,"Phường Đông Sơn, Phường Lam Sơn, Phường Ba Đình (thị xã Bỉm Sơn), Xã Hà Vinh",105.912,20.074
tỉnh Thanh Hóa,Các Sơn,xã,16,2573,21462,46.88,Trụ sở xã Các Sơn,"Xã Anh Sơn, Xã Các Sơn",105.718,19.5146
tỉnh Thanh Hóa,Cẩm Tân,xã,16,2664,21084,66.63,Xã Cẩm Tân,"Xã Cẩm Long, Xã Cẩm Phú, Xã Cẩm Tân",105.558,20.1551
tỉnh Thanh Hóa,Cẩm Thạch,xã,16,2673,31878,106.64,Xã Cẩm Thạch,"Xã Cẩm Thành, Xã Cẩm Liên, Xã Cẩm Bình, Xã Cẩm Thạch",105.384,20.206
tỉnh Thanh Hóa,Cẩm Thủy,xã,16,2661,30525,64.42,Huyện Cẩm Thủy,"Thị trấn Phong Sơn, Xã Cẩm Ngọc",105.498,20.2084
tỉnh Thanh Hóa,Cẩm Tú,xã,16,2662,26049,98.09,Xã Cẩm Giang,"Xã Cẩm Quý, Xã Cẩm Giang, Xã Cẩm Lương, Xã Cẩm Tú",105.441,20.2781
tỉnh Thanh Hóa,Cẩm Vân,xã,16,2663,22794,88.71,Xã Cẩm Tâm,"Xã Cẩm Tâm, Xã Cẩm Châu, Xã Cẩm Yên, Xã Cẩm Vân",105.484,20.1347
tỉnh Thanh Hóa,Cổ Lũng,xã,16,2671,9726,127.05,Xã Lũng Cao,"Xã Lũng Cao, Xã Cổ Lũng",105.185,20.4865
tỉnh Thanh Hóa,Công Chính,xã,16,2574,29201,54.24,Trụ sở xã Công Liêm,"Xã Công Liêm, Xã Yên Mỹ, Xã Công Chính, Xã Thanh Tân",105.668,19.5352
tỉnh Thanh Hóa,Đào Duy Từ,phường,16,2570,26206,42.86,đang cập nhật,"Phường Nguyên Bình, Phường Xuân Lâm",105.737,19.4387
tỉnh Thanh Hóa,Điền Lư,xã,16,2668,21015,66.54,Xã Điền Lư,"Xã Ái Thượng, Xã Điền Trung, Xã Điền Lư",105.315,20.291
tỉnh Thanh Hóa,Điền Quang,xã,16,2666,16611,103.67,Xã Điền Quang,"Xã Điền Thượng, Xã Điền Hạ, Xã Điền Quang",105.275,20.2472
tỉnh Thanh Hóa,Định Hòa,xã,16,2634,28413,37.71,Trụ sở xã Định Hòa,"Xã Định Bình, Xã Định Công, Xã Định Thành, Xã Định Hòa, Xã Thiệu Long",105.678,19.9583
tỉnh Thanh Hóa,Định Tân,xã,16,2635,28406,30.67,Trụ sở xã Định Tân,"Xã Định Hải (huyện Yên Định), Xã Định Hưng, Xã Định Tiến, Xã Định Tân",105.689,19.9881
tỉnh Thanh Hóa,Đồng Lương,xã,16,2740,11875,76.1,Xã Đồng Lương,"Xã Tân Phúc (huyện Lang Chánh), Xã Đồng Lương",105.221,20.1879
