tentinh,tenxa,loai,matinh,maxa,danso,dientich_km2,trungtam_hc,truoc_sapnhap,kinhdo,vido
tỉnh Tuyên Quang,An Tường,phường,8,2369,42952,53.44,đang cập nhật,"Phường Hưng Thành, Phường An Tường, Xã Lưỡng Vượng, Xã An Khang, Xã Hoàng Khai",105.22,21.7746
tỉnh Tuyên Quang,Bắc Mê,xã,8,2419,13043,154.3,đang cập nhật,"Thị trấn Yên Phú, Xã Yên Phong, Xã Lạc Nông",105.33,22.7505
tỉnh Tuyên Quang,Bắc Quang,xã,8,2433,33644,141.93,đang cập nhật,"Thị trấn Việt Quang, Xã Quang Minh, Xã Việt Vinh",104.845,22.4245
tỉnh Tuyên Quang,Bạch Đích,xã,8,2398,12747,95.17,đang cập nhật,"Xã Phú Lũng, Xã Na Khê, Xã Bạch Đích",105.03,23.1838
tỉnh Tuyên Quang,Bạch Ngọc,xã,8,2443,29021,72.2,đang cập nhật,"Xã Ngọc Minh, Xã Bạch Ngọc",105.081,22.5885
tỉnh Tuyên Quang,Bạch Xa,xã,8,2353,15309,127.41,đang cập nhật,"Xã Yên Thuận, Xã Minh Khương, Xã Bạch Xa",104.952,22.2667
tỉnh Tuyên Quang,Bản Máy,xã,8,2422,9792,76.17,đang cập nhật,"Xã Bản Phùng, Xã Chiến Phố, Xã Bản Máy",104.594,22.7983
tỉnh Tuyên Quang,Bằng Hành,xã,8,2436,1656,151.72,đang cập nhật,"Xã Kim Ngọc, Xã Vô Điếm, Xã Bằng Hành",104.955,22.4066
tỉnh Tuyên Quang,Bằng Lang,xã,8,2440,12167,115.66,đang cập nhật,"Xã Yên Hà, Xã Bằng Lang",104.614,22.3696
tỉnh Tuyên Quang,Bình An,xã,8,2341,59475,73.43,đang cập nhật,"Xã Thổ Bình, Xã Bình An",105.184,22.4068
tỉnh Tuyên Quang,Bình Ca,xã,8,2375,24339,69.48,đang cập nhật,"Xã Thượng Ấm, Xã Cấp Tiến, Xã Vĩnh Lợi",105.296,21.7274
tỉnh Tuyên Quang,Bình Thuận,phường,8,2370,47858,45.16,đang cập nhật,"Phường Đội Cấn, Xã Thái Long",105.232,21.7246
tỉnh Tuyên Quang,Bình Xa,xã,8,2356,17998,91.17,đang cập nhật,"Xã Minh Hương, Xã Bình Xa",105.114,22.1067
tỉnh Tuyên Quang,Cán Tỷ,xã,8,2403,9824,85.13,đang cập nhật,"Xã Bát Đại Sơn, Xã Cán Tỷ",105.012,23.1266
tỉnh Tuyên Quang,Cao Bồ,xã,8,2413,4211,111.18,đang cập nhật,Không sáp nhập,104.882,22.7574
tỉnh Tuyên Quang,Chiêm Hóa,xã,8,2340,đang cập nhật,111.265,đang cập nhật,"Thị trấn Vĩnh Lộc, Xã Xuân Quang, Xã Phúc Thịnh, Xã Ngọc Hội, Xã Trung Hòa",105.276,22.1621
