tentinh,tenxa,loai,matinh,maxa,danso,dientich_km2,trungtam_hc,truoc_sapnhap,kinhdo,vido
tỉnh Vĩnh Long,An Bình,xã,30,2537,51382,61.84,đang cập nhật,"Xã Hòa Ninh, Xã Bình Hòa Phước, Xã Đồng Phú, Xã An Bình",105.986,10.2906
tỉnh Vĩnh Long,An Định,xã,30,2473,37688,46.59,UBND xã An Định,"Xã Tân Trung, Xã Minh Đức, Xã An Định",106.395,10.067
tỉnh Vĩnh Long,An Hiệp,xã,30,2495,31248,56.33,UBND xã An Ngãi Tây,"Xã Tân Hưng, Xã An Ngãi Tây, Xã An Hiệp",106.521,10.0373
tỉnh Vĩnh Long,An Hội,phường,30,2457,53476,31.9,UBND TP Bến Tre,"Phường An Hội, Xã Mỹ Thạnh An, Xã Phú Nhuận, Xã Sơn Phú",106.378,10.2062
tỉnh Vĩnh Long,An Ngãi Trung,xã,30,2494,đang cập nhật,33.8572,UBND xã An Ngãi Trung,"Xã Mỹ Thạnh (huyện Ba Tri), Xã An Phú Trung, Xã An Ngãi Trung",106.546,10.0908
tỉnh Vĩnh Long,An Phú Tân,xã,30,2512,27473,53.91,đang cập nhật,"Xã Hòa Tân, Xã An Phú Tân",106.02,9.86317
tỉnh Vĩnh Long,An Qui,xã,30,2500,28342,73.53,UBND xã An Nhơn,"Xã An Thuận, Xã An Nhơn, Xã An Qui",106.561,9.89521
tỉnh Vĩnh Long,An Trường,xã,30,2508,45505,72.61,đang cập nhật,"Xã Tân Bình (huyện Càng Long), Xã An Trường A, Xã An Trường",106.165,9.95456
tỉnh Vĩnh Long,Ba Tri,xã,30,2490,52154,49.47,UBND huyện Ba Tri,"Thị trấn Ba Tri, Xã Vĩnh Hòa (huyện Ba Tri), Xã An Đức, Xã Vĩnh An, Xã An Bình Tây",106.59,10.0392
tỉnh Vĩnh Long,Bảo Thạnh,xã,30,2493,25225,62.28,UBND xã Bảo Thạnh,"Xã Bảo Thuận, Xã Bảo Thạnh",106.666,10.0615
tỉnh Vĩnh Long,Bến Tre,phường,30,2468,35917,31.99,UBND xã Bình Phú,"Phường 7, Xã Bình Phú (thành phố Bến Tre), Xã Thanh Tân",106.324,10.2376
tỉnh Vĩnh Long,Bình Đại,xã,30,2483,33881,44.7,"Huyện ủy, UBND huyện Bình Đại","Thị trấn Bình Đại, Xã Bình Thới, Xã Bình Thắng",106.712,10.188
tỉnh Vĩnh Long,Bình Minh,phường,30,2595,34193,23.86,đang cập nhật,"Xã Thuận An, Phường Thành Phước, Phường Cái Vồn",105.824,10.0849
tỉnh Vĩnh Long,Bình Phú,xã,30,2507,51081,47.3,đang cập nhật,"Xã Bình Phú (huyện Càng Long), Xã Đại Phúc, Xã Phương Thạnh",106.261,9.96267
tỉnh Vĩnh Long,Bình Phước,xã,30,2554,29418,35.67,đang cập nhật,"Xã Long Mỹ (huyện Mang Thít), Xã Hòa Tịnh, Xã Bình Phước",106.038,10.1948
tỉnh Vĩnh Long,Cái Ngang,xã,30,2564,36654,63.14,UBND xã Hậu Lộc,"Xã Mỹ Lộc, Xã Tân Lộc, Xã Hậu Lộc, Xã Phú Lộc",105.963,10.1161
tỉnh Vĩnh Long,Cái Nhum,xã,30,2542,38538,52.45,đang cập nhật,"Xã An Phước (huyện Mang Thít), Xã Chánh An, Thị trấn Cái Nhum",106.124,10.2015
tỉnh Vĩnh Long,Cái Vồn,phường,30,2600,36031,26.52,đang cập nhật,"Xã Mỹ Hòa (thị xã Bình Minh), Xã Ngãi Tứ, Phường Thành Phước, Phường Cái Vồn",105.828,10.0256
tỉnh Vĩnh Long,Càng Long,xã,30,2505,41542,46.87,đang cập nhật,"Thị trấn Càng Long, Xã Mỹ Cẩm, Xã Nhị Long Phú",106.206,9.99529
tỉnh Vĩnh Long,Cầu Kè,xã,30,2510,35491,54.12,đang cập nhật,"Thị trấn Cầu Kè, Xã Hòa Ân, Xã Châu Điền",106.085,9.87865
tỉnh Vĩnh Long,Cầu Ngang,xã,30,2545,28986,35.32,đang cập nhật,"Xã Mỹ Hòa (huyện Cầu Ngang), Xã Thuận Hòa, Thị trấn Cầu Ngang",106.452,9.793
tỉnh Vĩnh Long,Châu Hòa,xã,30,2477,28425,52.05,đang cập nhật,"Xã Châu Bình, Xã Lương Quới, Xã Châu Hòa",106.554,10.1758
tỉnh Vĩnh Long,Châu Hưng,xã,30,2485,23229,35.22,UBND xã Thới Lai,"Xã Long Hòa (huyện Bình Đại), Xã Thới Lai, Xã Châu Hưng",106.532,10.2248
tỉnh Vĩnh Long,Châu Thành,xã,30,2518,39104,47.71,đang cập nhật,"Thị trấn Châu Thành (huyện Châu Thành, tỉnh Trà Vinh), Xã Mỹ Chánh (huyện Châu Thành), Xã Thanh Mỹ, Xã Đa Lộc",106.337,9.83937
tỉnh Vĩnh Long,Chợ Lách,xã,30,2463,44316,49.72,UBND huyện Chợ Lách,"Xã Long Thới (huyện Chợ Lách), Xã Hòa Nghĩa, Thị trấn Chợ Lách",106.162,10.2424
tỉnh Vĩnh Long,Đại An,xã,30,2549,22672,32.32,đang cập nhật,"Thị trấn Định An, Xã Định An, Xã Đại An",106.284,9.62901
tỉnh Vĩnh Long,Đại Điền,xã,30,2498,37267,59.26,UBND xã Tân Phong,"Xã Phú Khánh, Xã Tân Phong, Xã Thới Thạnh, Xã Đại Điền",106.438,10.0059
tỉnh Vĩnh Long,Đôn Châu,xã,30,2550,3205,58.93,UBND xã Đôn Xuân,"Xã Đôn Xuân, Xã Đôn Châu",106.365,9.65465
tỉnh Vĩnh Long,Đông Hải,xã,30,2532,23062,100.16,UBND xã Đông Hải,Không sáp nhập,106.443,9.55083
tỉnh Vĩnh Long,Đồng Khởi,xã,30,2471,35384,41.12,UBND xã Bình Khánh,"Xã Định Thủy, Xã Phước Hiệp, Xã Bình Khánh",106.367,10.1265
tỉnh Vĩnh Long,Đông Thành,phường,30,2599,41793,44.35,UBND xã Đông Bình,"Phường Đông Thuận, Xã Đông Bình, Xã Đông Thạnh, Xã Đông Thành",105.861,10.0365
tỉnh Vĩnh Long,Duyên Hải,phường,30,2553,24356,69.63,đang cập nhật,"Phường 1 (thị xã Duyên Hải), Xã Long Toàn, Xã Dân Thành",106.498,9.62626
tỉnh Vĩnh Long,Giao Long,xã,30,2459,4015,42.45,UBND xã Quới Sơn,"Xã An Phước (huyện Châu Thành), Xã Quới Sơn, Xã Giao Long",106.408,10.3025
tỉnh Vĩnh Long,Giồng Trôm,xã,30,2476,37599,42.39,UBND huyện Giồng Trôm,"Thị trấn Giồng Trôm, Xã Bình Hòa, Xã Bình Thành",106.513,10.1578
tỉnh Vĩnh Long,Hàm Giang,xã,30,2527,30752,60.66,đang cập nhật,"Xã Hàm Tân, Xã Kim Sơn, Xã Hàm Giang",106.223,9.6611
tỉnh Vĩnh Long,Hiệp Mỹ,xã,30,2548,3146,67.45,đang cập nhật,"Xã Long Sơn, Xã Hiệp Mỹ Đông, Xã Hiệp Mỹ Tây",106.462,9.74823
tỉnh Vĩnh Long,Hiếu Phụng,xã,30,2559,28418,42.46,UBND xã Hiếu Thuận,"Xã Hiếu Thuận, Xã Trung An, Xã Hiếu Phụng",106.128,10.046
tỉnh Vĩnh Long,Hiếu Thành,xã,30,2562,34331,53.41,đang cập nhật,"Xã Hiếu Nhơn, Xã Hiếu Nghĩa, Xã Hiếu Thành",106.106,9.99055
tỉnh Vĩnh Long,Hòa Bình,xã,30,2602,25794,26.54,UBND xã Hòa Bình,"Xã Xuân Hiệp, Xã Thới Hòa, Xã Hòa Bình",106.061,10.0384
tỉnh Vĩnh Long,Hòa Hiệp,xã,30,2566,31099,44.1,UBND xã Hòa Lộc,"Xã Hòa Thạnh, Xã Hòa Lộc, Xã Hòa Hiệp",106.033,10.1123
