name,address,lat,lng,,,,,
Cửa hàng Xăng dầu Petrolimex Số 03,"199 Nguyễn Đình Chiểu, Phường 8, Bến Tre",10.2375226,106.3927388,,,,,
Cửa hàng Xăng dầu Petrolimex Số 56,"6844+524, ấp tân hòa trong, Mỏ Cày Bắc, Bến Tre",10.2053994,106.3050633,,,,,
Cửa hàng Xăng dầu Petrolimex Số 18,"6GMG+M9P, ĐT883, Thới Lai, Bình Đại, Bến Tre",10.2342073,106.525948,,,,,
Cửa hàng Xăng dầu Petrolimex Số 17,"6GX2+W85, ĐT883, Châu Hưng, Bình Đại, Bến Tre",10.2497606,106.5008527,,,,,
Cửa hàng Xăng dầu Petrolimex Số 01,"63a Đại Lộ Đồng Khởi, P. Phú Khương, Bến Tre",10.2567076,106.3657018,,,,,
Cửa hàng Xăng dầu Petrolimex Số 02,"493 Nguyễn Đình Chiểu, Phường 8, Bến Tre",10.2365069,106.3858668,,,,,
Cửa hàng Xăng dầu Petrolimex Số 24,"6P42+W56, Bình Thới, Bình Đại, Bến Tre",10.2072895,106.7003775,,,,,
Cửa hàng Xăng dầu Petrolimex Số 10,"77HM+3PG, ĐT884, An Hiệp, Châu Thành, Bến Tre",10.2776775,106.28434,,,,,
Cửa hàng Xăng dầu Petrolimex Số 15,"894G+RJ4, ĐT883, Phú An Hoà, Châu Thành, Bến Tre",10.3070109,106.3765792,,,,,
Cửa hàng Xăng dầu Petrolimex Số 58,"6F7R+CQW, Châu Hoà, Giồng Trôm, Bến Tre",10.2136163,106.4919658,,,,,
Cửa hàng Xăng dầu Petrolimex Số 16,"7CW7+RWQ, Giao Long, Châu Thành, Bến Tre",10.2970992,106.4148503,,,,,
Cửa hàng Xăng dầu Petrolimex Số 11,"89 ĐT884, Tiên Thuỷ, Châu Thành, Bến Tre",10.2763137,106.2646244,,,,,
Cửa hàng Xăng dầu Petrolimex Số 31,"5C95+6G7, Phước Long, Giồng Trôm, Bến Tre",10.1680316,106.4087912,,,,,
Cửa hàng Xăng dầu Petrolimex Số 32,"TL885, Ấp 1,, Giồng Trôm, Bến Tre",10.0998518,106.5001117,,,,, 
Cửa hàng Xăng dầu Petrolimex Số 47,"XFGV+99F, QL57, Mỹ Hưng, Thạnh Phú, Bến Tre",9.9759287,106.4934253,,,,,
Cửa hàng Xăng dầu Petrolimex Số 38,"48WF+336, QL60, Đa Phước Hội, Mỏ Cày Nam, Bến Tre",10.1451538,106.3226475,,,,,
Cửa hàng Xăng dầu Petrolimex Số 22,"TL 883, Ấp Bình Hòa, H T, Bình Thới, Bình Đại, Bến Tre",10.1952513,106.6893463,,,,,
Cửa hàng Xăng dầu Petrolimex Số 26,"4M7V+4XX, Thạnh Phước, Bình Đại, Bến Tre",10.1128519,106.6949977,,,,,
Cửa hàng Xăng dầu Petrolimex Số 50,"Giao Thạnh, Thạnh Phú, Bến Tre",9.8915357,106.6032597,,,,,
Cửa hàng Xăng dầu Petrolimex Số 06,"69PV+72F, Phường 8, Bến Tre",10.2356902,106.3925369,,,,,
Cửa hàng Xăng dầu Petrolimex Số 46,"2C3R+Q2P, QL57, Tân Phong, Thạnh Phú, Bến Tre",10.0044713,106.4400925,,,,,
Cửa hàng Xăng dầu Petrolimex Số 08,"Nguyễn Thị Định, P, Bến Tre",10.2568918,106.3797999,,,,,
Cửa hàng Xăng dầu Petrolimex Số 12,"767Q+7WQ, Tiên Thuỷ, Châu Thành, Bến Tre",10.2632232,106.2398545,,,,,
Cửa hàng Xăng dầu Petrolimex Số 51,"744C+WHV, Khu phố 2, Chợ Lách, Bến Tre",10.2573439,106.1214522,,,,,
Cửa hàng Xăng dầu Petrolimex Số 21,"5MXQ+3F6, Bình Thới, Bình Đại, Bến Tre",10.197651,106.6886448,,,,,
Cửa hàng Xăng dầu Petrolimex Số 20,"6M26+VXV, ĐT883, Bình Thới, Bình Đại, Bến Tre",10.2022306,106.6624191,,,,,
Cửa hàng Xăng dầu Petrolimex Số 19,"6J59+73F, ĐT883, Định Trung, Bình Đại, Bến Tre",10.2081941,106.617665,,,,,
Cửa hàng Xăng dầu Petrolimex Số 28,"204 Nguyễn Thị Định, TT. Giồng Trôm, Giồng Trôm, Bến Tre",10.156319,106.5046288,,,,,
Cửa hàng Xăng dầu Petrolimex Số 52,"65JQ+CV8, Long Thới, Chợ Lách, Bến Tre",10.2310299,106.189713,,,,,
Cửa hàng Xăng dầu Petrolimex Số 05,"6CM5+CHH, ĐT885, Phú Hưng, Bến Tre",10.2335612,106.4089741,,,,,
Cửa hàng Xăng dầu Petrolimex Số 33,"33/5 Trần Hưng Đạo, TT. Ba Tri, Ba Tri, Bến Tre",10.0425299,106.5928082,,,,,
Cửa hàng Xăng dầu Perolimex Số 30,"4GX8+HHC, Bình Thành, Giồng Trôm, Bến Tre",10.1489347,106.5163933,,,,,
Cửa hàng Xăng dầu Petrolimex Số 62,"4HFM+66F, ĐH173, Mỹ Chánh, Ba Tri, Bến Tre",10.1230548,106.5830335,,,,,
Cửa hàng Xăng dầu Petrolimex Số 04,"509 QL60, Sơn Đông, Bến Tre",10.2599082,106.3612709,,,,,
Cửa hàng Xăng dầu Petrolimex Số 25,"5P26+P8M, Thạnh Phước, Bình Đại, Bến Tre",10.1518337,106.7107885,,,,,
Cửa hàng Xăng dầu Petrolimex Số 13,"79W5+W54, TT. Châu Thanh, Châu Thành, Bến Tre",10.2979091,106.3576166,,,,,
Cửa hàng Xăng dầu Petrolimex Số 60,"Ấp giao hòa B, Thạnh Phú, Bến Tre",9.8818839,106.6097785,,,,,
Cửa hàng Xăng dầu Petrolimex Số 27,"5M63+QXV, Đường Bắc Nam, Thạnh Trị, Bình Đại, Bến Tre",10.1619973,106.6549241,,,,,
Cửa hàng Xăng dầu Petrolimex Số 42,"49R3+7XG, Định Thuỷ, Mỏ Cày Nam, Bến Tre",10.1406764,106.3549413,,,,,
