name,address,lat,lng,field_5,field_6
Cửa hàng Xăng dầu Petrolimex Số 10,"Phường 1, Trà Vinh",9.9526529,106.3409541,,
Cửa hàng Xăng dầu Petrolimex Số 13,"W87R+FFH, Điện Biên Phủ, Phường 9, Trà Vinh",9.913681,106.341247,,
Cửa hàng Xăng dầu Petrolimex Số 01,"121 Trần Quốc Tuấn, Phường 2, Trà Vinh",9.9345022,106.339608,,
Cửa hàng Xăng dầu Petrolimex Số 15,"Q855+73J, Ấp Chợ Dưới, Trà Cú, Trà Vinh",9.7582212,106.307634,,
Cửa hàng Xăng dầu Petrolimex Số 56,"58, QL53, ấp Trà cuôn, Cầu Ngang, Trà Vinh",9.8585187,106.4118583,,
Cửa hàng Xăng dầu Petrolimex Số 17,"V9VX+WXR, HL15, Hưng Mỹ, Châu Thành, Trà Vinh",9.8948634,106.3998993,,
Cửa Hàng Xăng Dầu Vĩnh Hưng - Petrolimex Trà Vinh số 35,"X9G2+5HR, Ấp, Trà Vinh",9.9754892,106.3514016,,
Cửa hàng Xăng dầu Petrolimex Số 26,"R9J3+G8J, QL54, Đa Lộc, Châu Thành, Trà Vinh",9.831347,106.3532513,,
Cửa hàng Xăng dầu Petrolimex Số 34,"RFX2+QQX, Vĩnh Kim, Cầu Ngang, Trà Vinh",9.8495004,106.451979,,
Cửa hàng Xăng dầu Petrolimex Số 51,"V89Q+J8Q, Hòa Lộc, Châu Thành, Trà Vinh",9.869083,106.3383537,,
Cửa hàng Xăng dầu Petrolimex Số 46,"W7RG+QF3, QL53, Phương Thạnh, Càng Long, Trà Vinh",9.9418993,106.2761723,,
Cửa hàng Xăng dầu Petrolimex Số 24,"W6FH+WWF, Huyền Hội, Càng Long, Trà Vinh",9.9248136,106.2297993,,
Cửa hàng Xăng dầu Petrolimex Số 57,"P7Q7+MG3, QL54, Tập Sơn, Trà Cú, Trà Vinh",9.7392241,106.2637103,,
Cửa hàng Xăng dầu Petrolimex Số 22,"2759+79P, Ấp Đon, Càng Long, Trà Vinh",10.0082226,106.2684506,,
Cửa hàng Xăng dầu Petrolimex Số 43,"W48Q+WX8, ĐT911, Tân An, Cầu Kè, Trà Vinh",9.9172846,106.1399389,,
Cửa hàng Xăng dầu Petrolimex Số 41,"Q4C7+3MV, Long Thới, Tiểu Cần, Trà Vinh",9.7702387,106.1141837,,
Cửa hàng Xăng dầu Petrolimex Số 48,"J9X4+95G, Đôn Xuân, Duyên Hải, Trà Vinh",9.6484387,106.3554601,,
Cửa hàng Xăng dầu Petrolimex Số 53,"R5XQ+CH3, Unnamed Road, Hiếu Trung, Tiểu Cần, Trà Vinh",9.8485186,106.1889273,,
Cửa hàng Xăng dầu Petrolimex Số 27,"PGFC+G93, Ấp 5, Xã, Cầu Ngang, Trà Vinh",9.7237652,106.5209085,,
Cửa hàng Xăng dầu Petrolimex Số 49,"368X+J45, Unnamed, Road, Càng Long, Trà Vinh",10.066514,106.2478513,,
Cửa hàng Xăng dầu Petrolimex Số 50,"35 Trần Văn Ẩn, Long Đức, Trà Vinh",9.9847197,106.3165014,,
Cửa hàng Xăng dầu Petrolimex Số 38,"Q9C9+75R, ĐH17, Trường Thọ, Cầu Ngang, Trà Vinh",9.77073,106.367888,,
Cửa hàng Xăng dầu Petrolimex Số 29,"JFHP+6PH, Long Khánh, Thị xã Duyên Hải, Trà Vinh",9.628065,106.4868656,,
Cửa hàng Xăng dầu Petrolimex Số 20,"295 QL53, Hoà Lợi, Châu Thành, Trà Vinh",9.9061781,106.3812627,,
Cửa hàng Xăng dầu Petrolimex Số 52,"M7J9+WM4, Đường tránh QL53, Thanh Sơn, Trà Cú, Trà Vinh",9.6822641,106.2692053,,
Cửa hàng Xăng dầu Petrolimex Số 07,"TT. Duyên Hải, Thị xã Duyên Hải, Trà Vinh",9.633843,106.4906706,,
Cửa hàng Xăng dầu Petrolimex Số 30,"W72M+C5M, QL60, Lương Hoà, Châu Thành, Trà Vinh",9.9010869,106.2829285,,
Cửa hàng Xăng dầu Petrolimex Số 12,"MGJP+X3M, Long Toàn, Thị xã Duyên Hải, Trà Vinh",9.6824583,106.5351626,,
Cửa hàng Xăng dầu Petrolimex Số 55,"P6MC+227, DH 27, Tân Sơn, Trà Cú, Trà Vinh",9.7325433,106.2200455,,
Cửa hàng Xăng dầu Petrolimex Số 40,"M6XC+6QJ, Lưu Nghiệp Anh, Trà Cú, Trà Vinh",9.6980884,106.221898,,
Cửa hàng Xăng dầu Petrolimex Số 37,"PGQX+QMM, Ấp Cây Da, Hiệp Thạnh, Thị xã Duyên Hải, Trà Vinh",9.7394655,106.5491603,,
Cửa hàng Xăng dầu Petrolimex Số 05,"RF73+97F, QL53, TT. Cầu Ngang, Cầu Ngang, Trà Vinh",9.81346,106.4531197,,
Cửa hàng Xăng dầu Petrolimex Số 23,"W5XF+6HX, Ấp 7A, Càng Long, Trà Vinh",9.9481078,106.173976,,
Cửa hàng Xăng dầu Petrolimex Số 42,"PCMP+HGV, ĐH21, Long Sơn, Cầu Ngang, Trà Vinh",9.7339942,106.436286,,
Cửa hàng Xăng dầu Petrolimex Số 33,"JG2H+P8P, Dân Thành, Thị xã Duyên Hải, Trà Vinh",9.6018316,106.5283386,,
