name,address,lat,lng
Cửa hàng Xăng dầu Petrolimex Số 15,"5WHM+XRP, KCN, Long Hồ, Vĩnh Long",10.1799667,105.9345654
Cửa hàng Xăng dầu Petrolimex Số 31,"6WPJ+GX2, Tân Hạnh, Long Hồ, Vĩnh Long",10.2362544,105.9323986
Cửa hàng Xăng dầu Petrolimex Số 16,"6W7Q+GJ8, QL1A, Tân Hạnh, Long Hồ, Vĩnh Long",10.213778,105.9390821
Cửa hàng Xăng dầu Petrolimex Số 23,"23 Trần Đại Nghĩa, Phường 4, Vĩnh Long",10.2397803,105.9836828
Cửa hàng Xăng dầu Petrolimex Số 03,"7X37+W3W, Phạm Hùng, Vĩnh Long",10.2548567,105.9627147
Cửa hàng Xăng dầu Petrolimex Số 06,"641 Trần Phú, Phường 4, Vĩnh Long",10.245506,105.9833261
Cửa hàng Xăng dầu Petrolimex Số 32,"6XR2+FXX, QL53, Phường 8, Vĩnh Long",10.241239,105.9524918
Cửa hàng Xăng dầu Petrolimex Số 68,"71/22A Đ. Phó Cơ Điều, Phường 3, Vĩnh Long",10.2344825,105.9658838
Cửa hàng Xăng dầu Petrolimex Số 17,"7X24+CQ3, Phường 9, Vĩnh Long",10.2510027,105.9569074
Cửa hàng Xăng dầu Petrolimex Số 27,"5W4F+2VP, QL1A, Hoà Phú, Long Hồ, Vĩnh Long",10.1550931,105.9246905
Cửa hàng Xăng dầu Petrolimex Số 37,"7X53+8J4, Phạm Hùng, Vĩnh Long",10.2582532,105.9540739
Cửa hàng Xăng dầu Petrolimex tân vạn lợi,"6W2V+42J, QL1A, Tân Hạnh, Long Hồ, Vĩnh Long",10.2003282,105.9425225
Cửa hàng Xăng dầu Petrolimex Số 10,"ĐT902, An Phước, Mang Thít, Vĩnh Long",10.2335597,106.1057941
Cửa hàng Xăng dầu Petrolimex Số 2,"2A Nguyễn Huệ, Phường 1, Vĩnh Long",10.2544523,105.9629299
Cửa hàng Xăng dầu Petrolimex Số 41,"54XR+P7X, ĐT902, An Phước, Mang Thít, Vĩnh Long",10.1993514,106.1407329
Cửa hàng Xăng dầu Petrolimex Số 25,"Phú Quới, Long Hồ, Vĩnh Long",10.1614508,105.9227648
Cửa hàng Xăng dầu Petrolimex Số 13,"7W94+232, QL80, Tân Hoà, Vĩnh Long",10.2675069,105.9051531
Cửa hàng Xăng dầu Petrolimex Số 01,"210A Lê Thái Tổ, Phường 1, Vĩnh Long",10.2548109,105.9635377
Cửa hàng Xăng dầu Petrolimex Số 30,"52C9+7RW, QL53, Long An, Long Hồ, Vĩnh Long",10.1707466,106.0195887
Cửa hàng Xăng dầu Petrolimex Số 18,"52CC+7PP, ĐT903, Long An, Long Hồ, Vĩnh Long",10.1707077,106.0218406
Cửa hàng Xăng dầu Petrolimex Số 35,"5WRQ+69M, Phước Long, Long Hồ, Vĩnh Long",10.1905846,105.9384286
Cửa hàng Xăng dầu Petrolimex Số 75,"33/5F Phạm Thái Bường, Phường 4, Vĩnh Long",10.2413572,105.9801662
Cửa hàng Xăng dầu Petrolimex Số 74,"67/25E, Đ. Phó Cơ Điều, Phường 4, Vĩnh Long",10.2336742,105.9816313
