Name,Address,Latitude,Longitude,_id,amount,amountLevels.0.amount,amountLevels.0.name,amountLevels.1.amount,amountLevels.1.name,amountLevels.2.amount,amountLevels.2.name,amountLevels.3.amount,amountLevels.3.name,billingId,createdBy.displayName,createdBy.userId,createdDate,isDeleted,month,priceLevels.0.amount,priceLevels.0.currency,priceLevels.0.description,priceLevels.0.from,priceLevels.0.name,priceLevels.0.to,priceLevels.1.amount,priceLevels.1.currency,priceLevels.1.description,priceLevels.1.from,priceLevels.1.name,priceLevels.1.to,priceLevels.2.amount,priceLevels.2.currency,priceLevels.2.description,priceLevels.2.from,priceLevels.2.name,priceLevels.2.to,priceLevels.3.amount,priceLevels.3.currency,priceLevels.3.description,priceLevels.3.from,priceLevels.3.name,priceLevels.3.to,requestDate,serviceId,serviceName,totalElementSuccess,totalRequestError,totalRequestSuccess,updatedBy.displayName,updatedBy.userId,updatedDate,userId,year
Công ty Cổ phần ĐỊNH ANH,"
Nam Quang 2, A35, Phú Mỹ Hưng, Quận 7, Hồ Chí Minh 70000, Vietnam",10.7227899,106.6387958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Công ty TIC chi nhánh HCM,"
322 Tây Thạnh, Tân Phú, Hồ Chí Minh, Vietnam",10.8093727,106.5468602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Công Ty TNHH MTV Dịch Vụ Công Ích Quận 7,"
1414 Huỳnh Tấn Phát, Phú Mỹ, Quận 7, Hồ Chí Minh, Vietnam",10.7098521,106.6649686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Công Ty Tnhh Yakjin Hồ Chí Minh,"
Đường số 7, KCX Tân Thuận, Quận 7, Hồ Chí Minh 700000, Vietnam",10.7098521,106.6649686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nguyen Van Loc Co., Ltd","
Lô O3, Khu Phước Kiển, Đường Lê Văn Lương, Xã Phước Kiển, Huyện Nhà Bè, TP Hồ Chí Minh, Phước Kiển, Nhà Bè, Hồ Chí Minh, Vietnam",10.720195,106.6246418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Công Ty HMH TP. Hồ Chí Minh,"
Đường số 1/B16 Đ. Nguyễn Hữu Thọ, Khu dân cư Kim Sơn, Quận 7, Hồ Chí Minh, Vietnam",10.720195,106.6246418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Công Ty CP Hóa Chất Tp.HCM,"
938 Nguyễn Thị Định, Phường Thạnh Mỹ Lợi, Thủ Đức, Hồ Chí Minh, Vietnam",10.7633965,106.7103163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Công Ty,"
38ABC, Đ. Đông Hồ, Phường 8, Tân Bình, Hồ Chí Minh, Vietnam",10.7829763,106.5783479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CÔNG TY TNHH QUỐC TẾ L&C - VĂN PHÒNG HCM,"
Golden King, 15 Nguyễn Lương Bằng, Tân Phú, Quận 7, Hồ Chí Minh 700000, Vietnam",10.725998,106.6517808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHU HUNG SECURITIES CORPORATION - CÔNG TY CỔ PHẦN CHỨNG KHOÁN PHÚ HƯNG,"
8 Hoàng Văn Thái, Tân Phú, Quận 7, Hồ Chí Minh, Vietnam",10.725998,106.6517808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Công Ty Tnhh Thương Mại Hồ Bắc,"
113 Đ. số 9, Tân Kiểng, Quận 7, Hồ Chí Minh, Vietnam",10.725998,106.6517808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LOCK & LOCK HCM CO., LTD","
77 Hoàng Văn Thái, Tân Phú, Quận 7, Hồ Chí Minh, Vietnam",10.725998,106.6517808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ho Chi Minh City Electrical Testing Company,"
B84A Đ. Bạch Đằng, Phường 2, Tân Bình, Hồ Chí Minh, Vietnam",10.8159294,106.5983354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cuu Long Joint Operating Company,"
PPHC+VMF, Khu Saigon Paragon, Tân Phú, Quận 7, Hồ Chí Minh, Vietnam",10.7296875,106.6495778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Công Ty TNHH SX-TM-DV Thạnh Nguyên,"
360/23/7, Phạm Hữu Lầu, Phước Kiển, Nhà Bè, Hồ Chí Minh 70000, Vietnam",10.7296875,106.6495778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Công Ty Trách Nhiệm Hữu Hạn Thương Mại Sài Gòn Mộc,"
34/2/7 Huỳnh Tấn Phát, khu phố 3, Quận 7, Hồ Chí Minh, Vietnam",10.7296875,106.6495778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
