Name,Address,OpeningHours,URL
Quán Vịt Vị Bắc - Vũ Tông Phan,"66 Vũ Tông Phan, P. An Phú, Thành Phố Thủ Đức, TP. HCM",,https://shopeefood.vn/ho-chi-minh/quan-vit-vi-bac-vu-tong-phan
Paid Thái & Cơm Thái - Bùi Đình Tuý,"120 Bùi Đình Tuý, P. 12, Bình Thạnh, TP. HCM",,https://shopeefood.vn/ho-chi-minh/paid-thai-com-thai-bui-dinh-tuy
Bún Bò Út,"93 Nguyễn Tư Nghiêm, P. Bình Trưng Tây, Thành Phố Thủ Đức, TP. HCM",,https://shopeefood.vn/ho-chi-minh/bun-bo-ut
,,,https://shopeefood.vn/ho-chi-minh/hu-tieu-bo-kho-tra-nhan-d48
Bánh Canh Bột Lọc - Vinhomes Grand Park,"Vinhomes Grand Park, Toà BS10A Long Bình, Phước Thiện, P. Long Bình, Thành Phố Thủ Đức, TP. HCM",,https://shopeefood.vn/ho-chi-minh/banh-canh-bot-loc-vinhomes-grand-park
Linh - Chân Gà Sốt Thái,"380/38 Nguyễn Văn Khối, P. 9, Gò Vấp, TP. HCM",,https://shopeefood.vn/ho-chi-minh/linh-chan-ga-sot-thai
Góc Sài Thành - Đường 54,"42B Đường 54, P. Thảo Điền, Thành Phố Thủ Đức, TP. HCM",,https://shopeefood.vn/ho-chi-minh/goc-sai-thanh-duong-54
Caffe & Bánh Mì Sài Gòn - Trương Quyền,"5Bis Trương Quyền, P. Võ Thị Sáu, Quận 3, TP. HCM",,https://shopeefood.vn/ho-chi-minh/caffe-banh-mi-sai-gon-truong-quyen
Trà Ông Lão & Ăn Vặt - Nguyễn Thị Thập,"619 Nguyễn Thị Thập, P. Tân Hưng, Quận 7, TP. HCM",00:00 - 23:59,https://shopeefood.vn/ho-chi-minh/tra-ong-lao-an-vat-nguyen-thi-thap
Bánh Mì Hà Nội - 290A Dương Bá Trạc,"290A Dương Bá Trạc, P. 1, Quận 8, TP. HCM",00:00 - 23:59,https://shopeefood.vn/ho-chi-minh/banh-mi-ha-noi-290a-duong-ba-trac
Deit Cafe’ - Thạnh Xuân 13,"Toà C2 Sảnh B, 9A Thạnh Xuân 13, P. Thạnh Xuân, Quận 12, TP. HCM",,https://shopeefood.vn/ho-chi-minh/deit-cafe-thanh-xuan-13
Hồng Trà Ngô Gia - 184 Xô Viết Nghệ Tĩnh,"184 Xô Viết Nghệ Tĩnh, P. 19, Bình Thạnh, TP. HCM",,https://shopeefood.vn/ho-chi-minh/hong-tra-ngo-gia-184-xo-viet-nghe-tinh
Cơm Tấm A Nhẫn,"1113/51/6 Huỳnh Tấn Phát, Quận 7, TP. HCM",00:00 - 23:59,https://shopeefood.vn/ho-chi-minh/com-tam-a-nhan
Hủ Tiếu Bò Kho - A Bốn,"155 Đường Số 8, P. Bình Hưng Hòa, Bình Tân, TP. HCM",00:00 - 23:59,https://shopeefood.vn/ho-chi-minh/hu-tieu-bo-kho-a-bon
CHÁO CÁ LÓC & CHÁO HẢI SẢN - Lê Văn Lương,"380/46/22 Lê Văn Lương, P. Tân Hưng, Quận 7, TP. HCM",00:00 - 23:59,https://shopeefood.vn/ho-chi-minh/chao-ca-loc-chao-hai-san-le-van-luong
"Trà Sữa, Trà Trái Cây & Bánh Tráng Trộn - Tiệm Trà Qyan","742/9 Nguyễn Kiệm, P. 4, Phú Nhuận, TP. HCM",,https://shopeefood.vn/ho-chi-minh/tra-sua-tra-trai-cay-banh-trang-tron-tiem-tra-qyan
Tré Trộn Bình Định - Út Linh,"Số 2 Nguyễn Trường Tộ, P. Tân Thành, Tân Phú, TP. HCM",,https://shopeefood.vn/ho-chi-minh/tre-tron-binh-dinh-ut-linh
Món Tủ - Mỳ Trộn & Đồ Ăn Vặt - Bình Thạnh,"175 Phan Văn Hân, P. 17, Bình Thạnh, TP. HCM",,https://shopeefood.vn/ho-chi-minh/mon-tu-my-tron-do-an-vat-binh-thanh
K&N Coffee - Hoàng Sa,"333 Hoàng Sa, P. Tân Định, Quận 1, TP. HCM",00:00 - 23:59,https://shopeefood.vn/ho-chi-minh/k-n-coffee-hoang-sa
Quán Hẻm - Nui Xào & Mì Xào,"135/1/120 Nguyễn Hữu Cảnh, P. 22, Bình Thạnh, TP. HCM",05:00 - 17:00,https://shopeefood.vn/ho-chi-minh/quan-hem-nui-xao-mi-xao
Tiệm Trà Hoa Sen - Đàm Thận Huy,"Số 3 Đàm Thận Huy, P. Phú Thọ Hoà, Tân Phú, TP. HCM",,https://shopeefood.vn/ho-chi-minh/tiem-tra-hoa-sen-dam-than-huy
"Miu & Mart Tea - Ăn Vặt, Mì Trộn & Trà Trái Cây","386 Quang Trung , P. 10, Gò Vấp, TP. HCM",,https://shopeefood.vn/ho-chi-minh/miu-mart-tea-an-vat-mi-tron-tra-trai-cay
Huytraxu - Điện Biên Phủ,"391/10K Điện Biên Phủ, P. 25, Bình Thạnh, TP. HCM",,https://shopeefood.vn/ho-chi-minh/huytraxu-dien-bien-phu
