Name,Address,Latitude,Longitude
Công ty Cổ phần ĐỊNH ANH,"
Nam Quang 2, A35, Phú Mỹ Hưng, Quận 7, Hồ Chí Minh 70000, Vietnam",10.7227899,106.6387958
Công ty TIC chi nhánh HCM,"
322 Tây Thạnh, Tân Phú, Hồ Chí Minh, Vietnam",10.8093727,106.5468602
Công Ty TNHH MTV Dịch Vụ Công Ích Quận 7,"
1414 Huỳnh Tấn Phát, Phú Mỹ, Quận 7, Hồ Chí Minh, Vietnam",10.7098521,106.6649686
Công Ty Tnhh Yakjin Hồ Chí Minh,"
Đường số 7, KCX Tân Thuận, Quận 7, Hồ Chí Minh 700000, Vietnam",10.7098521,106.6649686
"Nguyen Van Loc Co., Ltd","
Lô O3, Khu Phước Kiển, Đường Lê Văn Lương, Xã Phước Kiển, Huyện Nhà Bè, TP Hồ Chí Minh, Phước Kiển, Nhà Bè, Hồ Chí Minh, Vietnam",10.720195,106.6246418
Công Ty HMH TP. Hồ Chí Minh,"
Đường số 1/B16 Đ. Nguyễn Hữu Thọ, Khu dân cư Kim Sơn, Quận 7, Hồ Chí Minh, Vietnam",10.720195,106.6246418
Công Ty CP Hóa Chất Tp.HCM,"
938 Nguyễn Thị Định, Phường Thạnh Mỹ Lợi, Thủ Đức, Hồ Chí Minh, Vietnam",10.7633965,106.7103163
Công Ty,"
38ABC, Đ. Đông Hồ, Phường 8, Tân Bình, Hồ Chí Minh, Vietnam",10.7829763,106.5783479
CÔNG TY TNHH QUỐC TẾ L&C - VĂN PHÒNG HCM,"
Golden King, 15 Nguyễn Lương Bằng, Tân Phú, Quận 7, Hồ Chí Minh 700000, Vietnam",10.725998,106.6517808
PHU HUNG SECURITIES CORPORATION - CÔNG TY CỔ PHẦN CHỨNG KHOÁN PHÚ HƯNG,"
8 Hoàng Văn Thái, Tân Phú, Quận 7, Hồ Chí Minh, Vietnam",10.725998,106.6517808
Công Ty Tnhh Thương Mại Hồ Bắc,"
113 Đ. số 9, Tân Kiểng, Quận 7, Hồ Chí Minh, Vietnam",10.725998,106.6517808
"LOCK & LOCK HCM CO., LTD","
77 Hoàng Văn Thái, Tân Phú, Quận 7, Hồ Chí Minh, Vietnam",10.725998,106.6517808
Ho Chi Minh City Electrical Testing Company,"
B84A Đ. Bạch Đằng, Phường 2, Tân Bình, Hồ Chí Minh, Vietnam",10.8159294,106.5983354
Cuu Long Joint Operating Company,"
PPHC+VMF, Khu Saigon Paragon, Tân Phú, Quận 7, Hồ Chí Minh, Vietnam",10.7296875,106.6495778
Công Ty TNHH SX-TM-DV Thạnh Nguyên,"
360/23/7, Phạm Hữu Lầu, Phước Kiển, Nhà Bè, Hồ Chí Minh 70000, Vietnam",10.7296875,106.6495778
Công Ty Trách Nhiệm Hữu Hạn Thương Mại Sài Gòn Mộc,"
34/2/7 Huỳnh Tấn Phát, khu phố 3, Quận 7, Hồ Chí Minh, Vietnam",10.7296875,106.6495778
Cong ty CSR,"
G11 ĐƯỜNG D4, KDC SÀI GÒN - CHỢ LỚN, Phạm Hữu Lầu, Phú Mỹ, Quận 7, Hồ Chí Minh, Vietnam",10.7296875,106.6495778
Chi Nhánh Tại Thành Phố Hồ Chí Minh- Công Ty Cổ Phần Đầu Tư Thương Mại Phượng Hoàng,"
284B Hoà Hưng, Phường 13, Tân Bình, Hồ Chí Minh, Vietnam",10.7798719,106.5994972
Công Ty Ongift Thành Phố Hồ Chí Minh,"
392A Đ. Lê Văn Sỹ, Phường 14, Quận 3, Hồ Chí Minh 700000, Vietnam",10.7798719,106.5994972
Công ty TNHH Khu du lịch Vịnh Thiên Đường,"
Toà nhà Paragon, 3 Nguyễn Lương Bằng, Tân Phú, Quận 7, Hồ Chí Minh 700000, Vietnam",10.7293811,106.6504371
cong ty,"
14 Đ. số 5, Khu đô thị Him Lam, Quận 7, Hồ Chí Minh, Vietnam",10.7293811,106.6504371
Bestmix Corporation - Branch 1 Ho Chi Minh City,"
378 Đ. Cộng Hòa, Phường 13, Tân Bình, Hồ Chí Minh, Vietnam",10.8023692,106.5722815
HO-HCM,"
Hẻm 54 Nguyễn Thái Bình, Phường 4, Tân Bình, Hồ Chí Minh, Vietnam",10.8023692,106.5722815
Văn Phòng Đại Diện Tại Thành Phố Hồ Chí Minh - Công Ty Tnhh Tư Vấn Hàn Quốc,"
286, Huỳnh Tấn Phát, Phường Tân Thuận Tây, Quận 7, Thành Phố Hồ Chí Minh, Tân Thuận Tây, Quận 7, Hồ Chí Minh, Vietnam",10.7511679,106.6564238
Cty,"
2 Đ. số 27, Phường 4, Quận 8, Hồ Chí Minh, Vietnam",10.7434681,106.6012007
Công Ty TNHH Cuckoo Vina - HCM,"
The Grace, 71 Hoàng Văn Thái, Tân Phú, Quận 7, Hồ Chí Minh 70000, Vietnam",10.7308462,106.6515376
Chi nhánh Hồ Chí Minh - Công ty cổ phần thương mại và công nghệ Hà Việt,"
61/7 Bình Giã, Phường 13, Tân Bình, Hồ Chí Minh, Vietnam",10.801187,106.5722722
Công ty TNHH Hóa Đơn Điện Tử M-Invoice CN TP. HCM,"
Tòa nhà M.I.D, 02 Đường Nguyễn Thế Lộc, Phường 12, Tân Bình, Hồ Chí Minh 00084, Vietnam",10.801187,106.5722722
Chi Nhánh Tại Thành Phố Hồ Chí Minh Công Ty Cổ Phần Nhiên Liệu Bay Petrolimex,"
A75/70 Đ. Bạch Đằng, Phường 2, Tân Bình, Hồ Chí Minh, Vietnam",10.801187,106.5722722
Công Ty Cp Sài Gòn Hỏa Xa (Rtc),"
275 Đ. Phạm Ngũ Lão, Phường Phạm Ngũ Lão, Quận 1, Hồ Chí Minh 700000, Vietnam",10.7679324,106.6196285
